"regional","departamentos","tipodeentidad","cat","direccion","estado","horario_actual_contingencia"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","CNA","A+","Calle 12 No. 65 -11 
Zona Industrial Puente Aranda","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SUBA","A","Tv 60 No. 128a - 68","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","FISCALIA","D","DAG 22 B No 52 - 01 
Torre C Primer Piso.","ATENCION NO PRESENCIAL DESDE EL  CNA","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","INPEC","D","Calle 26 No 27 - 48
Piso 2","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SUPERNOTARIADO","D","Calle 26 No. 13-49 
interior 201 piso 2","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SENA","D","Calle 57 No 8 - 69 
Torre Sur","ATENCION NO PRESENCIAL DESDE EL  CNA","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","ICBF","D","Avenida carrera 68 No 64c - 75","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 1","CUNDINAMARCA","GIRARDOT","B","CLL 20 No 12 -38 
Barrio Sucre","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","CUNDINAMARCA","CHIA","C","calle 10 # 11-36 
local 108  
Centro comercial la libertad","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","CUNDINAMARCA","ZIPAQUIRA","C","Parque el brigar al lado del Sisben Calle 8 No 8 - 51 Piso 1","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","BOYACA","TUNJA","B","Carrera 6 No. 55 A - 33","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SUPERCADE SUBA","E","AVENIDA CALLE 145 No 103B-90","ABIERTO","LUNES A VIERNES 8:00 A.M. A 5:00 P.M. 
SÁBADOS DE 8:00 A.M. A 12:00 M."
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","CADE TOBERÍN","E","CRA 21 No 169-62 CENTRO COMERCIAL STTUGART LOCAL 118","ABIERTO","LUNES A VIERNES 
8:00 A.M. A 4:00 PM"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","CAFAM FLORESTA","C","Centro Comercial Cafam Floresta Cra 68 # 90-88 Locales 2-062E Y 2-062F","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","CAN","A","Calle 44 No. 52 - 06","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","ANGEL","A+","Calle 19 No 6 - 68","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","SOACHA","A","Cra 7 No 32-35
 Centro Comercial Mercurio
 Piso 3 Local 309 hasta el 314","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","DIAN","D","CRA 7 No 6 C - 64 Piso 1","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","ECOPETROL","D","CALLE 35 # 7-29 
Edificio CAXDAC
piso 1,","ATENCION NO PRESENCIAL DESDE EL ANGEL","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","PROCURADURÍA","D","Cra 5 No. 15 - 80 Piso 7","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM"
"BOGOTA CENTRO
ZONA 2","HUILA","NEIVA","B","Cl. 10 No. 7 a-33  Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","HUILA","PITALITO","E",,"CERRADO TEMPORALMENTE",
"BOGOTA CENTRO
ZONA 2","CUNDINAMARCA","FACATATIVA","D",,"CERRADO TEMPORALMENTE",
"BOGOTA CENTRO
ZONA 2","TOLIMA","IBAGUE","B","CALLE 64#7-24 
Local  04","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","SUPERCADE 20 DE JULIO","E","CRA 5A No 30C-20  PORTAL TRANSMILENIO 20 DE JULIO","ABIERTO","LUNES A VIERNES 8:00 A.M. A 5:00 P.M. 
SÁBADOS DE 8:00 A.M. A 12:00 M."
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","PASEO VILLA DEL RIO","C","Centro Comercial Paseo Villa del Rio Diagonal 57 C sur # 62 - 60 local 110 K","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","MEDELLIN","A","Cra 55 No. 42-90 
local 203-204 
Plaza la Libertad","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","MAYORCA","B","Calle 51 sur # 48 57 Centro Comercial Mayorca local 2192","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","BELLO","D",,"CERRADO TEMPORALMENTE",
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","RIONEGRO","D","Calle 49 n # 50 59 centro comercial ganadero local 108-110","ABIERTO","LUNES A VIERNES
 8:00 AM A 12:00 M 1:00 PM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","APARTADO","C","CLL 95 No. 99-11 Barrio  Fundadores","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","RISARALDA","PEREIRA","A","CLL 19 # 6-48  Centro comercial Alcides Arevalo LOCAL 211","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","CALDAS","MANIZALES","B","Cll 20 No 22-27 Local 2 
Edificio Cumanday","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"ANTIOQUIA - EJE CAFETERO","CALDAS","LA DORADA","E","Cra 3 No. 11-18  
Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
