"fecha","pais","municipio","delito","pais_persona","genero","clase_sitio"
"6/16/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 239. HURTO PERSONAS","COLOMBIA","MASCULINO","VIAS PUBLICAS"
"6/16/22","COLOMBIA","CAMPOALEGRE","ARTÍCULO 103. HOMICIDIO","COLOMBIA","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 111. LESIONES PERSONALES","NO REPORTADO","FEMENINO","ESTABLECIMIENTO EDUCATIVO"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 111. LESIONES PERSONALES","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 221. CALUMNIA","COLOMBIA","MASCULINO","RED VIRTUAL O INTERNET"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 234. INASISTENCIA ALIMENTARIA (CIRCUNSTANCIAS DE AGRAVACIÓN).","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 239. HURTO PERSONAS","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 416. ABUSO DE AUTORIDAD POR ACTO ARBITRARIO E INJUSTO","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","CALI (CT)","ARTÍCULO 239. HURTO PERSONAS","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","CALI (CT)","ARTÍCULO 239. HURTO PERSONAS","COLOMBIA","MASCULINO","FRENTE A RESIDENCIAS - VIA PUBLICA"
"6/15/22","COLOMBIA","CAREPA","ARTÍCULO 233. INASISTENCIA ALIMENTARIA.","COLOMBIA","MASCULINO","CASAS DE HABITACION"
"6/15/22","COLOMBIA","CAUCASIA","ARTÍCULO 111. LESIONES PERSONALES","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","DUITAMA","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","NO REPORTADO","FEMENINO","ESTABLECIMIENTO EDUCATIVO"
"6/15/22","COLOMBIA","FLORENCIA (CT)","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","GÜEPSA","ARTÍCULO 234. INASISTENCIA ALIMENTARIA (CIRCUNSTANCIAS DE AGRAVACIÓN).","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","MEDELLÍN (CT)","ARTÍCULO 239. HURTO PERSONAS","COLOMBIA","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","MEDINA","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","MONTERÍA (CT)","ARTÍCULO 234. INASISTENCIA ALIMENTARIA (CIRCUNSTANCIAS DE AGRAVACIÓN).","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","PEREIRA (CT)","ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","POPAYÁN (CT)","ARTÍCULO 182. CONSTREÑIMIENTO ILEGAL","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","POPAYÁN (CT)","ARTÍCULO 347. AMENAZAS","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","SAN JOSÉ DEL GUAVIARE (CT)","ARTÍCULO 234. INASISTENCIA ALIMENTARIA (CIRCUNSTANCIAS DE AGRAVACIÓN).","COLOMBIA","MASCULINO","ENTIDAD PUBLICA / ESTATAL"
"6/15/22","COLOMBIA","SANTA MARTA (CT)","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","SEVILLA","ARTÍCULO 234. INASISTENCIA ALIMENTARIA (CIRCUNSTANCIAS DE AGRAVACIÓN).","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","SOGAMOSO","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","NO REPORTADO","MASCULINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","SOLEDAD","ARTÍCULO 226. INJURIA POR VÍAS DE HECHO","COLOMBIA","FEMENINO","VIAS PUBLICAS"
"6/15/22","COLOMBIA","TOCAIMA","ARTÍCULO 226. INJURIA POR VÍAS DE HECHO","NO REPORTADO","FEMENINO","VIAS PUBLICAS"
