"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","commoncore_publisher","informacindedatos_fechaemisinddmmaaaa","commoncore_contactname","commoncore_language","commoncore_contactemail","commoncore_license","commoncore_issued","informacindelaentidad_sector","commoncore_references","informacindelaentidad_nombredelaentidad","commoncore_publicaccesslevel","commoncore_bureaucode","commoncore_describedby","commoncore_updatefrequency","informacindedatos_urlnormativa","informacindelaentidad_departamento","informacindelaentidad_autor","informacindelaentidad_orden","commoncore_programcode","commoncore_lastupdate","commoncore_homepage","commoncore_uniqueidentifier","informacindelaentidad_reaodependecia","informacindedatos_fechaemisinaaaammdd","informacindelaentidad_reaodependencia","informacindelaentidad_municipio","commoncore_geographiccoverage","informacindedatos_frecuenciadeactualizacin","informacindedatos_idioma","commoncore_theme","informacindedatos_coberturageogrfica","informacindedatos_urldocumentacin"
"uzt5-j4gb","EMPRESAS REGISTRADAS CAMARA DE COMERCIO DE PEREIRA III","","Camarapereira","9fmm-55cx","published","public","approved","official","dataset","Comercio, Industria y Turismo",,"https://www.datos.gov.co/d/uzt5-j4gb","https://www.datos.gov.co/resource/uzt5-j4gb.json","2021-02-10T04:13:33.000","2021-02-10T04:16:04.000","www.datos.gov.co","false","818","474","50580","15",,,,"https://www.datos.gov.co/d/uzt5-j4gb",,,,,,,,,,,"Comercio, Industria y Turismo",,"Cámara de Comercio de Pereira",,,,,,"Risaralda",,"Territorial",,,,,,"20201214","ÁREA DE TECNOLOGÍAS DE LA INFORMACION","Pereira",,"Anual","Español",,"Departamental",
"hp2x-3ftr","Encuestas individuos que no participan IPCM","El archivo presenta los datos de los individuos registrados como No participantes durante la aplicación de la encuesta del índice de Participación Ciudadana.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Estadísticas Nacionales","calidad,participación,dimensiones","https://www.datos.gov.co/d/hp2x-3ftr",,"2020-10-23T15:06:29.000","2020-10-23T15:06:29.000","www.datos.gov.co","false","63","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Secretaría de Participación Ciudadana",,,,,,,,,,,,"Estadísticas",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2020-04-28","Secretaría de Participación Ciudadana","Medellín",,"Anual","Español",,"Municipal",
"ucni-bnem","Contactos Administradores ICFE","Información de contactos administradores ICFE","CasasFiscales","phr5-9tum","published","public","approved","official","dataset",,,"https://www.datos.gov.co/d/ucni-bnem","https://www.datos.gov.co/resource/ucni-bnem.json","2021-02-11T22:09:31.000","2021-02-11T22:15:03.000","www.datos.gov.co","false","324","39","73","6",,,,"https://www.datos.gov.co/d/ucni-bnem",,,,,,,,,,,"Defensa",,"Instituto de Casas Fiscales del Ejército",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2021-02-11","Viviendas","Bogotá D.C.",,"Semestral","Español",,"Nacional",
"gx34-e6wi","Esquema de publicación Municipio de Barichara","","Barichara","e3sa-bg2r","published","public","approved","official","dataset",,,"https://www.datos.gov.co/d/gx34-e6wi","https://www.datos.gov.co/resource/gx34-e6wi.json","2020-10-26T17:47:23.000","2020-11-03T17:13:47.000","www.datos.gov.co","false","182","9","40","10",,,,"https://www.datos.gov.co/d/gx34-e6wi",,,,,,,,,,,"No Aplica",,"Alcaldía Municipal de Barichara",,,,,,"Santander",,"Territorial",,,,,,"2020-10-14","Secretaría General y de Gobierno","Barichara",,"Anual","Español",,"Municipal","http://www.barichara-santander.gov.co/control/esquema-de-publicacion-de-informacion"
"srwa-7cx9","Registro de Activos de Información","Registro de Activos de Información","Alcaldía de Zipaquirá","eb6f-5426","published","public","approved","official","dataset","Ciencia, Tecnología e Innovación",,"https://www.datos.gov.co/d/srwa-7cx9","https://www.datos.gov.co/resource/srwa-7cx9.json","2020-11-04T15:04:52.000","2021-11-02T16:00:39.000","www.datos.gov.co","false","154","7","29","8",,,,"https://www.datos.gov.co/d/srwa-7cx9",,,,,,,,,,,"Ciencia, Tecnología e innovación",,"Alcaldía Municipal de Zipaquirá",,,,,,"Cundinamarca",,"Territorial",,,,,,"2020 - 01 - 01","Secretarias ","Zipaquirá",,"Anual","Español",,"Municipal",
"xm3v-vrqn","Inventario de Activos de Información 2021","","Alcaldía Municipal de El Colegio","a4sg-2evy","published","public","approved","official","dataset",,,"https://www.datos.gov.co/d/xm3v-vrqn","https://www.datos.gov.co/resource/xm3v-vrqn.json","2022-02-24T20:38:52.000","2022-02-24T20:47:16.000","www.datos.gov.co","false","46","4","57","16",,,,"https://www.datos.gov.co/d/xm3v-vrqn",,,,,,,,,,,"Tecnologías de la Información y las Comunicaciones",,"Alcaldía Municipal de El Colegio",,,,,,"Cundinamarca",,"Territorial",,,,,,"24/02/2022","Secretaria de Planeación y Tics","El Colegio",,"Anual","Español",,"Municipal",
"s7kx-ic4h","Registro de Activos de Informacion Universidad Pedagogica Nacional","re","universidadpedagogica","s2f9-jc3h","published","public","approved","official","dataset","Educación",,"https://www.datos.gov.co/d/s7kx-ic4h","https://www.datos.gov.co/resource/s7kx-ic4h.json","2022-06-19T01:11:47.000","2022-06-19T01:38:36.000","www.datos.gov.co","false","14","11","538","13","spalacios@pedagogica.gov.co","Public Domain","Archivo y Correspondencia","https://www.datos.gov.co/d/s7kx-ic4h",,,,,,,,,,,"Educación",,"Universidad Pedagógica Nacional",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2022-06-18","archivo y correspondencia","Bogotá D.C.",,"Anual","Español",,"Nacional",
"9qsa-7avd","Rutas de Recolección de Residuos Guateque Boyaca","Rutas de la recolección de residuos sólidos que se tiene establecida para el sector urbano del Municipio de Guateque","Guateque Boyaca","bpyg-ae6m","published","public","approved","official","href","Ambiente y Desarrollo Sostenible","dia,servicios públicos,rutas de aseo,recolección de basuras,guateque,alcaldia de guateque","https://www.datos.gov.co/d/9qsa-7avd",,"2021-07-13T21:33:53.000","2021-07-13T21:33:53.000","www.datos.gov.co","false","20","0",,,"comunicaciones@guateque-boyaca.gov.co","Creative Commons Attribution 4.0 International","Alcaldia de Guateque","http://www.guateque-boyaca.gov.co/noticias/rutas-de-recoleccion-de-residuos",,,,,,,,,,,"Ambiente y Desarrollo Sostenible",,"Alcaldía Municipal de Guateque",,,,,,"Boyacá",,"Territorial",,,,,,"2021-07-13","Direccion Administrativa de Servicios Publicos","Guateque",,"Anual","Español",,"Municipal","http://www.guateque-boyaca.gov.co/noticias/rutas-de-recoleccion-de-residuos"
"sgvh-pcgs","Primer trimestre régimen contributivo etareos por EPS 2016","Primer trimestre régimen contributivo etareos por EPS 2016","Secretaria TIC","7ht6-gbyf","published","public","approved","official","dataset","Salud y Protección Social","neiva,2016,contributivo,salud,regimen","https://www.datos.gov.co/d/sgvh-pcgs","https://www.datos.gov.co/resource/sgvh-pcgs.json","2016-08-11T16:26:43.000","2016-08-11T16:27:06.000","www.datos.gov.co","false","301","82","125","22",,"Creative Commons Attribution | Share Alike 4.0 International","Alcaldía Municipal de Neiva en Huila","http://www.alcaldianeiva.gov.co/Transparencia/Paginas/Informes.aspx",,,,,"01/04/2016",,,,,,"Función Pública",,"Alcaldía Municipal de Neiva",,,,,,"Huila",,"Territorial",,,,,,"2016-01-04","ALCALDIA MUNICIPAL DE NEIVA","Neiva",,"Trimestral","Español",,"Municipal",
"r49x-ajv7","Estadisticas portal Anterior","Aquí encontrará las visitas y votos de cada conjunto de datos en el portal anterior","MinTIC","35sh-x879","published","public","approved","official","dataset","Ciencia, Tecnología e Innovación","portal,anterior","https://www.datos.gov.co/d/r49x-ajv7","https://www.datos.gov.co/resource/r49x-ajv7.json","2016-07-31T21:45:51.000","2017-05-03T16:20:13.000","www.datos.gov.co","false","439","171","2295","9",,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones","https://www.datos.gov.co/d/r49x-ajv7",,,,,,,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-07-31","Gobierno Digital","Bogotá D.C.",,"Trienio","Español",,"Nacional",
