"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","estadobeneficiario","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nombredepartamentoatencion","nombremunicipioatencion","pais","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","valorbeneficioconsolidad","valorultimobeneficioasignado"
"2","0","0","47","47189","ACTIVO","ND","1900-01-01","2005-01-01","Mujer","MAGDALENA","CIENAGA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76233","ACTIVO","INDIGENA","1900-01-01","2018-01-01","Mujer","VALLE","DAGUA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"7","0","0","20","20001","ACTIVO","ND","1900-01-01","2007-01-01","Hombre","CESAR","VALLEDUPAR","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"4","0","0","68","68081","ACTIVO","ND","1900-01-01","2009-01-01","Hombre","SANTANDER","BARRANCABERMEJA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47551","NO ACTIVO","ND","1900-01-01","2008-01-01","Mujer","MAGDALENA","PIVIJAY","COLOMBIA","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47980","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2016-01-01","Mujer","MAGDALENA","ZONA BANANERA","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","68","68673","ACTIVO","ND","1900-01-01","2016-01-01","Mujer","SANTANDER","SAN BENITO","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44279","NO ACTIVO","ND","1900-01-01","2008-01-01","Hombre","LA GUAJIRA","FONSECA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47288","ACTIVO","ND","1900-01-01","2006-01-01","Hombre","MAGDALENA","FUNDACION","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50313","NO ACTIVO","ND","1900-01-01","2008-01-01","Hombre","META","GRANADA","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","41","41013","ACTIVO","ND","1900-01-01","2018-01-01","Hombre","HUILA","AGRADO","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47001","NO ACTIVO","ND","1900-01-01","2007-01-01","Mujer","MAGDALENA","SANTA MARTA","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47980","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","MAGDALENA","ZONA BANANERA","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","70","70713","ACTIVO","ND","1900-01-01","2008-01-01","Mujer","SUCRE","SAN ONOFRE","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70001","NO ACTIVO","ND","1900-01-01","2008-01-01","Mujer","SUCRE","SINCELEJO","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44001","NO ACTIVO","ND","1900-01-01","2007-01-01","Hombre","LA GUAJIRA","RIOHACHA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47288","ACTIVO","ND","1900-01-01","2009-01-01","ND","MAGDALENA","FUNDACION","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
