"n_expediente","tiposervicio","a_o","asuntoexpediente","municipio","vereda","coordenada_x","coordenada_y","estado"
"AFAA-0001/16","Aprovechamiento Forestal Especial","2016","AUTORIZACION DE APROVECHAMIENTO FORESTAL CORRESPÓNDIENTE A TRES ARBOLES AISLADOS DE EUCALIPTO","SOGAMOSO","ZONA URBANA",,,"Archivo Definitivo"
"AFAA-0001/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Arboles aislados correspondiente a la especie Pino Patula","MIRAFLORES","ESTANCIA Y TABLON",,,"Para Revisión de Documento"
"AFAA-0001/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TOTA","RANCHERIA",,,"Notificación realizada"
"AFAA-0001/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","DUITAMA","SANTA ANA",,,"Para Visita"
"AFAA-0002/16","Aprovechamiento Forestal Especial","2016","APROVECHAMIENTO FORESTAL DE 35 ÁRBOLES AISLADOS","SANTANA","SANTA BARBARA",,,"Notificación realizada"
"AFAA-0002/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","CANOAS",,,"Notificación realizada"
"AFAA-0002/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SANTA ROSA DE VITERBO","LA LAGUNA",,,"Para Visita"
"AFAA-0003/16","Aprovechamiento Forestal Especial","2016","SOLICITUD 98 ÁRBOLES AISLADOS","PAIPA","CANOCAS",,,"Para Seguimiento"
"AFAA-0003/17","Aprovechamiento Forestal Comercial","2017","APROVECHAMIENTO FORESTAL DE ÁRBOLES AISLADOS","SAMACA","RUCHICAL",,,"Archivo Definitivo"
"AFAA-0003/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados asociados a cultivos","MARIPI","ZULIA",,,"Para Seguimiento"
"AFAA-0003/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","CORTADERAL",,,"Para Visita"
"AFAA-0004/16","Aprovechamiento Forestal Especial","2016","APROVECHAMIENTO 4 ÁRBOLES AISLADOS(GUAYACÁN)","TUNJA","ZONA URBANA",,,"Para Seguimiento"
"AFAA-0004/17","Aprovechamiento Forestal Comercial","2017","APROVECHAMIENTO FORESTAL DE ÁRBOLES AISLADOS","TUNJA","RUNTA",,,"Notificación realizada"
"AFAA-0004/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados asociados a cultivos","PAUNA","MORAL Y LOMA ALTA",,,"Para Seguimiento"
"AFAA-0004/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","ARCABUCO","RUPAVITA",,,"Para Visita"
"AFAA-0005/16","Aprovechamiento Forestal Especial","2016","Solicitud aprovechamiento forestal arboles aislados","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0005/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","MUNICIPIO DE PUERTO BOYACA","PUERTO BOYACA","ZONA URBANA","5 58 40.62","74 35 32.46","Para Notificación"
"AFAA-0005/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento Árboles Aislados para Mantenimiento Vía Nacional","PAEZ","CAPAGA",,,"Vigente"
"AFAA-0005/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PESCA","TOBOCA",,,"Concepto Emitido"
"AFAA-0006/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","Aprovechamiento Forestal de Árboles Aislados","TOGUI","CENTRO",,,"Notificación realizada"
"AFAA-0006/17","Aprovechamiento Forestal Comercial","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SUTAMARCHAN","ERMITAÑO",,,"Notificación realizada"
"AFAA-0006/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados","SOCHA","SAGRA ARRIBA",,,"Archivo Definitivo"
"AFAA-0006/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","TUNEL Y GUAMAL","5°38´39.05´´","74´0´4.39´´","Para Notificación"
"AFAA-0007/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","TALA","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0007/17","Aprovechamiento Forestal Comercial","2017","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","PAIPA","TOIBITA",,,"Notificación realizada"
