"municipio","c_digo_municipio","c_digo","nombre","direcci_n","tel_fono","nombre_rector","tipo_establecimiento","etnias","sector","genero","zona","niveles","jornadas","caracter","especialidad","licencia","grados","modelos_educativos","discapacidades","idiomas","n_mero_de_sedes","estado","prestador_de_servicio","propiedad_de_la_planta_fis","resguardo","matricula_contratada","correo_electr_nico"
"BARANOA","8078","308078000770","CENTRO EDUCATIVO MI MUNDO DE ILUSIONES","KR 15 20 34","878 80 12","JOSE ARIZA JIMENEZ","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA","NO APLICA","SIN ESPECIALIDAD","CONDICIONAL","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","jimimundodeilusiones@yahoo.es"
"BARANOA","8078","308078000630","INSTITUTO DOCENTE LA SAGRADA FAMILIA","CALLE 15  17 - 07","NO TIENE","CIRA DOLORES CONSUEGRA DE MOLINA","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","BÁSICA PRIMARIA","MAÑANA,COMPLETA,TARDE","NO APLICA","SIN ESPECIALIDAD","SIN REVISAR","1,2,3,4,5","EDUCACIÓN TRADICIONAL","INTELECTUAL,VISUAL - BAJA VISION IRREVERSIBLE","SIN DATO","1","ANTIGUO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","insdocsafa@hotmail.com"
"BARANOA","8078","308078000834","C.E. BARANOA INTERAMERICAN SCHOOL","KR 19 23 36","NO TIENE","AMARILYS GUTIERREZ","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE","EN REVISIÓN","SIN ESPECIALIDAD","SIN REVISAR","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","NUEVO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","SIN CORREO"
"BARANOA","8078","308078000851","CENTRO EDUCATIVO MONTESSORI","CL 16 11 25","3016095239","NEIL BARROS ROMER","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE","EN REVISIÓN","SIN ESPECIALIDAD","CONDICIONAL","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","NUEVO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","cemontessori2013@hotmail.com"
"BARANOA","8078","308078000869","CENTRO EDUCATIVO JERUSALEM DE BARAONA","KR 18 24 173","NO TIENE","DAIRO OJEDA ROJANO","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA","EN REVISIÓN","SIN ESPECIALIDAD","SIN REVISAR","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","NUEVO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","SIN CORREO"
"BARANOA","8078","308078800024","CENTRO EDUCATIVO JEAN PIAGET","CL 17 14 78","NO TIENE","DANELLYS BLANQUICET SILVERA","INSTITUCION EDUCATIVA","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE","EN REVISIÓN","SIN ESPECIALIDAD","CONDICIONAL","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","NUEVO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","SIN CORREO"
"BARANOA","8078","308078800032","ESCUELA DE FORMACION PARA EL TRABAJO - ESCADE","KR 19 20 161","NO TIENE","SANDRA CORONADO RODRIGUEZ","INSTITUCION EDUCATIVA","NO APLICA","NO OFICIAL","MIXTO","URBANA","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FIN DE SEMANA","EN REVISIÓN","SIN ESPECIALIDAD","CONDICIONAL","21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS","SIN DATO","SIN DATO","1","NUEVO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","SIN CORREO"
"BARANOA","8078","308078000001","CENTRO EDUCATIVO RAYITOS DE SOL HIGH SCHOOL","KR 18 21 124","8787713","TREYCY SOLANO ESCOBAR","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","NO APLICA","SIN ESPECIALIDAD","CONDICIONAL","-2,-1,0,1,2,3,4,5,6","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","idrayitosdesol@yahoo.es"
"BARANOA","8078","308078000613","JARDIN INFANTIL LOS AMIGUITOS","CALLE. 15   21A - 14","8788833","EDUVINA SARMIENTO CASTRO","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR","MAÑANA,TARDE","NO APLICA","SIN ESPECIALIDAD","SIN REVISAR","-3","EDUCACIÓN TRADICIONAL","LESIÓN NEUROMUSCULAR","SIN DATO","1","ANTIGUO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","jardinmisamiguitos@yahoo.es"
"BARANOA","8078","308078000249","CENTRO EDUCATIVO CORAZON DE MARIA (ANTIGUO COLEGIO MIXTO CORAZON DE MARIA)","KR 22 D 22 A 113","8787988","FRANCISCO PULIDO BARRIOS","CENTRO EDUCATIVO","NO APLICA","NO OFICIAL","MIXTO","URBANA","PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE","NO APLICA","SIN ESPECIALIDAD","CONDICIONAL","-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","jpulido@hotmail.com"
