"departamento_prestacion","municipio_prestacion","servicio","estado","nombre","departamento_domicilio","municipio_domicilio","direccion","telefono","email","tipo_inscripcion","representante_legal","tipo_prestador","clasificacion"
"CUNDINAMARCA","GUADUAS","ACUEDUCTO","OPERATIVA","OFICINA DE SERVICIOS PUBLICOS DE ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE GUADUAS","CUNDINAMARCA","GUADUAS","CALLE 4 No.1-88","8466100","mguaduas@cundinamarca.gov.co","Registro por la ESP","JOSE RAUL PINILLA MARTINEZ","MUNICIPIO (PRESTACIÓN DIRECTA)","MAS DE 2500 SUSCRIPTORES"
"MAGDALENA","EL BANCO","ACUEDUCTO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DE EL BANCO MAGDALENA E.S.P.","MAGDALENA","EL BANCO","Calle 2 No 6  -50","4294852","junior0287@hotmail.com","Registro por la ESP","JAIME ALONSO BAENA FERNANDEZ","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAS DE 2500 SUSCRIPTORES"
"ANTIOQUIA","DONMATIAS","ACUEDUCTO","OPERATIVA","SECRETARIA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE DONMATIAS","ANTIOQUIA","DONMATIAS","Carrera 30 No. 29-59","8663243","serviciospublicos@donmatias-antioquia.gov.co","Registro por la ESP","JAVIER DARIO LOPEZ RESTREPO","MUNICIPIO (PRESTACIÓN DIRECTA)","MAS DE 2500 SUSCRIPTORES"
"META","VILLAVICENCIO","ACUEDUCTO","OPERATIVA","CORPORACION COMUNITARIA DE ACUEDUCTO Y ALCANTARILLADO JUNTAS DE ACCION COMUNAL CIUDAD PORFIA","META","VILLAVICENCIO","Cra.45 No. 57-19 Ciudad Porfia","6708241","coaljacipor@hotmail.com","Registro por la ESP","RAFAEL ZAMORA BOLIVAR","ORGANIZACION AUTORIZADA","MAS DE 2500 SUSCRIPTORES"
"CHOCO","QUIBDO","ACUEDUCTO","INACTIVA","EMPRESAS PUBLICAS DE QUIBDÓ E.S.P.","CHOCO","QUIBDO","BARRIO NIÑO JESUS LOMA CABÍ","6711302","EPQESP@TELECOM.COM.CO","Registro por la ESP","ROBERTO CARLOS ANGULO JIMENEZ","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAS DE 2500 SUSCRIPTORES"
"BOLIVAR","EL CARMEN DE BOLIVAR","ACUEDUCTO","OPERATIVA","AGUAS DE LA COSTA S.A. ESP","BOLIVAR","SAN JUAN NEPOMUCENO","Carrera 8 # 9 - 25","6891923","AGUACOSTA@TELECOM.COM.CO","Registro por la ESP","SANTIAGO RESTREPO ESTRADA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"BOLIVAR","SAN JUAN NEPOMUCENO","ACUEDUCTO","OPERATIVA","AGUAS DE LA COSTA S.A. ESP","BOLIVAR","SAN JUAN NEPOMUCENO","Carrera 8 # 9 - 25","6891923","AGUACOSTA@TELECOM.COM.CO","Registro por la ESP","SANTIAGO RESTREPO ESTRADA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"VALLE DEL CAUCA","BUENAVENTURA","ACUEDUCTO","OPERATIVA","SOCIEDAD DE ACUEDUCTO Y ALCANTARILLADO  DE BUENAVENTURA S.A. E.S.P.","VALLE DEL CAUCA","BUENAVENTURA","Calle 2 con carrera 3 Centro Administrativo Distrital","2410990","casquetejames@hotmail.com","Registro por la ESP","JAMES CASQUETE GARCIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"BOGOTA, D.C.","BOGOTA, D.C.","ACUEDUCTO","OPERATIVA","AGUAS KPITAL S.A. E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","KR. 11  93A-85 PISO 6","6511500","martha.paez@aguaskpital.com","Registro por la ESP","ALVARO ENRIQUE ARAUJO ACUÑA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"BOGOTA, D.C.","BOGOTA, D.C.","ACUEDUCTO","OPERATIVA","AGUAZUL BOGOTA S.A.  E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","CALLE 82 No. 19A 34","7470001","actualizar.cons@etb.net.co","Registro por la ESP","CARLOS ALBERTO GIRALDO LOPEZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
,,"ACUEDUCTO","OPERATIVA","AGUAS DEL PUERTO S.A E.S.P","CAUCA","PUERTO TEJADA","Calle 14 No. 18-62","8282312","aguasdelpuerto@yahoo.com","Registro por la ESP","EDWAR ANTONIO GOMEZ CORRALES",,"MAS DE 2500 SUSCRIPTORES"
"META","PUERTO LOPEZ","ACUEDUCTO","EN PROCESO DE LIQUIDACION","UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS DE PUERTO LOPEZ","META","PUERTO LOPEZ","Calle 3 # 5-18","6450759","uaesp.esp@gmail.com","Registro por la ESP","CARLOS ENRIQUE RANGEL CENTENO","MUNICIPIO (PRESTACIÓN DIRECTA)","MAS DE 2500 SUSCRIPTORES"
"SUCRE","SAN LUIS DE SINCE","ACUEDUCTO","OPERATIVA","EMPRESA MUNICIPAL DE ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE SINCE SUCRE S.A. E.S.P.","SUCRE","SAN LUIS DE SINCE","Calle 9 No 11- 57","2895207","acuasince@hotmail.com","Registro por la ESP","NESTOR JOSE LARA  BARRIOS","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"SUCRE","SANTIAGO DE TOLU","ACUEDUCTO","OPERATIVA","MUNICIPIO  SANTIAGO DE TOLU","SUCRE","SANTIAGO DE TOLU","Cra 2 No  15 - 43","2860598","adolfogonzalezgonzalez@gmail.com","Registro por la ESP","ADOLFO DE JESUS GONZALEZ GONZALEZ","MUNICIPIO (PRESTACIÓN DIRECTA)","MAS DE 2500 SUSCRIPTORES"
"BOGOTA, D.C.","BOGOTA, D.C.","ACUEDUCTO","OPERATIVA","PROACTIVA DE SERVICIOS INTEGRALES S.A.  E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","CRA 46 N 20C 34","3351800","beatrizaldanagarzon@hotmail.co","Registro por la ESP","MARIA FERNANDA MONTAÑA  GAITAN","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"MAGDALENA","ARACATACA","ACUEDUCTO","OPERATIVA","ALCALDIA MUNICIPAL DE ARACATACA","MAGDALENA","ARACATACA","CALLE 9 No. 4A 32","4270727","tufith.hatum@hotmail.com","Registro por la ESP","TUFITH  HATUM ARIAS","MUNICIPIO (PRESTACIÓN DIRECTA)","MAS DE 2500 SUSCRIPTORES"
"BOGOTA, D.C.","BOGOTA, D.C.","ACUEDUCTO","OPERATIVA","AGUAS KAPITAL BOGOTA S.A. E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","CR 11 93A 85","6511500","martha.paez@aguaskpital.com","Registro por la ESP","ALVARO ENRIQUE  ARAUJO  ACUÑA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"BOLIVAR","CALAMAR","ACUEDUCTO","OPERATIVA","GISCOL DIQUE S.A. E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","CALLE 98 No. 15 - 17 PISO 8","6348883","mellis_serrato12@hotmail.com","Registro por la ESP","CAMILO MIGUEL NASSAR MOOR","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
"BOLIVAR","MAHATES","ACUEDUCTO","OPERATIVA","GISCOL DIQUE S.A. E.S.P.","BOGOTA, D.C.","BOGOTA, D.C.","CALLE 98 No. 15 - 17 PISO 8","6348883","mellis_serrato12@hotmail.com","Registro por la ESP","CAMILO MIGUEL NASSAR MOOR","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAS DE 2500 SUSCRIPTORES"
