"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","valorbeneficioconsolidad","valorultimobeneficioasignado"
"1","0","0","54","54518","ND","NO","NO ACTIVO","Sin Información","ND","2014-07-01","1900-01-01","Hombre","TECNICO","NORTE DE SANTANDER","PAMPLONA","Colombia","30-49","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","18","18001","ND","NO","ACTIVO","Sin Información","ND","2017-07-01","1900-01-01","Hombre","ND","CAQUETA","FLORENCIA","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","13","13001","ND","NO","NO ACTIVO","Sin Información","ND","2013-08-01","1900-01-01","Mujer","TECNICO","BOLIVAR","CARTAGENA","Colombia","30-49","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","25","25754","ND","NO","ACTIVO","Sin Información","ND","2014-01-01","1900-01-01","Mujer","ND","CUNDINAMARCA","SOACHA","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
"31","0","0","47","47001","ND","ND","ACTIVO","Sin Información","ND","2018-09-01","1900-01-01","Mujer","TECNOLOGO","MAGDALENA","SANTA MARTA","57","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73268","ND","ND","NO ACTIVO","ND","ND","2014-04-01","1900-01-01","Mujer","ND","TOLIMA","ESPINAL","Colombia","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50001","ND","ND","NO ACTIVO","ND","ND","2013-01-01","1900-01-01","Mujer","ND","META","VILLAVICENCIO","Colombia","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","No Definido","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000"
"1","0","0","76","76109","ND","NO","NO ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2015-07-01","1900-01-01","Hombre","ND","VALLE","BUENAVENTURA","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
"1","0","0","52","52258","ND","ND","ACTIVO","ND","INDIGENA","2018-07-01","1900-01-01","Mujer","ND","NARIÑO","EL TABLON DE GOMEZ","Colombia","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","INDIGENAS","0 - 1.500.000","0 - 1.300.000"
"1","0","0","54","54498","ND","NO","NO ACTIVO","Sin Información","ND","2014-04-01","1900-01-01","Mujer","TECNOLOGO","NORTE DE SANTANDER","OCAÑA","Colombia","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
"1","0","0","13","13001","ND","NO","NO ACTIVO","Sin Información","ND","2014-09-01","1900-01-01","Mujer","ND","BOLIVAR","CARTAGENA","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
"8","0","0","13","13468","ND","NO","ACTIVO","Sin Información","ND","2018-07-01","1900-01-01","Mujer","ND","BOLIVAR","MOMPOS","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","SISBEN","0 - 1.500.000","0 - 1.300.000"
"1","0","0","68","68001","ND","NO","ACTIVO","Sin Información","ND","2014-07-01","1900-01-01","Mujer","TECNOLOGO","SANTANDER","BUCARAMANGA","Colombia","30-49","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
"2","0","0","54","54498","ND","NO","NO ACTIVO","Sin Información","ND","2015-01-01","1900-01-01","Mujer","ND","NORTE DE SANTANDER","OCAÑA","ND","18-29","INCENTIVO MONETARIO CONDICIONADO A LA FORMACION","MONETARIO","TI","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000"
