"tipo_documento","numero_documento","raz_n_social","pa_s","departamento_estado","ciudad","direcci_n","tel_fono","p_gina_web","correo_electr_nico","fuente_origen_del_dato","enlace_origen_del_dato","presta_de_tercero","portal_transaccional","nombre_de_la_prueba","descripci_n","documento_de_referencia","m_todo","fecha_de_actualizaci_n_de","acreditaci_n_vigente","equipos","tiempo_de_duraci_n_de_la"
"nit","900553432-6","PHARMACY CR SAS","Colombia","Bogotá D.C.","Bogotá D.C.","Carrera 123  # 22 G 71","2556114","No Reporta","pharmacysas@gmail.com","No Aplica","No Aplica","No Aplica","No Aplica","DETERMINACIÓN DE Staphylococcus aureus","Preparar la muestra de acuerdo al instructivo I-MB-003 Preparación de las muestras para análisis 
Agitar el recipiente y con un asa desechable, o hisopo estéril realizar una siembra masiva sobre la superficie del agar manitol salado, previamente marcado, con el número de análisis o con los últimos tres o cuatro números de análisis de la muestra.
Tapar e incubar la caja invertida a 30-35 ºC por 18 a 72 horas
Observar si hay presencia de colonias amarillas o blancas rodeadas de una zona amarilla (cambio de color del medio de Rojo a Amarillo). 
Confirmar mediante pruebas de identificación
Registrar en F-MB-011 libro de datos primarios los resultados obtenidos de la siguiente forma:
•	Registrar el número de análisis, la fecha de solicitud, fecha de procesamiento de la muestra y la fecha en el cual saldrán los resultados.
•	Si no se observa la Presencia de colonias características escribir “A” para indicar la Ausencia de S. aureus, en la columna “SA” o “ST” destinada para Staphylococcus aureus; caso contrario escribir “P” para indicar Presencia
Proceder a realizar el reporte de resultados de acuerdo al numeral 7.2 del presente procedimiento","No Aplica","Examen microbiológico de productos no esterales. Pruebas de microorganismos específicos","2022/08/19 00:07:17.000","0","No Aplica","120"
"nit","900138420-9","MICROBIOLOGIA PHARMACEUTICA S.A.S","Colombia","Bogotá D.C.","Bogotá D.C.","Calle 54  # 13  95 Oficina103","2358046","https://www.micropharm.com.co/","gerencia@micropharm.com.co","No Aplica","No Aplica","No Aplica","No Aplica","Agua potable - Escherichia coli, Coliformes Totales, Pseudomonas aeruginosa, Staphylococcus aureus","La prueba permite evidenciar la contaminación microbiológica de forma cualitativa (Ausencia/presencia) del microrganismo a evaluar.","No Aplica","Resolución 2115/2009","2022/08/19 00:07:17.000","0","No Aplica","72"
"nit","830052939-4","Agrilab Laboratorios SAS","Colombia","Bogotá D.C.","Bogotá D.C.","Calle 79 B # 70 - 16","5717454697","https://agrilab.com.co/","subgerencia@agrilab.com.co","No Aplica","No Aplica","No Aplica","No Aplica","Carbonatos e Hidróxidos","Basado en NTC 5167","No Aplica","Basado en NTC 5167","2022/08/19 00:07:17.000","0","No Aplica","5"
"nit","860049921-0","SGS COLOMBIA SAS","Colombia","Bogotá D.C.","Bogotá D.C.","Carrera 100  # 25 C 11","7422274","www.sgs.co","camilo.gaviria@sgs.com","No Aplica","No Aplica","No Aplica","No Aplica","Determinación Densidad Aparente-Cilindro","Determinación Densidad Aparente-cilindro por gravimétria","No Aplica","Determinación Densidad Aparente-Cilindro métodos analíticos del laboratorio de suelos. Instituto geo","2022/08/19 00:07:17.000","1","No Aplica","1"
"nit","860049921-0","SGS COLOMBIA SAS","Colombia","Bogotá D.C.","Bogotá D.C.","Carrera 100  # 25 C 11","7422274","www.sgs.co","camilo.gaviria@sgs.com","No Aplica","No Aplica","No Aplica","No Aplica","Determinación Densidad Aparente-Cilindro","Determinación Densidad Aparente-cilindro por gravimétria","No Aplica","Determinación Densidad Aparente-Cilindro métodos analíticos del laboratorio de suelos. Instituto geo","2022/08/19 00:07:17.000","1","No Aplica","1"
"nit","900215920-1","CORPORACIÓN PATOLOGÍA VETERINARIA CORPAVET","Colombia","Bogotá D.C.","Bogotá D.C.","Calle 25 A # 38 A 16","6012695730","WWW.CORPAVER.COM","paola.barato@corpavet.com","No Aplica","No Aplica","No Aplica","No Aplica","Detección molecular de Francisella noatunensis subsp orientalis","Establecer una metodología estandarizada para detectar un fragmento del gen JQ780324 para el género Francisella noatunesis subsp. orientalis por medio de PCR (reacción de cadena de la polimerasa, por sus siglas en inglés) (Duodu et al., 2012), en extracciones de DNA de muestras procesadas y obtenidas en el laboratorio de biología molecular según el instructivo I – 07 Extracción de ADN.","No Aplica","Dong et al., 2016","2022/08/19 00:07:17.000","0","No Aplica","4"
"nit","830057983-1","TECMOL FARMACEUTICA SAS","Colombia","Bogotá D.C.","Bogotá D.C.","Carrera 71 D # 6 D 59","5145821","www.tecmolfarmaceutica.com","tecmolfarmaceutica@yahoo.com","No Aplica","No Aplica","No Aplica","No Aplica","Prueba de potencia Microbiológica","Capitulo General Farmacopea Vigente","No Aplica","Farmacopea vigente USP <81> Antibioticos","2022/08/19 00:07:17.000","0","No Aplica","120"
"Escritura Pública","12178","Laboratorios Roy H. Anderson S.A. de C.V.","México","No Reporta","Celaya","Calle Norte 11 Mza 1 Lote 1 SN Planta Baja Cd. Industrial Celaya Gto CP 38010","+524616118107","http://laboratoriosanderson.com/","rgutierrez@laboratoriosanderson.com","No Aplica","No Aplica","No Aplica","No Aplica","cyazofamid","Se emplea un solvente que sea afín al ingrediente activo para disolver la muestra y mediante cromatografía de líquidos de alta resolución (HPLC), se lleva a cabo una separación de los distintos componentes por interacciones fisicoquímicas, permitiendo la cuantificación del I.A. usando un estándar como material de referencia.","No Aplica","HPLC basado en CIPAC 653 Handbook O","2022/08/19 00:07:17.000","1","No Aplica","4"
"nit","830071604-3","SYGLA COLOMBIA LTDA","Colombia","Cundinamarca","Soacha","Carrera 3  # 56 - 64 ZONAINDUSTRIAL CAZUCA - SOACHA","7431949","www.syglacol.co","grengifo@syglacol.com","No Aplica","No Aplica","No Aplica","No Aplica","Método de analisis de Bifentrina","Una solución de la muestra que contiene Bifentrina, se separa por cromatografía UPLC en fase
reversa. Los componentes se detectan y cuantifican por medio un detector PAD a 240 nm utilizando
el método de estándar externo.","No Aplica","DETERMINACAO DE BIFENTRINA POR CROMATOGRAFIA LIQUIDA DE ALTA EFICIENCIA. MA. P&D. 0042-V.0. FMC.","2022/08/19 00:07:17.000","0","No Aplica","2"
"nit","900195344-1","Marquimica S.A.S","Colombia","Bogotá D.C.","Bogotá D.C.","Calle 134 D # 52 A 26","6159504","No Reporta","marquimica.control@outlook.com","No Aplica","No Aplica","No Aplica","No Aplica","Análisis de Endotoxinas Bacterianas","Detección de endotoxinas en materia prima y producto terminado","No Aplica","""Farmacopea vigente  Capítulo <85> USP""","2022/08/19 00:07:17.000","0","No Aplica","6"
