"numero_del_rnt","estado","matricula_mercantil","camara_de_comercio","municipio","municipio_notificaciones","nombre_comercial","nit","digito_de_verificacion","razon_social","representante_legal","nombre_gerente","categoria"
"1270","Activo","95495","CUCUTA","CHINACOTA","CHINACOTA","HOTEL Y RESTAURANTE ISLAVITA DE CHINACOTA","13256746","2",,"JORGE RANGEL","JORGE RANGEL","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"20883","Activo","199132","CUCUTA","CHINACOTA","CHINACOTA","HOTEL COLONIAL DE CHINACOTA","900330128","4","CHINACOTA COLONIAL S.A.S","javier raul rojas betancour","JAVIER RAÚL ROJAS BETANCOUR","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"29158","Activo","134832","CUCUTA","CHINACOTA","CUCUTA","TRAVESIAS TOURS S.A.S.","900011258","5","AGENCIA DE VIAJES Y TRANSPORTES ESPECIALES TRAVESIAS TOURS S.A.S","David Alonso Leal Caicedo","DAVID ALONSO LEAL CAICEDO","EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR"
"29325","Activo","203560","CUCUTA","CHINACOTA","CHINACOTA","HOTEL EL BOSQUE GUAYABAL","1090174310","3","ALVAREZ ROZO RAFAEL","rafael alvarez rozo","ALVAREZ ROZO RAFAEL","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"31624","Activo","245145","CUCUTA","CHINACOTA","CHINACOTA","HOSPEDAJE EL RANCHO DE STIVEN","88155830","2","GELVES RICO EDGAR","GELVES RICO EDGAR","EDGAR GELVES RICO","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"31940","Activo","240645","CUCUTA","CHINACOTA","CHINACOTA","HOTEL RESTAURANTE BAR LA CASONA CHINACOTA","42677314","6","MARIN PULGARIN LUZ DARY","luz dary marin pulgarin","Luz Dary Marin Pulgarin","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"35081","Activo","241792","CUCUTA","CHINACOTA","CUCUTA","SAN NICOLAS CAMPESTRE","27898900","6","BARON BAEZ ROSA MARIA","rosa maria baron baez","ROSA MARIA BARON BAEZ","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"37976","Activo","127833","CUCUTA","CHINACOTA","CHINACOTA","ESTADERO EL PARAISO DE CHINACOTA","60399909","0","TORRES VILLAMIZAR NIEVES YURANI","NIEVES YURANI TORRES VILLAMIZAR","NIEVES YURANI TORRES VILLAMIZAR","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"40597","Activo","266913","CUCUTA","CHINACOTA","CHINACOTA","HOTEL ESTEVEZ","13813908","9","HURTADO  PEDRO JESUS","pedro jesus hurtado","HURTADO PEDRO JESUS","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"40780","Activo","276048","CUCUTA","CHINACOTA","CHINACOTA","HOTEL INCANTO CHINACOTA","900330128","4","CHINACOTA COLONIAL S.A.S","javier raul rojas betancour","JAVIER RAÙL ROJAS BETANCOUR","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"40863","Activo","277967","CUCUTA","CHINACOTA","CHINACOTA","POSADA CHITARERA","27682112","0","PRADA ALVAREZ SARA VICTORIA","SARA VICTORIA PRADA ALVAREZ","SARA VICTORIA PRADA ALVAREZ","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"42855","Suspendido","289097","CUCUTA","CHINACOTA","CHINACOTA","ECOPARQUE CHINAQUILLO","900938954","2","OPERADOR TURISTICO ECOPARQUE CHINAQUILLO S.A.S","MIGUEL HURTADO","MIGUEL HUMBERTO HURTADO ALZATE","PARQUES TEMÁTICOS"
"43195","Activo","283980","CUCUTA","CHINACOTA","CHINACOTA","HOTEL CHINACOTA","1098617867","5","RIOS NEIRA JESUS ALFREDO","jesus alfredo rios neira","JESUS ALFREDO RIOS NEIRA","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"43281","Activo","273968","CUCUTA","CHINACOTA","CHINACOTA","HOTEL DORADO LOS CACUAS","27681494","4","CACUA GUTIERREZ OTILIA","CACUA GUTIERREZ OTILIA","OTILIA CACUA GUTIERREZ","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"48390","Activo","309909","CUCUTA","CHINACOTA","CHINACOTA","HOTEL MONACO MONTAÑEZ","1216713287","1","MONTAÑEZ MARTINEZ ANDRES FELIPE","Andres Felipe Montañes Martinez","ANDRES FELIPE montañez martinez","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"49376","Activo","132846","CUCUTA","CHINACOTA","CHINACOTA","HOSPEDAJE WILLIAM","88000564","2","GONZALEZ VILLAMIZAR WILLIAM CRISTOBAL","william cristobal gonzalez villamizar","GONZALEZ VILLAMIZAR WILLIAM CRISTOBAL","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
"49770","Activo","58426","CUCUTA","CHINACOTA","CHINACOTA","POSADA SAN FRANCISCO","5434819","6","RAMIREZ JAIMES JUAN FRANCISCO","JUAN FRANCISCO RAMIREZ JAIMES","juan francisco ramirez jaimes","ESTABLECIMIENTO DE ALOJAMIENTO Y HOSPEDAJE"
