"_","n_mero_de_proceso","tipo_de_proceso","estado","entidad","objeto","departamento_y_municipio","cuant_a","fecha","link"
"1","S.A.S.I.P 010-2020","Subasta","Borrador","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE ELEMENTOS, HERRAMIENTAS Y ACCESORIOS PARA CADA UNA DE LAS AREAS ARTISTICAS DE LA CASA DE LA CULTURA “JULIO VALENCIA MOLINA” EN CONVENIO CON LA EMPRESA ISAGEN, PARA EL FORTALECIMIENTO DE LOS PROCESOS CULTURALES QUE ENMARCAN LA IDENTIDAD, COSTUMBRES Y TRADICIONES DEL MUNICIPIO DE SAN ROQUE - ANTIOQUIA”","Antioquia : San Roque","$ 74,500,000.00","2021-01-06T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-9-470778"
"2","CMC 063-2020","Contratación Mínima Cuantía","Convocado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE DOTACIÓN DE LEY (VESTIDO Y CALZADO DE LABOR) PARA LOS SERVIDORES PÚBLICOS DEL MUNICIPIO DE SAN ROQUE- ANTIOQUIA.","Antioquia : San Roque","$ 23,114,000.00","2020-12-22T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11449277"
"3","CMC 062-2020","Contratación Mínima Cuantía","Convocado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE AVES DE POSTURA HY LINE BROWN DE 17 SEMANAS DE VIDA, CON PLAN SANITARIO COMPLETO.”","Antioquia : San Roque","$ 6,780,000.00","2020-12-22T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11449219"
"4","SAG 063-2020","Contratación Directa (Ley 1150 de 2007)","Liquidado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SERVICIO DE APOYO A LA GESTIÓN EN LA PROMOCION DE LA ACTIVIDAD FISICA, LA RECREACION, Y LOS ESTILOS DE VIDA SALUDABLE EN LOS GRUPOS GERONTOLOGICOS DEL ADULTO MAYOR, ZONA URBANA Y DEL CENTRO DE BIENESTAR DEL ANCIANO DEL MUNICIPIO, 2020","Antioquia : San Roque","$ 6,000,000.00","2020-12-18T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-11038186"
"5","CMC 060-2020","Contratación Mínima Cuantía","Celebrado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","“SUMINISTRO DE INSUMOS DE INSUMOS AGRÍCOLAS PARA LA SIEMBRA DE 32 HECTÁREAS DE CACAO, MEDIANTE EL ACUERDO DE TRABAJO SUSCRITO ENTRE EL COMPLEJO TECNOLÓGICO MINERO AGROEMPRESARIAL- CTMAE Y LA ALCALDÍA DEL MUNICIPIO DE SAN ROQUE ANTIOQUIA SUSCRITO EL 21 DE OCTUBRE DE 2020”","Antioquia : San Roque","$ 10,000,000.00","2020-12-18T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11429010"
"6","CMC 061-2020","Contratación Mínima Cuantía","Celebrado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE UNIFORMES DEPORTIVOS CON DESTINO A NUEVE EQUIPOS DE LA ZONA RURAL, PARTICIPANTES DEL TORNEO VEREDAL DE FUTBOL 11, Y ADQUISICION DE TROFEOS Y MEDALLAS PARA LOS DIFERENTES TORNEOS DE LOS PROGRAMAS DEL DEPORTE SOCIAL COMUNITARIO DE LA SECRETARIA DE EDUCACION, DEPORTE, CULTURA Y TURISMO DEL MUNICIPIO DE SAN ROQUE","Antioquia : San Roque","$ 13,650,000.00","2020-12-18T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11429065"
"7","CMC 059-2020","Contratación Mínima Cuantía","Celebrado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE IMPLEMENTOS DEPORTIVOS CON DESTINO AL FORTALECIMIENTO DE LOS PROGRAMAS DE FORMACION Y ESPECUALIZACIÓN DEPORTIVA, CON RECURSOS DE LA LEY 1289 DEL AÑO 2009 (LEY DEL CIGARRILLO)","Antioquia : San Roque","$ 20,800,680.00","2020-12-17T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11420317"
"8","CVI 004-2020","Régimen Especial","Liquidado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","“AUNAR ESFUERZOS TECNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA REALIZAR ESTUDIOS TOPOGRAFICOS, HIDRAULICOS, SANITARIOS, ELECTRICOS Y ESTURUCTURALES PARA LA CONSTRUCCIÓN DEL TANQUE DE ALMACENAMIENTO, SITEMA DE BOMBEO, REDES DE ACUEDUCTO Y RED DE ALCANTARILLADO PARA LA ZONA DE EXPANCIÓN URBANA DEL MUNICIPIO DE SAN ROQUE.”","Antioquia : San Roque","$ 24,000,000.00","2020-12-16T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10936117"
"9","SAG 072-2020","Contratación Directa (Ley 1150 de 2007)","Liquidado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","PRESTACIÓN DE SERVICIOS EN LA PROMOCIÓN DE LA LA ACTIVIDAD FÍSICA, LA RECREACIÓN Y LOS ESTILOS DE VIDA SALUDABLE EN LOS GRUPOS GERONTOLOGICOS DEL ADULTO MAYOR EN EL CORREGIMIENTO DE SAN JOSE, PROVIDENCIA Y CRISTALES DEL MUNICIPIO DE SAN ROQUE PARA LA VIGENCIA 2020.","Antioquia : San Roque","$ 5,352,000.00","2020-12-15T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-11130408"
"10","CMC 058-2020","Contratación Mínima Cuantía","Terminado Anormalmente después de Convocado","ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE","SUMINISTRO DE AVES DE POSTURA HY LINE BROWN DE 17 SEMANAS DE VIDA, CON PLAN SANITARIO COMPLETO.”","Antioquia : San Roque","$ 6,780,000.00","2020-12-15T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-13-11408655"
