"nombre","nit","tipo_empresa","espyme","ubicacion","fecha_creacion","pais","departamento","municipio","codigo_categoria_principal","descripcion_categoria_principal","tipo_doc_representante_legal","num_doc_representante_legal","nombre_representante_legal","codigo"
"ALCALDIA LOCAL DE BARRIOS","51758931","Otras Entidades públicas","No","No Definido","2018-10-21T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705421048"
"CENTRAL ADMINISTRATIVA Y CONTABLE MEDELLIN","800130708","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2019-01-29T00:00:00.000","No Definido","Antioquia","No Definido","ND","No Definido","No Definido","No Definido","No Definido","706451382"
"CONCEJO MUNICIPAL DE APARTADO","890980095","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-10-19T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705410785"
"CASA DE LA CULTURA DE SAN JUAN NEPOMUCENO","890481013","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-09-27T00:00:00.000","No Definido","Bolívar","San Juan Nepomuceno","ND","No Definido","No Definido","No Definido","No Definido","705283992"
"ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE YOPAL - INPEC","844000729","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2016-03-30T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","700745110"
"DIRECCION TERRITORIAL SALUD DE CALDAS","8001143125","Otras Entidades públicas","No","No Definido","2019-01-12T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","706273422"
"INSTITUTO PURIFICENSE PARA LA RECREACION Y EL DEPORTE IPRD","8907067601","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-05-31T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","704580885"
"MUNICIPIO DE CHISCAS1","800074859","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-09-26T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705278232"
"CENTRO EDUCATIVO MATA DE PITA","900059993","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-12-05T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705858694"
"secretaria de educación distrital","53001644","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2021-07-30T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","714563558"
"JESUS ANTONIO ORDOÑEZ SANDOVAL","16709424","Persona Natural colombiana","No","No Definido","2021-08-02T00:00:00.000","No Definido","Valle del Cauca","Cali","ND","No Definido","Cédula de Ciudadanía","16709424","JESUS ANTONIO ORDOÑEZ SANDOVAL","714598810"
"INSTITUCION EDUCATIVA SAN CALIXTO","813013067","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-08-15T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705035285"
"BANCO INMOBILIARIO DE FLORIDABLANCA","9000158719","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2021-06-18T00:00:00.000","No Definido","Santander","Floridablanca","ND","No Definido","No Definido","No Definido","No Definido","714059128"
"CONTRALORIA GENERAL DEL DEPARTAMENTO DEL CESAR","892300534","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2021-02-10T00:00:00.000","No Definido","Cesar","Valledupar","ND","No Definido","No Definido","No Definido","No Definido","712587278"
"CORPORACION PARA EL DESARROLLO SOCIAL Y CULTURAL DEL VALLE DEL CAUCA","800182554","Otras Entidades públicas","No","No Definido","2021-05-13T00:00:00.000","No Definido","Valle del Cauca","Cali","ND","No Definido","No Definido","No Definido","No Definido","713637361"
"ALCALDÍA MUNICIPAL DE SANTA BARBARA DE ISCUANDE","800099147","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2017-10-24T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","702858473"
"RESGUARDO INDIGENA LOMAS DE GUAGUARCO;","9002786774","Otras Entidades públicas","No","No Definido","2020-07-24T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","710546011"
"EMPRESA SOCIAL DEL ESTADO CEPITA","804015655","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2015-12-18T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","700494156"
"CONCEJO MUNICIPAL DE GUARANDA SUCRE","823000461","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2019-10-16T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","707864047"
"GEIDY ALEXANDRA APOLINAR MORALES","40442353","Persona Natural colombiana","Si","No Definido","2022-08-09T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","Cédula de Ciudadanía","40442353","GEIDY ALEXANDRA APOLINAR MORALES","718739659"
"INSTITUCION EDUCATIVA ANTONIO DE LA TORRE Y MIRANDA","8120076734","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-09-27T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705283679"
"Alcaldía Municipal De Hatonuevo","800255101","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2015-12-01T00:00:00.000","No Definido","La Guajira","Hatonuevo","ND","No Definido","No Definido","No Definido","No Definido","700457047"
"823005088","823005088","Entidad Estatal de acuerdo con la definición del Decreto 1082 de 2015","No","No Definido","2018-12-06T00:00:00.000","No Definido","No Definido","No Definido","ND","No Definido","No Definido","No Definido","No Definido","705868099"
