"a_o","secretaria","nombreestablecimiento","zona","direccion","telefono","codigo_etc","tipo_establecimiento","etnias","sector","genero","niveles","jornada","caracter","especialidad","grados","modelos_educativos","modelos","discapacidades","idiomas","numero_de_sedes","estado","prestador_de_servicio","propiedad_planta_fisica","resguardo","matricula_contratada","calendario","internado","estrato_socio_economico","correo_electronico"
"2016","BOGOTA","INSTITUCION EDUCATIVA SAN NICOLAS LTDA","URBANA","KR 78 C BIS 35 11 SUR","2733990","ALIRIO LOZANO","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,FIN DE SEMANA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"academicanuevohorizonte@gmail.com"
"2016","BOGOTA","CENTRO EDUCATIVO SAN PABLO CESP","URBANA","CL 48 P 5 G 03 SUR","7723210","RUTH MARY SILVIA RAMOS","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","NOCTURNA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"administracion@liceosanpablo.edu.co"
"2016","BOGOTA","INST IP EDUCANDO LA JUVENTUD FUTURO DE COLOMBIA                                                     ","URBANA","KR 90 A 80 55 PI 3","4340071 -- 3004494530","PEDRO PATIÑO LOPEZ","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA,FIN DE SEMANA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"adrianarinconmurcia@hotmail.com"
"2016","BOGOTA","ATENEO JUAN EUDES                                                                                   ","URBANA","TV 74 81 C 05","5082230","MARIA ELIA LOPEZ RINCON","INSTITUCION EDUCATIVA",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"FEDERACIONES","FEDERACIONES","NO APLICA","NO","A",,,"ateneo@colegiosminutodedios.edu.co -- gisseda@colegiosminutodedios.edu.co"
"2016","BOGOTA","GRUPO EDUCATIVO BACATA                                                                              ","URBANA","AK 20 81 28","6185070 -- 6185670 -- 6163580","ADELAIDA GARAVITO MARULANDA","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"bacatacol@yahoo.com"
"2016","BOGOTA","COL DE BTO PATRIA                                                                                   ","URBANA","CL 100 11 00","2147327","CLAUDIA YANIVE PRIETO CASTILLO","INSTITUCION EDUCATIVA",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"REGIMEN ESPECIAL","REGIMEN ESPECIAL","NO APLICA","NO","A",,,"bachilleratopatria@hotmail.com                    "
"2016","BOGOTA","COL DE PROFESIONALIZACION TECNOLOGICA                                                               ","URBANA","CL 79 107 28","2273796 / 5351264 / 5351265                       ","MARIA CAROLINA MACIAS","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","NOCTURNA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,," ccocobo@hotmail.com"
"2016","BOGOTA","COL COOP MINUTO DE DIOS                                                                             ","URBANA","IND TR 74 NO.82B-05","2510809 ext. 127                                  ","MAURICIO BELTRÁN CASTRO","INSTITUCION EDUCATIVA",,,,"MEDIA,BÁSICA SECUNDARIA","NOCTURNA",,"ACADÉMICA","6,7,8,9,10,11,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"COOPERATIVO","COOPERATIVO","NO APLICA","NO","OTRO",,,"cemidminuto@hotmail.com                           "
"2016","BOGOTA","COL CENCOSISTEMAS                                                                                   ","URBANA","KR 18 18 68 SUR","2723291 -- 5605540","JHON JAIRO AYALA","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"cencosistemasdc@hotmail.com"
"2016","BOGOTA","COL CHARLES BABBAGGE                                                                                ","URBANA","KR 78 B 39 A 02 SUR","4503974","LUIS HERNANDO LOZANO BRAVO","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA,NOCTURNA",,"ACADÉMICA","23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"charlesbabbagge9@hotmail.com"
