"departamento","minicipio","nombre_de_la_sede","direcci_n","coordenadas","telefono","email","nombre_grupo_del_servicio","nombre_del_servicio"
"Valle del Cauca","CALI","CLINICA AMIGA","Carrera 70 # 18 - 75 Esquina","(3.3929722, -76.5265)","3336999","adriantorres@comfandi.com.co, marthaarango@comfandi.com.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","JOHN JAIRO SANCHEZ BLANDON","CALLE 5D 38 A-35 BLOQUE I CONSULTORIO 1023","(3.4230833, -76.5421667)","5529919 - 6821000 EXT.13104-13106","drsanchezmastologo@hotmail.com","Consulta Externa","364-CIRUGÍA DE MAMA Y TUMORES TEJIDOS BLANDOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","GAMANUCLEAR LTDA","AV 2CN # 24N-120 CS 201-202","(3.4638333, -76.5225278)","926602627","gamanuclear@hotmail.com.co","Consulta Externa","383-MEDICINA NUCLEAR - SI ONCOLÓGICO"
"Valle del Cauca","CALI","GAMANUCLEAR LTDA No. 3","CL 9C # 50-25","(3.4106389, -76.5395556)","925133780","gamanuclear@hotmail.com","Apoyo Diagnóstico y Complementación Terapéutica","715-MEDICINA NUCLEAR - SI ONCOLÓGICO"
"Valle del Cauca","PALMIRA","GAMANUCLEAR LTDA No. 10","CALLE 44 No. 30-92","(3.5398889, -76.29925)","3218530198","gamanuclear@hotmail.com","Consulta Externa","383-MEDICINA NUCLEAR - NO ONCOLÓGICO"
"Valle del Cauca","CALI","JAVIER FERNANDO GUTIERREZ VILLEGAS","CRA 38A # 5A-100 CENTRO MEDICO IMBANACO torre b cons 708","(3.4244444, -76.54425)","5583801","javiergutierrez123@hotmail.com","Consulta Externa","373-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","JUAN PABLO SUSO AYERBE","CRA 38A # 5A-109 TORRE B CONSULTORIO 703","(3.4245556, -76.5440833)","5560406","juanpsuso@hotmail.com; juan.suso.asistente@imbanaco.com.co","Consulta Externa","379-GINECOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","FUNDACIÓN UNIÓN PARA EL CONTROL DEL CÁNCER - UNICÁNCER","CL 5B # 29-01","(3.4326389, -76.5405556)","5566093","calidad@unicancercali.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","ONCOLOGOS ASOCIADOS DE IMBANACO S.A.","CRA 38A # 5A-76 PISO 2","(3.4245556, -76.5444722)","5560428 - 5560435 - 5180006","gerenciaadministrativa@oncologosdeimbanaco.com.co","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","CALI","ONCOLOGOS ASOCIADOS DE IMBANACO S.A.","CL 5 B 4 # 38-16","(3.4256944, -76.5435833)","925140395","oncologos@imbanaco.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","COF VERSALLES","CALLE 23BN#3N-57","(3.4645, -76.5256667)","4853232","jefe@cofcali.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","SEDE 04 CENTRO MEDICO IMBANACO C.M.I.","CRA 38A # 5A-76 PISO 1 - RADIOTERAPIA","(3.4245, -76.5444444)","6821000 ext. 15620 - 15621","gerencia@imbanaco.com.co","Apoyo Diagnóstico y Complementación Terapéutica","711-RADIOTERAPIA"
"Valle del Cauca","CALI","CENTRO MEDICO IMBANACO DE CALI SEDE 16","CRA. 38 BIS No. 5 B2 - 04","(3.4268056, -76.5452778)","6821000 ext. 15620 - 15621","gerencia@imbanaco.com.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","CLINICA NUESTRA SEÑORA DE LOS REMEDIOS","AV 2N # 24-157","(3.4631944, -76.5238889)","6081000 ext 180- 239","coordinadorcalidad@clinicadelosremedios.org","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","ALVARO GOMEZ DIAZ","CL 5B-5 # 38-10 Consultorio 404","(3.4246667, -76.543)","925245839","gdalvaro55@gmail.com","Consulta Externa","406-HEMATOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","INDIRA ROSERO MARTINEZ","CRA 44 # 5B-24","(3.4190278, -76.5464167)","5131703","indi8171@hotmail.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
