"fecha_corte","nom_rpt","cod_pais","pais","cod_estado_depto","estado_depto","cod_ciudad_muni","ciudad_municipio","param_hecho","hecho","etnia","sexo","discapacidad","ciclo_vital","per_ocu","per_decla","per_ubic","per_sa","eventos"
"2022/04/30","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","68","Santander","68190","Cimitarra","4","Desaparición forzada","Negro(a) o Afrocolombiano(a)","Hombre","Ninguna","entre 29 y 60","5","4","5","4","5"
"2022/04/30","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","8","Atlantico","8001","Barranquilla","5","Desplazamiento forzado","Negro(a) o Afrocolombiano(a)","Hombre","Por Establecer","entre 18 y 28",,"7","5","5",
"2022/01/31","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","73","Tolima","73461","Murillo","5","Desplazamiento forzado","Raizal del Archipielago de San Andres y Providencia","Mujer","Ninguna","entre 12 y 17","1",,,,"1"
"2022/02/28","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","73","Tolima","73461","Murillo","5","Desplazamiento forzado","Ninguna","Hombre","Fisica","entre 61 y 100","6","3","2","2","6"
"2022/05/31","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","18","Caqueta","18592","Puerto Rico","14","Lesiones Personales Psicologicas","Ninguna","Hombre","Fisica","entre 29 y 60","3",,"2","2","3"
"2022/06/30","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","13","Bolivar","13655","San Jacinto Del Cauca","6","Homicidio","Ninguna","Mujer","Por Establecer","entre 29 y 60","1",,,,"1"
"2022/01/31","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","13","Bolivar","13688","Santa Rosa Del Sur","5","Desplazamiento forzado","Indigena","Mujer","Fisica","entre 12 y 17","1",,,,"1"
"2022/06/30","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","27","Choco","27001","Quibdo","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Negro(a) o Afrocolombiano(a)","Hombre","Intelectual","entre 29 y 60",,"2","1",,
"2022/07/31","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","76","Valle del Cauca","76275","Florida","2","Amenaza","Indigena (Acreditado RA)","Hombre","Intelectual","entre 29 y 60","2","2","2","2","4"
"2022/06/30","REPORTE VICTIMAS POR HECHO, CIFRA MUNICIPAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ub","48","COLOMBIA","52","Nariño","52258","El Tablon de Gomez","5","Desplazamiento forzado","Indigena (Acreditado RA)","Hombre","Multiple","entre 18 y 28","1",,,,"1"
