"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","valorbeneficioconsolidad","valorultimobeneficioasignado"
"1","1","1","95","95001","ND","ND","ACTIVO","ND","INDIGENA","2016-11-01","2016-01-01","Mujer","ND","GUAVIARE","SAN JOSE DEL GUAVIARE","Colombia","18-29","CAPITALIZACION COLECTIVA","ESPECIE","CC","AMBAS CONDICIONES","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","1","1","52","52256","ND","ND","ACTIVO","Sin Información","ND","2016-02-01","2016-01-01","Mujer","ND","NARIÑO","EL ROSARIO","Colombia","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","19","19450","ND","NO","ACTIVO","SO","ND","2018-03-01","2018-01-01","Hombre","SIN ESPECIFICAR","CAUCA","MERCADERES","ND","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","52","52215","ND","NO","ACTIVO","CA","INDIGENA","2016-02-01","2016-01-01","Hombre","ND","NARIÑO","CORDOBA","ND",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","73","73026","ND","NO","NO ACTIVO","UL","ND","2018-03-01","2018-01-01","Hombre","PRIMARIA","TOLIMA","ALVARADO","169",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","1","1","50","50711","ND","NO","ACTIVO","SO","ND","2016-02-01","2016-01-01","Hombre","ND","META","VISTAHERMOSA","COLOMBIA",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","1","1","13","13244","ND","NO","NO ACTIVO","CA","ND","2018-03-01","2018-01-01","Hombre","ND","BOLIVAR","EL CARMEN DE BOLIVAR","ND",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","23","23855","ND","NO","ACTIVO","UL","ND","2016-02-01","2016-01-01","Mujer","ND","CORDOBA","VALENCIA","COLOMBIA","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","1","1","68","68406","ND","NO","ACTIVO","CA","ND","2016-02-01","2016-01-01","Mujer","ND","SANTANDER","LEBRIJA","COLOMBIA",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","1","1","73","73026","ND","NO","NO ACTIVO","SO","ND","2018-03-01","2018-01-01","Hombre","ND","TOLIMA","ALVARADO","COLOMBIA",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","6","1","20","20228","ND","NO","ACTIVO","ND","ND","2018-04-01","2018-01-01","Hombre","ND","CESAR","CURUMANI","ND","18-29","CAPITALIZACION COLECTIVA","ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000"
"1","1","1","13","13600","ND","NO","ACTIVO","ND","ND","2016-02-01","2017-01-01","Hombre","ND","BOLIVAR","RIO VIEJO","ND",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","AMBAS CONDICIONES","0 - 1.500.000","0 - 1.300.000"
"1","1","1","41","41001","ND","NO","ACTIVO","Sin Información","ND","2016-02-01","2016-01-01","Hombre","ND","HUILA","NEIVA","ND","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","6","1","20","20228","H-HOMBRE","NO","NO ACTIVO","DI","ND","2018-05-01","2018-01-01","Hombre","ND","CESAR","CURUMANI","COLOMBIA",">65","CAPITALIZACION COLECTIVA","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","52","52260","ND","NO","ACTIVO","CA","ND","2016-02-01","2016-01-01","Hombre","SIN ESPECIFICAR","NARIÑO","EL TAMBO","ND","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","18","18592","ND","NO","ACTIVO","CA","ND","2016-02-01","2017-01-01","Mujer","ND","CAQUETA","PUERTO RICO","COLOMBIA","50-65","CAPITALIZACION COLECTIVA","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
