"objectid","plpcodigo","plpnombre","bputipo","plpdirecci","bputelefon","bpuemail","bpupagweb","plpcodloc","plpnomloc","plpcodupz","plpnomupz","plpcodsec","plpnomsec","bpunodo","plpestado","plpanio","cod","bpuclasif","point_x","point_y"
"1","1.Punto","Kennedy","N.A.","CL 42 SUR 78M 50","N.A.","N.A.","N.A.","8","Kennedy","UPZ47","Kennedy Central","4507","Ciudad Kennedy Sur","N.A.","Activo","2016","N.A.","N.A.","-74,16049183100","4,61898275500"
"2","2.Punto","Perseverancia","N.A.","KR 5A 30 30","N.A.","N.A.","N.A.","3","Santa Fé","UPZ91","Sagrado Corazon","8109","San Martin","N.A.","Activo","2016","N.A.","N.A.","-74,06677574400","4,61681452700"
"3","3.Punto","Restrepo","N.A.","KR 19 18 51 SUR","N.A.","N.A.","N.A.","15","Antonio Nariño","UPZ38","Restrepo","2103","Restrepo","N.A.","Activo","2016","N.A.","N.A.","-74,10184394700","4,58530896800"
"4","4.Punto","20 de Julio","N.A.","KR 6 24 60 SUR","N.A.","N.A.","N.A.","4","San Cristóbal","UPZ34","20 De Julio","1301","Granada Sur","N.A.","Activo","2016","N.A.","N.A.","-74,09320418200","4,57068713300"
"5","5.Punto","Fontibón","N.A.","CL 19 103 14","N.A.","N.A.","N.A.","9","Fontibón","UPZ75","Fontibon","6410","Centro Fontibon","N.A.","Activo","2017","N.A.","N.A.","-74,14458075100","4,67610352600"
"6","6.Punto","Trinidad Galán","N.A.","KR 60 5 00","N.A.","N.A.","N.A.","16","Puente Aranda","UPZ43","San Rafael","4307","San Gabriel","N.A.","Activo","2017","N.A.","N.A.","-74,11955515500","4,62308016900"
"7","7.Punto","Samper Mendoza","N.A.","KR 25 22A 73","N.A.","N.A.","N.A.","14","Los Mártires","UPZ102","La Sabana","6108","Samper Mendoza","N.A.","Activo","2017","N.A.","N.A.","-74,08286768200","4,61894572600"
"8","8.Punto","Quirigua","N.A.","CL 90 91 52","N.A.","N.A.","N.A.","10","Engativá","UPZ29","Minuto De Dios","5630","Ciudad Bachue","N.A.","Activo","2018","N.A.","N.A.","-74,09809162400","4,71398376100"
"9","9.Punto","Doce de octubre","N.A.","CL 72 51 62","N.A.","N.A.","N.A.","12","Barrios unidos","UPZ22","Doce De Octubre","5202","Doce De Octubre","N.A.","Activo","2018","N.A.","N.A.","-74,07432057300","4,66926013500"
"10","10.Punto","Las ferias","N.A.","CL 74B 69Q 35","N.A.","N.A.","N.A.","10","Engativá","UPZ26","Las Ferias","5405","Las Ferias Occidental","N.A.","Activo","2018","N.A.","N.A.","-74,08944809200","4,68627815400"
"11","11.Punto","Cruces","N.A.","CL 1F  4 - 60","N.A.","N.A.","N.A.","3","Santa Fé","UPZ95","Las Cruces","3202","Las Cruces","N.A.","Activo","2018","N.A.","N.A.","-74,07827375300","4,58757124000"
"12","12.Punto","Santander","N.A.","CL 26 SUR 30 51","N.A.","N.A.","N.A.","15","Antonio Nariño","UPZ38","Restrepo","2302","Santander Sur","N.A.","Activo","2018","N.A.","N.A.","-74,11169447700","4,59145878200"
"13","1.BE","Portal Sur","N.A.","AC 57 SUR con KR 73 a la entrada del portal después del torniquete.","N.A.","N.A.","N.A.","7","Bosa","UPZ49","Apogeo","4529","Cemeneterio Jardines Apogeo","N.A.","Activo","2016","N.A.","N.A.","-74,16922347400","4,59680033000"
"14","2.BE","Portal 20 de Julio","N.A.","KR 5A con CL 31 SUR en el segundo piso al terminar la rampa.","N.A.","N.A.","N.A.","4","San Cristóbal","UPZ34","20 de Julio","1407","Suramericana","N.A.","Activo","2016","N.A.","N.A.","-74,09717986200","4,56558660000"
"15","3.BE","Portal Usme","N.A.","AK 14 CL 65 SUR en el túnel a la subida de la escalera de salida del portal.","N.A.","N.A.","N.A.","5","Usme","UPZ56","Danubio","2589","Porvenir","N.A.","Activo","2016","N.A.","N.A.","-74,12016420000","4,53039930800"
"16","4.BE","Portal Américas","N.A.","AK 86 con AC 43 SUR a la entrada del portal pasando el torniquete al lado de los cajeros.","N.A.","N.A.","N.A.","8","Kennedy","UPZ83","Las Margaritas","4316","Las Margaritas","N.A.","Activo","2016","N.A.","N.A.","-74,17245630400","4,62942491100"
"17","5.BE","Portal Suba","N.A.","AC 145 con AK 104 a la entrada del portal antes del torniquete.","N.A.","N.A.","N.A.","11","Suba","UPZ27","Suba","9211","El Poa","N.A.","Activo","2016","N.A.","N.A.","-74,09422839500","4,74685814800"
"18","6.BE","Estación de Intercambio Ricaurte","N.A.","AC 13 entre KR 27 y 29 hacía la mitad del túnel debajo de la escalera.","N.A.","N.A.","N.A.","14","Martires","UPZ102","La Sabana","4101","Ricaurte","N.A.","Activo","2016","N.A.","N.A.","-74,09176067300","4,61357281700"
"19","7.BE","Portal Dorado","N.A.","CL 26 AV Ciudad De Cali","N.A.","N.A.","N.A.","9","Fontibón","UPZ115","Capellania","5626","Los Alamos","N.A.","Activo","2017","N.A.","N.A.","-74,12089401800","4,68090461300"
"20","8.BE","Estación San Diego","N.A.","CR 10 CL 22","N.A.","N.A.","N.A.","3","Santa Fé","UPZ93","Las nieves","3101","La Alameda","N.A.","Activo","2017","N.A.","N.A.","-74,07126393200","4,61133694200"
"21","9.BE","Estación Héroes","N.A.","Autonorte CL 80","N.A.","N.A.","N.A.","2","Chapinero","UPZ97","Chico Lago","8313","Lago Gaitan","N.A.","Activo","2018","N.A.","N.A.","-74,06027241100","4,66848871400"
"22","10.BE","Estación Banderas","N.A.","AV Américas KR 75","N.A.","N.A.","N.A.","8","Kennedy","UPZ46","Castilla","6508","Las Dos Avenidas","N.A.","Activo","2018","N.A.","N.A.","-74,14565606800","4,63132981000"
"23","11.BE","Estación General Santander","N.A.","AV CL 45 A SUR con KR 50 A","N.A.","N.A.","N.A.","16","Puente Aranda","UPZ41","Muzu","2309","Villa Mayor Oriental","N.A.","Activo","2019","N.A.","N.A.","-74,12913656800","4,59356335500"
"24","12.BE","Portal Tunal - Trasmicable","N.A.","CL 56 SUR 23 65","N.A.","N.A.","N.A.","6","Tunjuelito","UPZ42","Venecia","2410","Parque el Tunal","N.A.","Activo","2019","N.A.","N.A.","-74,13950459100","4,56980987100"
"25","1","Biblioteca Pública del Deporte","Local","Estadio Nemesio Camacho El Campín  L.9 KR 30 con CL 57","6015803050 ext. 6161","coord_cp@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","13","Teusaquillo","UPZ100","Galerías","7201","Campín","Nodo Virgilio Barco","Activo","2016","20","BibloRed","-74,07755018800","4,64590840300"
"26","3","Biblioteca Pública Carlos E. Restrepo","Local","TV 21A 19 54 SUR","6015803050 ext. 6020","direccion_rt@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","15","Antonio Nariño","UPZ38","Restrepo","2103","Restrepo","Nodo Carlos E Restrepo","Activo","2016","5","BibloRed","-74,10337372100","4,58438202900"
"27","4","Biblioteca Pública Bosa","Local","KR 97C 69A  08 SUR CE Metro Recreo","6015803050 ext. 6041","direccion_bs@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","7","Bosa","UPZ87","Tintal Sur","4638","Ciudadela El Recreo","Nodo Manuel Zapata Olivella","Activo","2016","2","BibloRed","-74,20086543200","4,63293171100"
"28","5","Biblioteca Pública Perdomo Soledad Lamprea","Barrio","DG 62G SUR 72B 51 PI 2 y 3","6015803050 ext. 6121","direccion_pd@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","19","Ciudad Bolívar","UPZ69","Ismael Perdomo","2450","Perdomo Alto","Nodo Gabriel García Márquez","Activo","2016","11","BibloRed","-74,16822118700","4,58789292500"
"29","6","Biblioteca Pública Las Ferias","Barrio","KR 69J 73 29","6015803050 ext. 6081","direccion_fr@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","10","Engativá","UPZ26","Las Ferias","5405","Las Ferias Occidental","Nodo Virgilio Barco","Activo","2016","22","BibloRed","-74,08936438500","4,68375338500"
"30","7","Biblioteca Pública Lago Timiza","Barrio","KR 74 42G 52 SUR","6015803050 ext. 6131","direccion_tm@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","8","Kennedy","UPZ48","Timiza","4518","Timiza A","Nodo Manuel Zapata Olivella","Activo","2016","4","BibloRed","-74,15848302000","4,60978388400"
"31","8","Biblioteca Pública El Tintal Manuel Zapata Olivella","Mayor","AV Ciudad de Cali 6C 09","6015803060","direccion_tt@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","8","Kennedy","UPZ79","Calandaima","6516","Tintala","Nodo Manuel Zapata Olivella","Activo","2016","1","BibloRed","-74,15461156000","4,64312704300"
"32","10","Biblioteca Pública Puente Aranda Néstor Forero Alcalá","Barrio","CL 4 31D 30","6015803050 ext. 6091","direccion_pa@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","16","Puente Aranda","UPZ40","Ciudad Montes","4202","Comuneros","Nodo Carlos E Restrepo","Activo","2016","9","BibloRed","-74,10324333800","4,60590145700"
"33","11","Biblioteca Pública Rafael Uribe Uribe","Barrio","KR 13B 31G 40 SUR","6015803050","direccion_ru@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","18","Rafael Uribe Uribe","UPZ36","San José","1402","Gustavo Restrepo","Nodo Carlos E Restrepo","Activo","2016","8","BibloRed","-74,11140672400","4,57506779700"
"34","12","Biblioteca Pública La Victoria","Local","CL 37 BIS B SUR 2 81 ESTE","6015803050 ext. 6101","direccion_vt@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","4","San Cristóbal","UPZ50","La Gloria","1355","Las Guacamayas I","Nodo Carlos E Restrepo","Activo","2016","7","BibloRed","-74,09468612000","4,55401850100"
"35","721","Biblioteca Pública La Peña","Barrio","KR 7 ESTE 5 57","6015803050 ext. 6151","direccion_pn@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","3","Santa Fé","UPZ96","Lourdes","3206","La Peña","Nodo Carlos E Restrepo","Activo","2016","6","BibloRed","-74,06679587700","4,58776053500"
"36","14","Biblioteca Pública de Suba Francisco José de Caldas","Local","KR 92 146C 24","6015803050 ext. 6052","direccion_sb@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","11","Suba","UPZ27","Suba","9212","Suba Urbano","Nodo Julio Mario Santo Domingo","Activo","2016","17","BibloRed","-74,08483093300","4,74120987700"
"37","15","Centro Cultural y Biblioteca Pública Julio Mario Santo Domingo","Mayor","AC 170 67 51","6015803080","direccion_jm@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","11","Suba","UPZ18","Britalia","9134","San José V Sector","Nodo Julio Mario Santo Domingo","Activo","2016","16","BibloRed","-74,06298132200","4,75627097600"
"38","16","Biblioteca Pública Virgilio Barco","Mayor","AK 60 57 60","6015803010","direccion_vb@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","13","Teusaquillo","UPZ104","Parque Simón Bolívar CAN","5116","Pablo VI Norte","Nodo Virgilio Barco","Activo","2016","19","BibloRed","-74,08845316800","4,65708336600"
"39","17","Biblioteca Pública Arborizadora Alta","Barrio","CL 70 SUR 34 05","6015803050 ext. 6141","direccion_aa@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","19","Ciudad Bolívar","UPZ70","Jerusalem","2573","Arborizadora Alta","Nodo Gabriel García Márquez","Activo","2016","12","BibloRed","-74,15962029600","4,56830237900"
