"municipio","c_digo_municipio","c_digo","nombre","direcci_n","tel_fono","nombre_rector","tipo_establecimiento","etnias","sector","genero","zona","niveles","jornadas","caracter","especialidad","licencia","grados","modelos_educativos","discapacidades","idiomas","n_mero_de_sedes","estado","prestador_de_servicio","propiedad_de_la_planta_fis","resguardo","matricula_contratada","correo_electr_nico"
"BARANOA","8078","208078000813","I.E. TECNICA MARIA INMACULADA DE PITAL DE MEGUA","CRA 15 # 11-96","3008438553","JACINTA RAQUEL JIMENEZ DE PALMA","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","RURAL","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA","TÉCNICO/ACADEMICO","OTRO,ACADÉMICA","SIN REVISAR","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,ENTORNO INSTITUCIONAL,A CRECER,EDUCACIÓN TRADICIONAL,SAT,MODALIDAD VIRTUAL ASISTIDA UCN","SIN DATO","SIN DATO","3","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","jacintaraq@hotmail.com"
"BARANOA","8078","208078000201","INSTITUCION EDUCATIVA DE SIBARCO","CALLE 3  3 - 36","NO TIENE","JAVIER BARRIOS ESCOBAR","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","RURAL","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA","ACADÉMICO","ACADÉMICA","SIN REVISAR","-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,A CRECER,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL,SAT,CAFAM,MODALIDAD VIRTUAL ASISTIDA UCN","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","SIN CORREO"
"BARANOA","8078","108078000100","INSTITUCION EDUCATIVA JUAN JOSE NIETO","KR 16 21 B 22","8787765","SAMIR ELIAS AYUS PUPO","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA","TÉCNICO/ACADEMICO","COMERCIAL,ACADÉMICA","SIN REVISAR","-1,0,1,2,3,4,5,6,7,8,9,10,11,14,21,22,23,24,25,26,99","ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE,CAFAM,SAT","SIN DATO","SIN DATO","5","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","iejjn@hotmail.com"
"BARANOA","8078","108078000673","INSTITUCION EDUCATIVA TECNICA AGROPECUARIA DE CAMPECHE","CALLE 6A  16 - 115","8780388 - 3012215444","HERNANDO PARDO","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","RURAL,URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","MAÑANA,COMPLETA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA","TÉCNICO","AGROPECUARIO","SIN REVISAR","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","ESPERE,POST PRIMARIA,ENTORNO INSTITUCIONAL,A CRECER,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM,MODALIDAD VIRTUAL ASISTIDA UCN","SIN DATO","SIN DATO","4","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","i.e.tecnicaagropecuariacampeche@hotmail.com"
"BARANOA","8078","108078000215","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL PEDRO A. OÑORO DE BARANOA","CL 12 19 409","8788706-8787661","GUILLERMO MOLINA ORTIZ","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA","TÉCNICO/ACADEMICO","INDUSTRIAL,ACADÉMICA","SIN REVISAR","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,15,20,21,22,23,24,25,26","ESPERE,ENTORNO INSTITUCIONAL,A CRECER,EDUCACIÓN TRADICIONAL,CAFAM,SAT,MODALIDAD VIRTUAL ASISTIDA UCN","SORDERA PROFUNDA,HIPOACUSIA O BAJA AUDICIÓN","SIN DATO","5","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","itiba2006@outlook.com"
"BARANOA","8078","108078000011","INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SANTA ANA DE BARANOA","KR 19 11 51","8788678-8789511","LILIANA DEVIS ALGARIN","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,ÚNICA,TARDE","TÉCNICO/ACADEMICO","PEDAGOGICO,ACADÉMICA","SIN REVISAR","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","enssabar@gmail.com"
"BARANOA","8078","108078000029","INSTITUCION EDUCATIVA DE BARANOA JULIO PANTOJA MALDONADO","CL 12 19 221","8788106-8787110","CRISTOBAL JULIAN SABALZA VILLAREAL","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","MAÑANA,NOCTURNA,TARDE","ACADÉMICO","ACADÉMICA","SIN REVISAR","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,18,20,21,22,23,24,25,26","ESPERE,ENTORNO INSTITUCIONAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL,CAFAM,MODALIDAD VIRTUAL ASISTIDA UCN,SER","SIN DATO","SIN DATO","4","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","csabalza@hotmail.com"
"BARANOA","8078","108078000151","INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS","CL 14 21 35","8787140","MEDARDO MONTOYA BOLAÑO","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA","ACADÉMICO","ACADÉMICA","SIN REVISAR","-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","A CRECER,EDUCACIÓN TRADICIONAL,CAFAM,MODALIDAD VIRTUAL ASISTIDA UCN","SIN DATO","SIN DATO","4","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","SIN CORREO"
"BARRANQUILLA","8001","108001003009","INSTITUCION EDUCATIVA DISTRITAL JUAN JOSE RONDON","KR 25 B 68 20","3161888 Ext 1037","ISMAEL ALFONSO LIZARAZO PATERNINA","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICO","ACADÉMICA","SIN REVISAR","0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL","SIN DATO","SIN DATO","1","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","col.distritaljuanjoserondon@sedbarranquilla.edu.co"
"BARRANQUILLA","8001","108001003122","INSTITUCION EDUCATIVA DISTRITAL EL CASTILLO DE LA ALBORAYA","CL 41 8 A 62","3642424 - 3342290 - 3103689494","ELVIRA ESTHER SARMIENTO DEL VALLE","INSTITUCION EDUCATIVA","NO APLICA","OFICIAL","MIXTO","URBANA","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICO","ACADÉMICA","SIN REVISAR","-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","INTELECTUAL,VISUAL - BAJA VISION IRREVERSIBLE","SIN DATO","1","ANTIGUO-ACTIVO","OFICIAL","OFICIAL","NO APLICA","NO","castillocalidad@hotmail.com"
