"titulo","materia","autor","dependencia","resumen","ano_publicacion","publico","ubicacion","contacto","isbn","idioma"
"Atención Integral: Prosperidad para la Primera Infancia","De Cero a Siempre, derechos, justificación, antecedentes, atención integral, Ruta Integral de Atenciones - RIA, política, gestión interinstitucional, intersectorial, articulación","Instituciones que integran la Comisión Intersectorial para la Atención Integral de la Primera Infancia","Consejería Presidencia para la Niñez y la Adolescencia","Conceptualización y sensibilización sobre los fundamentos de la Estrategia de Atención Integral a la Primera Infancia De Cero a Siempre.","2012","gobernadores, alcaldes, decisores de política, directivas institucionales, talento humano que interviene en la atención integral, investigadores, familias","http://www.deceroasiempre.gov.co/Prensa/CDocumentacionDocs/ATENCIÓN%20INTEGRAL%20Prosperidad%20para%20la%20Primera%20Infancia.pdf","contacto@presidencia.gov.co","NO","Español"
"Evolución del marco jurídico internacional en violencia sexual contra la mujer","Violencia Sexual","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Análisis de la evolución del marco normativo internacional en materia de viooencia sexual contra las mujeres","2012","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/Evolucion_del_marco_juridico.pdf","contacto@presidencia.gov.co","NO","Español"
"Violencia Sexual en el marco del conflicto armado jurisprudencia internacional","violencia sexual  conflicto armado mujeres","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Análisis de la evolución de la jurisprudencia internacional en materia de violencia sexual en el marco del conflicto armado","2012","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/violencia_sexual_en_el_marco_del_conflicto_armado.pdf","contacto@presidencia.gov.co","NO","Español"
"Comportamiento del embarazo adolescente en Colombia","Embarazo  adolescencia mujeres","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Análisis epidemiológico del embarazo adolescente en Colombia en el periodo 2000 a 2011","2012","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/comportamiento_del_embarazo_adolescente_en_colombia.pdf","contacto@presidencia.gov.co","NO","Español"
"Estrategia de Atención Integral a la Primera Infancia. Fundamentos Políticos Técnicos y de Gestión","De Cero a Siempre, conceptos, fundamentos, antecedentes, propósitos, normativa, reglamentación, politica, gestión, desarrollo integral, estructurantes, entornos, derechos.","Instituciones que integran la Comisión Intersectorial para la Atención Integral de la Primera Infancia","Consejería Presidencia para la Niñez y la Adolescencia","Presentación de la fundamentación y conceptualización de la Estrategia de Atención Integral a la Primera Infancia de Cero a Siempre en Colombia. Antecedentes, marco normativo, propósito de la Estrategia, actores involucrados","2013","gobernadores, alcaldes, decisores de política, directivas institucionales, talento humano que interviene en la atención integral, investigadores, familias","http://www.deceroasiempre.gov.co/QuienesSomos/Documents/Fundamientos-politicos-tecnicos-gestion-de-cero-a-siempre.pdf","contacto@presidencia.gov.co","152152","Español"
"Early Childhood Comprehensive Care Strategy. Political, Technical and Managements Fundamentals","De Cero a Siempre, concepts, fundamentals, antecedents, purposes, regulations, regulations, politics, management, integral development, structurants, environments, rights.","Institutions that make up the Intersectoral Commission for Comprehensive Early Childhood Care","Consejería Presidencia para la Niñez y la Adolescencia","Presentation of the foundation and conceptualization of the Comprehensive Care Strategy for Early Childhood ""De Cero a Siempre"" in Colombia. Background, normative framework, purpose of the Strategy, stakeholders","2013","governors, mayors, policy makers, institutional directives, human talent involved in comprehensive care, researchers, families","http://www.deceroasiempre.gov.co/QuienesSomos/Documents/Political-Technical-and-Management-Fundamentals.pdf","contacto@presidencia.gov.co","152152","Inglés"
"Guía Metodológica para el desarrollo de proyectos de infraestructura para la atención integral a la primera infancia","De Cero a Siempre, antecedentes, propósitos, metodología, gestión, requisitos, diseño, formulación, proyectos, infraestructura, arquitectura, primera infancia, atención integral.","Consejería Presidencial para la Primera Infancia","Consejería Presidencia para la Niñez y la Adolescencia","Esta Guía presenta de manera detallada los procesos que desarrolla el equipo de infraestructura, de la Consejería Presidencial para la Primera Infancia, para el diseño, formulación y acompañamiento a la ejecución de proyectos de infraestructura adecuados para el desarrollo integral de las niñas y niños en primera infancia.","2013","gobernadores, alcaldes, decisores de política, directivas institucionales.","http://www.deceroasiempre.gov.co/Apoyo/Documents/Guia-Metodologica-Plan-Padrino.pdf","contacto@presidencia.gov.co","NO","Español"
"Banco de Buenas prácticas en asuntos de mujer y género","proyectos comunitarios  mujeres","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Recopilación de proyectos y experencias locales y comunitarias en beneficio de las mujeres","2013","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/Banco_de_buenas_practicas.pdf","contacto@presidencia.gov.co","NO","Español"
"Algunos factores asociados a las violencias contra las mujeres afrodescendientes, negras, raizales y palenqueras","violencias mujeres indígenas","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Investigación sobre los elementos diferenciadores en las violencias contra las afrodescendientes, engras, raizales y palenqueras","2013","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/Investigacion_indigena.pdf","contacto@presidencia.gov.co","NO","Español"
"Algunos factores asociados a las violencias contra las mujeres indígenas","violencias, mujeres, afrodescendientes, negras, raizales y palenqueras","Observatorio Asuntos de Género","Consejería Presidencial para la Equidad de la Mujer","Investigación sobre los elementos diferenciadores en las violencias contra las mujeres indígenas","2013","Consulta de público en general","http://www.equidadmujer.gov.co/oag/Documents/investigacion_afro.pdf","contacto@presidencia.gov.co","NO","Español"
