"pais","conceptozoosanitarioica","numerointerno","numeroacumulado","nombrecodigoestablecimiento","direccion","especie","productos"
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","1","1","LANDSTRAßE 45 , 87452 ALTUSRIED, OT
KIMRATSHOFEN , BAVIERA","LANDSTRAßE 45 , 87452 ALTUSRIED, OT
KIMRATSHOFEN , BAVIERA","BOVINO","1.5.2.; 1.5.4."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","2","2","VIERBURGWEG 33, 18246 BÜTZOW, MECKLEMBURGO-  POMERANIA
OCCIDENTAL","VIERBURGWEG 33, 18246 BÜTZOW, MECKLEMBURGO-  POMERANIA
OCCIDENTAL","BOVINO","1.3; 1.4.1; 1.4.2; 1.4.3; 1.9.2"
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","3","3","LEHEN 24 , 83539 PFAFFING , BAVIERA","LEHEN 24 , 83539 PFAFFING , BAVIERA","BOVINO","1.5.2.; 1.5.4."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","4","4","WARTENBERGER CHAUSSEE 12 , 39629
BISMARK , SAJONIA ANHALT","WARTENBERGER CHAUSSEE 12 , 39629
BISMARK , SAJONIA ANHALT","BOVINO","1.6.1"
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","5","5","IM SCHEID 1 , 54597 PRONSFELD ,
RHEINLAND- PFALZ","IM SCHEID 1 , 54597 PRONSFELD ,
RHEINLAND- PFALZ","BOVINO","1.1.1.; 1.2.2.; 1.3.1.; 1.4.1."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","6","6","MEIEREIWEG 1 , 23936 UPAHL , MECKLEMBURGO-  POMERANIA
OCCIDENTAL","MEIEREIWEG 1 , 23936 UPAHL , MECKLEMBURGO-  POMERANIA
OCCIDENTAL","BOVINO","1.1.1;1.1.2; 1.4.1; 1.5.1"
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","7","7","HASSELBEKER RING 1 , 24980 NORDHACKSTEDT , SCHLESWIGHOLSTEIN","HASSELBEKER RING 1 , 24980 NORDHACKSTEDT , SCHLESWIGHOLSTEIN","BOVINO","1.9.2."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","8","8","PASSAUER STRAßE 118 , 94577 WINZER ,
BAVIERA","PASSAUER STRAßE 118 , 94577 WINZER ,
BAVIERA","BOVINO","1.4.1."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","9","9","SCHEßLITZER STRAßE 2 , 96199
ZAPFENDORF , BAVIERA","SCHEßLITZER STRAßE 2 , 96199
ZAPFENDORF , BAVIERA","BOVINO","1.4.1."
"ALEMANIA","AUTORIZADAS LAS IMPORTACIONES DE LECHE, DERIVADOS
LÁCTEOS, DERIVADOS CÁRNICOS DE PORCINO","10","10","BAHNHOFSTRAßE 18 , 91575 WINDSBACH
, BAVIERA","BAHNHOFSTRAßE 18 , 91575 WINDSBACH
, BAVIERA","BOVINO","1.5.2."
