"bancarizado","codigodepartamentoatencion","codigomunicipioatencion","discapacidad","estadobeneficiario","etnia","fechainscripcionbeneficiario","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangobeneficioconsolidadoasignado","rangoultimobeneficioasignado","fechaultimobeneficioasignado","rangoedad","titular","cantidaddebeneficiarios"
"SI","08","08421","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2012-12-01","Hombre","ND","ATLANTICO","LURUACO","ND","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"ND","44","44847","ND","ACTIVO","INDIGENA","2013-02-01","Hombre","ND","LA GUAJIRA","URIBIA","Colombia","ND","EDUCACIÓN PRIMARIA","TI","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","7"
"SI","08","08421","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2012-12-01","Hombre","ND","ATLANTICO","LURUACO","ND","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","08","08421","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2012-12-01","Hombre","ND","ATLANTICO","LURUACO","ND","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","08","08421","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2012-12-01","Hombre","ND","ATLANTICO","LURUACO","ND","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"NO","76","76111","NO","ACTIVO","ND","2012-10-01","Hombre","SECUNDARIA","VALLE","GUADALAJARA DE BUGA","ND","ND","EDUCACIÓN SECUNDARIA","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","15"
"ND","05","05138","ND","ACTIVO","ND","2012-11-01","Mujer","ND","ANTIOQUIA","CAÑASGORDAS","Colombia","ND","ND","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","5"
"ND","73","73217","NO","ACTIVO","ND","2013-02-01","Mujer","ND","TOLIMA","COYAIMA","ND","ND","NUTRICIÓN MENOR","No Definido","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","95","95001","NO","ACTIVO","ND","2014-05-01","Hombre","ND","GUAVIARE","SAN JOSE DEL GUAVIARE","ND","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","5"
"NO","85","85001","NO","ACTIVO","ND","2012-10-01","Mujer","ND","CASANARE","YOPAL","ND","MONETARIO","ND","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","50-65","SI","4"
"ND","23","23555","ND","ACTIVO","ND","2013-07-01","Mujer","ND","CORDOBA","PLANETA RICA","Colombia","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","52","52254","ND","ACTIVO","ND","2013-01-01","Mujer","ND","NARIÑO","EL PEÑOL","Colombia","ND","EDUCACIÓN SECUNDARIA","TI","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","25","25178","NO","NO ACTIVO","ND","2012-11-01","Mujer","ND","CUNDINAMARCA","CHIPAQUE","ND","ND","ND","CC","ND","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","63","63001","NO","ACTIVO","ND","2015-04-01","Mujer","PRIMARIA","QUINDIO","ARMENIA","ND","ND","TRANSICIÓN","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","13","13673","NO","ACTIVO","ND","2018-09-01","Hombre","ND","BOLIVAR","SANTA CATALINA","ND","ND","ND","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","85","85410","NO","ACTIVO","ND","2018-11-01","Hombre","ND","CASANARE","TAURAMENA","ND","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","00-05","NO","1"
"NO","70","70670","NO","ACTIVO","ND","2016-06-01","Hombre","TRANSICION","SUCRE","SAMPUES","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"ND","17","17541","NO","ACTIVO","ND","2012-11-01","Hombre","ND","CALDAS","PENSILVANIA","Colombia","ND","EDUCACIÓN PRIMARIA","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","44","44650","ND","ACTIVO","ND","2012-11-01","Mujer","ND","LA GUAJIRA","SAN JUAN DEL CESAR","Colombia","ND","EDUCACIÓN SECUNDARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","3"
"SI","19","19760","NO","NO ACTIVO","ND","2012-12-01","Mujer","ND","CAUCA","SOTARA","Colombia","MONETARIO","ND","CC","ND","1.500.001 - 3.000.000","0 - 1.300.000","2014-01-01","50-65","SI","1"
"NO","73","73067","NO","ACTIVO","ND","2018-05-01","Mujer","ND","TOLIMA","ATACO","ND","ND","ND","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
