"tipo_de_misi_n","continente","pa_s","estado_misi_n","decreto_de_apertura","observaciones"
"CONSULADO","EUROPA","ALEMANIA","CERRADA","DECRETO #1321 DE 1992 NOMBRAMIENTO DE UN CÓNSUL EN MUNICH","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","BIELORUSIA","ABIERTA","DECRETO #881 DE 2018 CREACIÓN DE UN CONSULADO EN MINSK","(NO REGISTRA)"
"EMBAJADA","EUROPA","PORTUGAL","ABIERTA","DIARIO OFICIAL, DECRETO #990 DE 1904, NOMBREAMIENTO DE UN AGENTE DIPLOMÁTICO ANTE PORTUGAL, 15 DE DICIEMBRE DE 1904","(NO REGISTRA)"
"CONSULADO","EUROPA","ESPAÑA","ABIERTA","DECRETO #480 DE 1895 POR EL CUAL SE HACEN VARIOS NOMBRMAIENTOS DEL SERVICIO CONSULAR DE COLOMBIA","(NO REGISTRA)"
"CONSULADO AD HONOREM","OCEANÍA","AUSTRALIA","CERRADA","DECRETO #1205 DE 1903 NOMBRAMIENTO DE UN CÓNSUL EN NEWCASTLE (AUSTRALIA)","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","LUXEMBURGO","ABIERTA","DECRETO #328 DE 1972 CREACIÓN DE UN CONSULADO EN LUXEMBURGO","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","AUSTRIA","ABIERTA","DECRETO #2348 DE 2011 CREACIÓN DE UN CONSULADO EN GRAZ","(NO REGISTRA)"
"CONSULADO","AMÉRICA","ECUADOR","ABIERTA","DECRETO DEL 25 DE MAYO DE 1871 EN QUE SE NOMBRA VICECÓNSUL EN TULCAN.","(NO REGISTRA)"
"CONSULADO","AMÉRICA","PAISES BAJOS","ABIERTA","DECRETO #1485 DE 1989 POR EL CUAL SE CREA UN CONSULADO Y UN CARGO AD-HONOREM EN EL SERVICIO EXTERIOR DE LA REPÚBLICA.","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","ALEMANIA","CERRADA","DECRETO #671 DE 1883 NOMBRAMIENTO DE UN CÓNSUL EN NUREMBERG","(NO REGISTRA)"
"CONSULADO AD HONOREM","ÁMERICA","MÉXICO","CERRADA","DECRETO #1822 DE 1935 NOMBRAMIENTO DE UN CÓNSUL EN CHIHUAHUA","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","FRANCIA","CERRADA","DECRETO #1335 DE 1932 NOMBRAMIENTO DE UN CÓNSUL EN SAINT ETIENNE","(NO REGISTRA)"
"EMBAJADA","ASIA","EMIRATOS ARABES","ABIERTA","DECRETO #2796 DE 1985 POR EL CUAL SE HACE UN NOMBRAMIENTO.","(NO REGISTRA)"
"CONSULADO AD HONOREM","ÁMERICA","BRASIL","CERRADA","DECRETO #597 DE 1914 NOMBRAMIENTO DE UN CÓNSUL EN FORTOSA","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CHILE","CERRADA","DECRETO DE 1852 NOMBRAMIENO DE UN CÓNSUL EN VALPARAISO (CHILE)","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","ALEMANIA","ABIERTA","DECRETO #345 DE 1921 NOMBRAMIENTO DE UN CÓNSUL EN STTUGART","(NO REGISTRA)"
"CONSULADO AD HONOREM","ASIA","INDIA","ABIERTA","DECRETO #1997 DE 2013 CREACIÓN DE UN CONSULADO EN CALCUTA","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CHILE","CERRADA","DECRETO #1344 DE 1864 NOMBRAMIENTO DE UN CÓNSUL EN COPIAPO","(NO REGISTRA)"
"CONSULADO AD HONOREM","ÁMERICA","MÉXICO","CERRADA","DECRETO #177 DE 1969 NOMBRAMIENTO DE UN CÓNSUL EN CUERNAVACA","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CANADA","ABIERTA","DECRETO #1257 DE 1925 POR EL CUAL SE HACE UN NOMBRAMIENTO EN EL SERVICIO CONSULAR","(NO REGISTRA)"
"CONSULADO","AMÉRICA","EL SALVADOR","CERRADA","*SE DESCONOCE EL ACTO ADMINISTRATIVO DE APERTURA DE LA MISIÓN DIPLOMÁTICA","(NO REGISTRA)"
"CONSULADO","AMÉRICA","GUATEMALA","CERRADA","DECRETO #385 DE 1884 NOMBRAMIENTO DE UN CÓNSUL EN GUATEMALA","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","NICARAGUA","ABIERTA","ENVIADOS EXTRAORDINARIOS, CENTRO AMÉRICA. SANTANDER Y EL CONGRESO DE 1823 ACTAS Y CORRESPONDENCIA SENADO, BIBLIOTECA DE LA PRESIDENCIA DE LA REPÚBLICA, ADMINISTRACIÓN VIRGILIO BARCO COLOMBIA, BOGOTÁ, 1989. PP.37-42.","(NO REGISTRA)"
"EMBAJADA","ÁFRICA","TUNEZ","CERRADA","DECRETO #1472 DE 1981 NOMBRAMIENTO DE UN EMBAJADOR ANTE TUNEZ","(NO REGISTRA)"
"EMBAJADA","ASIA","SRI LANKA","CERRADA","*SE DESCONOCE EL ACTO ADMINISTRATIVO DE APERTURA DE LA MISIÓN DIPLOMÁTICA","(NO REGISTRA)"
"CONSULADO AD HONOREM","ÁMERICA","NICARAGUA","CERRADA","DECRETO #1482 DE 1917 CREACIÓN DE UN CONSULADO EN FRIBURGO","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","ABIERTA","DECRETO #2864 DE 1966 POR EL CUAL SE ESTABLECE LA PLANTA DEL SERVICIO EXTERIOR DEL MINISTERIO DE RELACIONES EXTERIORES CORRESPONDIENTE A LA RAMA CONSULAR.","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","EL SALVADOR","ABIERTA","DECRETO #795 DE 1880 SOBRE NOMBRAMIENTO DE SECRETARIO EN LAS LEGACIONES DE COLOMBIA EN LAS REPUBLICAS DE GUATEMALA Y EL SALVADOR","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","PAISES BAJOS","CERRADA","DECRETO #482 DE 190 CREACIÓN DE UN CONSULADO EN DELF","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","GRANADA","CERRADA","DECRETO #1358 DEL 1992 NOMBRAMIENTO DE UN EMBAJADOR ANTE GRANADA","(NO REGISTRA)"
"CONSULADO","EUROPA","ESPAÑA","ABIERTA","DECRETO #134 DE 1883 SOBRE EL ESTABLECIMIENTO Y PROVISION DE DOS CONSULADOS(ISLAS CANARIAS Y VALENCIA)","(NO REGISTRA)"
"CONSULADO","EUROPA","ESPAÑA","ABIERTA","DECRETO #134 DE 1883 SOBRE EL ESTABLECIMIENTO Y PROVISION DE DOS CONSULADOS(ISLAS CANARIAS Y VALENCIA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","ESPAÑA","ABIERTA","DECRETO #72 DE 1882 SOBRE EL ESTABLECIMIENTO Y PROVISION DEL EMPLEO DE CONSUL EN SEVILLA","(NO REGISTRA)"
"CONSULADO","AMÉRICA","COSTA RICA","CERRADA","DECRETO EN 1855 NOMBRAMIENO DE UN CÓNSUL EN SAN JOSÉ","(NO REGISTRA)"
"EMBAJADA","ASIA","VIETMAN","ABIERTA","DECRETO #2118 DE 1980 POR EL CUAL SE DICTAN UNAS DISPOSICIONES EN EL SERVICIO EXTERIOR DE TAILANDIA Y VIETNAM","(NO REGISTRA)"
"CONSULADO AD HONOREM","EUROPA","LITUANIA","ABIERTA","DECRETO #1481 DE 2005 CREACIÓN DE UN CONSULADO EN VILNA","(NO REGISTRA)"
"EMBAJADA","EUROPA","IRLANDA","CERRADA","DECRETO #368 DEL 2000 NOMBRAMIENTO DE UN EMBAJADOR ANTE IRLANDA","(NO REGISTRA)"
"EMBAJADA","ASIA","IRAN","CERRADA","DECRETO #2363 DE 1977 POR EL CUAL SE CREA UNA MISIÓN DIPLOMÁTICA EN IRÁN","(NO REGISTRA)"
"CONSULADO AD HONOREM","ÁMERICA","ESTADOS UNIDOS","CERRADA","DECRETO #548 DE 1922 NOMBRAMIENTO DE UN CÓNSUL EN ENGLEWOOD","(NO REGISTRA)"
