"titulo","descripcion","tipo","fecha","url"
"Ley 55 de 1990","Por la cual se establece el objeto, funciones y principios de organización del Departamento Administrativo de la Presidencia de la República, se modifica el régimen de delegación de competencias Presidenciales y se confieren unas facultades extraordinarias al Presidente de la República.","LEYES","1990-12-28T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Ley-55-1990.pdf"
"Decreto No. 0716 del 6 de abril de 1994","por el cual se distan normas encaminadas a facilitar la incorporación de grupos guerrilleros desmovilizados que se encuentren vinculados a un proceso de paz bajo la dirección del Gobierno Nacional.","DECRETOS","1994-04-06T12:41:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-716-6-abril-1994.pdf"
"Decreto No. 2197 del 3 de diciembre de 1996","Por el cual se modifica parcialmente el Decreto 1950 de 1973.","DECRETOS","1996-12-03T08:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-2197-1996.pdf"
"Ley 368 del 5 de mayo de 1997","Por la cual se crea la Red de Solidaridad Social, el Fondo de Programas Especiales para la Paz, y el Fondo del Plan Nacional de Desarrollo Alternativo -Fondo Plante-, y se dictan otras disposiciones.","LEYES","1997-05-05T12:11:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Ley-368-05-mayo-1997.pdf"
"Decreto No. 2429 del 30 de septiembre de 1997","Por el cual se reglamenta el funcionamiento del fondo de programas especiales para la paz.","DECRETOS","1997-09-30T14:05:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-2429-30-septiembre-1997.pdf"
"Ley 434 del 3 de febrero de 1998","Por la cual se crea el Consejo Nacional de Paz, se otorgan funciones y se dictan otras disposiciones.","LEYES","1998-03-03T14:12:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Ley-434-3-febrero-1998.pdf"
"Circular  No. 04 de 2005","Evaluación Institucional por dependencias en cumplimiento de la Ley 909 de 2004","CIRCULARES","2005-09-27T10:08:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Circular-004-2005-Consejo_Asesor_del_Gobierno_Nacional.pdf"
"Decreto No. 3555 del 17 de septiembre de 2007","Por el cual se modifica parcialmente el Decreto 1050 de 1997.","DECRETOS","2007-09-17T08:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-3555-2007.pdf"
"Resolución No. 3046 del 20 de septiembre de 2012","Por la cual se reglamenta el trámite interno del Derecho de Petición ante el Departamento Administrativo de la Presidencia de la República.","RESOLUCIONES","2012-09-20T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Resolucion-3046-2012.pdf"
"Resolución No. 1751 de 2013","Por la cual se modifica el Manual Especifico de Funciones, Competencias Laborales y Requisitos de los empleos de Carrera Administrativa de la Planta de Personal del Departamento Administrativo de la Presidencia de la República","RESOLUCIONES","2013-04-15T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Resolucion-1751-2013-modificaciones-manual-funciones.pdf"
"Resolución No. 2328 del 16 de mayo de 2013","Por medio de la cual se aprueban las Tablas de Retención Documental del Departamento Administrativo de la Presidencia de la República.","RESOLUCIONES","2013-05-16T09:56:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Resolucion-2328-16-mayo-2013-aprobacion-TRD-DAPRE.pdf"
"Decreto 943 del 21 de mayo de 2014","Por el cual se actualiza el Modelo Estándar de Control Interno -MECI","DECRETOS","2014-05-21T10:21:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-943-2014-DAFP.pdf"
"Decreto 1649 de 2014","Por el cual se modifica la estructura del Departamento Administrativo de la Presidencia de la República.","DECRETOS","2014-09-02T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-1649-2014.pdf"
"Decreto 2052 del 16 de octubre de 2014","Por el cual se reglamenta la implementación del Sistema Único de Gestión e Información de la Actividad Litigosa del Estado - eKOGUI","DECRETOS","2014-10-16T10:27:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-2052-2014-eKOGUI.pdf"
"Decreto 2594 de 2014","Por el cual se modifica la estructura del Departamento Administrativo de la Presidencia de la República.","DECRETOS","2014-12-16T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-2594-2014.pdf"
"Resolución No. 0093 del 2 de febrero de 2015","Por la cual se fija el valor de la expedición de copias o fotocopias en el Departamento Administrativo de la Presidencia de la República.","RESOLUCIONES","2015-02-02T10:05:00.000","https://dapre.presidencia.gov.co/normativa/normativa/RESOLUCION_0093_2015.pdf"
"Decreto Único Reglamentario 1081 de 2015 (archivo en PDF)","Por medio del cual se expide el Decreto Reglamentario Único del Sector Presidencia de la República.","DECRETO ÚNICO REGLAMENTARIO","2015-05-26T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-1081-2015.pdf"
"Por medio del cual se concede un permiso remunerado y se hace un encargo","Por medio del cual se expide el Decreto Reglamentario Único del Sector Presidencia de la República.","DECRETO ÚNICO REGLAMENTARIO","2015-05-26T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-1081-2015.doc"
"Decreto 1081 de 2015 (anexo 1)","Manual para la elaboración de textos normativos - proyectos de decreto y resolución","DECRETO ÚNICO REGLAMENTARIO","2015-05-26T00:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Decreto-1081-2015-anexo1.pdf"
"Circular 01 de 2015","Fortalecimiento del Sistema de Control Interno frente a su función preventiva","CIRCULARES","2015-07-09T09:15:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Circular-01-2015.pdf"
"Circular 040 de 2015","Cumplimiento de políticas de operaciones y seguridad del SIIF Nación","CIRCULARES","2015-10-29T10:13:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Circular-040-2015-SIIF-MinHacienda.pdf"
"Resolución No. 0943 del 6 de noviembre de 2015","Por la cual se adopta el Manual Específico de Funciones, Competencias Laborales y Requisitos de los empleos de la Planta de Personal del Departamento Administrativo de la Presidencia de la República.","RESOLUCIONES","2015-11-06T12:00:00.000","https://dapre.presidencia.gov.co/normativa/normativa/Resolucion-0943-2015-manual-de-funciones.pdf"
