"indicador","estado","municipio","departamento","total"
"Situación penitenciaria","Privados de libertad","MEDELLÍN","ANTIOQUIA","9"
"Situación penitenciaria","Privados de libertad","APARTADÓ","ANTIOQUIA","7"
"Situación penitenciaria","Privados de libertad","BELLO","ANTIOQUIA","4"
"Situación penitenciaria","Privados de libertad","CAREPA","ANTIOQUIA","1"
"Situación penitenciaria","Privados de libertad","CAUCASIA","ANTIOQUIA","1"
"Situación penitenciaria","Privados de libertad","ITAGUI","ANTIOQUIA","249"
"Situación penitenciaria","Privados de libertad","MUTATÁ","ANTIOQUIA","1"
"Situación penitenciaria","Privados de libertad","PUERTO TRIUNFO","ANTIOQUIA","2"
"Situación penitenciaria","Privados de libertad","SAN PEDRO DE URABA","ANTIOQUIA","1"
"Situación penitenciaria","Privados de libertad","DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA","ATLÁNTICO","188"
"Situación penitenciaria","Privados de libertad","BOGOTÁ, D.C.","BOGOTÁ DC","186"
"Situación penitenciaria","Privados de libertad","DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS","BOLÍVAR","4"
"Situación penitenciaria","Privados de libertad","CHIQUINQUIRÁ","BOYACÁ","255"
"Situación penitenciaria","Privados de libertad","CÓMBITA","BOYACÁ","18"
"Situación penitenciaria","Privados de libertad","PUERTO BOYACÁ","BOYACÁ","5"
"Situación penitenciaria","Privados de libertad","SOGAMOSO","BOYACÁ","1"
"Situación penitenciaria","Privados de libertad","MANIZALES","CALDAS","4"
"Situación penitenciaria","Privados de libertad","FILADELFIA","CALDAS","1"
"Situación penitenciaria","Privados de libertad","LA DORADA","CALDAS","7"
"Situación penitenciaria","Privados de libertad","DISTRITO ESPECIAL ECOTURÍSTICO, HISTÓRICO Y UNIVERSITARIO DE POPAYÁN","CAUCA","2"
"Situación penitenciaria","Privados de libertad","VALLEDUPAR","CESAR","38"
"Situación penitenciaria","Privados de libertad","TAMALAMEQUE","CESAR","1"
"Situación penitenciaria","Privados de libertad","MONTERÍA","CÓRDOBA","81"
"Situación penitenciaria","Privados de libertad","MONTELÍBANO","CÓRDOBA","1"
"Situación penitenciaria","Privados de libertad","LA MESA","CUNDINAMARCA","1"
"Situación penitenciaria","Privados de libertad","ZIPAQUIRÁ","CUNDINAMARCA","1"
"Situación penitenciaria","Privados de libertad","QUIBDÓ","CHOCÓ","1"
"Situación penitenciaria","Privados de libertad","DISTRITO TURÍSTICO,CULTURAL E HISTÓRICO DE SANTA MARTA","MAGDALENA","36"
"Situación penitenciaria","Privados de libertad","CIÉNAGA","MAGDALENA","1"
"Situación penitenciaria","Privados de libertad","EL BANCO","MAGDALENA","2"
"Situación penitenciaria","Privados de libertad","VILLAVICENCIO","META","6"
"Situación penitenciaria","Privados de libertad","ACACÍAS","META","4"
"Situación penitenciaria","Privados de libertad","GRANADA","META","6"
"Situación penitenciaria","Privados de libertad","SAN JUAN DE PASTO","NARIÑO","2"
"Situación penitenciaria","Privados de libertad","DISTRITO ESPECIAL, INDUSTRIAL, PORTUARIO, BIODIVERSO Y ECOTURÍSTICO DE TUMACO","NARIÑO","1"
"Situación penitenciaria","Privados de libertad","DISTRITO ESPECIAL FRONTERIZO Y TURÍSTICO DE CÚCUTA","NORTE DE SANTANDER","87"
"Situación penitenciaria","Privados de libertad","CALARCA","QUINDIO","2"
"Situación penitenciaria","Privados de libertad","MONTENEGRO","QUINDIO","1"
