"codigo_pvd","id_dircon","region","dane_dpto","depto","dane_mun","municipio","tipo_pvd","proveedor_conectividad","fecha_instalacion_conectividad","tipo_beneficiario","direccion","nombre_pvd","nombre_de_contacto_1_ente_territorial","telefono_de_contacto_1","correo_de_contacto_1","nombre_de_contacto_2","telefono_de_contacto_2","correo_de_contacto_2","estado","ancho_de_banda","inaugurado","fecha_inauguracion","inaugurado_por","longitud","latitud","no_de_contrato_operador","anio_del_contrato_operador","contrato_contratista","vigencia_del_contrato","contrato_proveedor","vigencia_contrato_proveedor","contrato_ejecutor","vigencia_contrato_ejecutor","fase_h","fase_n","costo_fase_h","costo_fase_n","costo","fechacorte","indicador_aspa","vigencia"
"69115","69115","Regi�n Centro Orient","25","CUNDINAMARCA","25658","SAN FRANCISCO","TIPO A","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","BIBLIOTECA Y/O CASA DE CULTURA",,"PUNTO VIVE DIGITAL SAN FRANCISCO PALACIO MUNICIPAL",,,,,,,"CERRADO","6144",,"1900-01-01","NA","5,46568700","-74,65708200","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"FASE 1 ETAPA 2",,,,"402343429,06","2015-12-31","4144","2015-12-31"
"70094","70094","Regi�n Eje Cafetero","63","QUINDIO","63594","QUIMBAYA","TIPO D","UNI�N TEMPORAL CLARO","2016-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL QUIMBAYA IE MARIA INMACULADA",,,,,,,"CERRADO","4096",,"1900-01-01","NA","4,62125000","-75,76058333","6672015-18097",,"6672015-2162857",,"6672015-18097",,"0",,"FASE 1 ETAPA 2",,,,"294044100,68","2016-12-31","4144","2016-12-31"
"68423","68423","Regi�n Eje Cafetero","05","ANTIOQUIA","05237","DON MATIAS","TIPO B","UNI�N TEMPORAL CONECTANDO COLOMBIA","2014-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL DON MATIAS",,,,,,,"CERRADO","6144",,"1900-01-01","NA","6,48202777","-75,39155555","6672015-18102",,"6672015-2162857",,"6672015-18102",,"0",,"FASE 1",,,,"373599674,00","2014-12-31","4144","2014-12-31"
"54943","54943","Regi�n Caribe","20","CESAR","20570","PUEBLO BELLO","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2016-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  INST. EDU. INSTITUTO AGRICOLA",,,,,,,"CERRADO","6144",,"1900-01-01","NA","10,42128000","-73,58100000","6672015-18101",,"6672015-2162855",,"6672015-18101",,"0",,"PLUS FASE 2",,,,"497297637,46","2016-12-31","4144","2016-12-31"
"68584","68584","Regi�n Pac�fico","52","NARI�O","52885","YACUANQUER","TIPO A","UNI�N TEMPORAL CONECTANDO COLOMBIA","2014-12-31","OTRO",,"PUNTO VIVE DIGITAL YACUANQUER",,,,,,,"CERRADO","6144",,"1900-01-01","NA","1,11568700","-77,40100500","6672015-18102",,"6672015-2162856",,"6672015-18102",,"0",,"FASE 1",,,,"402343429,06","2014-12-31","4144","2014-12-31"
"69827","69827","Regi�n Centro Orient","25","CUNDINAMARCA","25518","PAIME","TIPO C","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","ALCALD�A",,"PUNTO VIVE DIGITAL PAIME",,,,,,,"CERRADO","4096",,"1900-01-01","NA","4,72837800","-74,25493700","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"FASE 1 ETAPA 2",,,,"324713082,91","2015-12-31","4144","2015-12-31"
"69851","69851","Regi�n Centro Orient","11","BOGOTA","11001","BOGOTA, D.C.","TIPO PLUS FASE2","UNI�N TEMPORAL CLARO","2015-12-31","BASE MILITAR",,"PUNTO VIVE DIGITAL  ESCUELA MILITAR DE CADETES JOS MARA CRDOBA",,,,,,,"CERRADO","6144",,"1900-01-01","LUIS FERNANDO LOZANO","4,67737700","-74,06742200","6672015-18097",,"6672015-2162858",,"6672015-18097",,"0",,"PLUS FASE 2",,,,"457945373,49","2015-12-31","4144","2015-12-31"
"69721","69721","Regi�n Eje Cafetero","05","ANTIOQUIA","05756","SONSON","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","OTRO",,"PUNTO VIVE DIGITAL  CIUDADELA EL LAGO",,,,,,,"CERRADO","6144",,"1900-01-01","ALCALDIA","5,71586111","-75,30838888","6672015-18102",,"6672015-2162857",,"6672015-18102",,"0",,"PLUS FASE 2",,,,"476358330,42","2015-12-31","4144","2015-12-31"
"68721","68721","Regi�n Centro Sur","73","TOLIMA","73268","ESPINAL","TIPO B","UNI�N TEMPORAL CONECTANDO COLOMBIA","2012-12-31","OTRO",,"PUNTO VIVE DIGITAL ESPINAL CENTRO DE CONVIVENCIA CIUDADANA",,,,,,,"CERRADO","6144",,"1900-01-01","MINISTRO DIEGO MOLANO","4,15288400","-74,87815800","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"FASE 0",,,,"897733710,51","2012-12-31","4144","2012-12-31"
"68562","68562","Regi�n Pac�fico","52","NARI�O","52240","CHACHAGsI","TIPO A","UNI�N TEMPORAL CONECTANDO COLOMBIA","2014-12-31","OTRO",,"PUNTO VIVE DIGITAL CHACHAGUI",,,,,,,"CERRADO","6144",,"1900-01-01","ALCALDIA","1,36007800","-77,28199700","6672015-18102",,"6672015-2162856",,"6672015-18102",,"0",,"FASE 1",,,,"402343429,06","2014-12-31","4144","2014-12-31"
"68728","68728","Regi�n Caribe","08","ATLANTICO","08001","BARRANQUILLA","TIPO A","UNI�N TEMPORAL CLARO","2012-12-31","OTRO",,"PUNTO VIVE DIGITAL BARRANQUILLA",,,,,,,"CERRADO","6144",,"1900-01-01","MINISTRO DIEGO MOLANO","10,96530100","-74,83304300","6672015-18097",,"6672015-2162855",,"6672015-18097",,"0",,"FASE 0",,,,"867025880,19","2012-12-31","4144","2012-12-31"
"68456","68456","Regi�n Centro Orient","11","BOGOTA","11001","BOGOTA, D.C.","TIPO D","UNI�N TEMPORAL CLARO","2014-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL BOGOTA COLEGIO ELISA BORRERO DE PASTRANA",,,,,,,"CERRADO","4096",,"1900-01-01","NA","4,70131700","-74,11259100","6672015-18097",,"6672015-2162858",,"6672015-18097",,"0",,"FASE 1",,,,"294044100,68","2014-12-31","4144","2014-12-31"
"16056","16056","Regi�n Eje Cafetero","63","QUINDIO","63690","SALENTO","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2016-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  LICEO QUINDIO",,,,,,,"CERRADO","6144",,"1900-01-01","NA","4,64011111","-75,57061111","6672015-18102",,"6672015-2162857",,"6672015-18102",,"0",,"PLUS FASE 2",,,,"476358330,42","2016-12-31","4144","2016-12-31"
"69841","69841","Regi�n Centro Sur","73","TOLIMA","73168","CHAPARRAL","TIPO C","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL CHAPARRAL UNIVERSIDAD DEL TOLIMA",,,,,,,"CERRADO","4096",,"1900-01-01","NA","3,72153600","-75,48541700","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"FASE 1 ETAPA 2",,,,"324713082,91","2015-12-31","4144","2015-12-31"
"69997","69997","Regi�n Llano","85","CASANARE","85001","YOPAL","TIPO A","UNI�N TEMPORAL CONECTANDO COLOMBIA","2016-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL YOPAL MEGACOLEGIO LLANO LINDO VEREDA SAN RAFAEL DE MORICHAL",,,,,,,"CERRADO","6144",,"1900-01-01","VICEMINISTRA MARIA CAROLINA HOYOS","5,32957400","-72,40981200","6672015-18101",,"6672015-2162859",,"6672015-18101",,"0",,"FASE 1 ETAPA 2",,,,"402343429,06","2016-12-31","4144","2016-12-31"
"68573","68573","Regi�n Pac�fico","52","NARI�O","52480","NARI�O","TIPO D","UNI�N TEMPORAL CONECTANDO COLOMBIA","2014-12-31","OTRO",,"PUNTO VIVE DIGITAL NARIO",,,,,,,"CERRADO","4096",,"1900-01-01","NA","4,39877300","-74,82678900","6672015-18102",,"6672015-2162856",,"6672015-18102",,"0",,"FASE 1",,,,"294044100,68","2014-12-31","4144","2014-12-31"
"14773","14773","Regi�n Caribe","44","LA GUAJIRA","44650","SAN JUAN DEL CESAR","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  ESC. NORMAL SUPERIOR",,,,,,,"CERRADO","6144",,"1900-01-01","NA","10,77650700","-73,00406700","6672015-18101",,"6672015-2162855",,"6672015-18101",,"0",,"PLUS FASE 2",,,,"497297637,46","2015-12-31","4144","2015-12-31"
"17052","17052","Regi�n Centro Sur","73","TOLIMA","73055","ARMERO","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  I.E.T. INSTITUTO ARMERO - SEDE PRINCIPAL",,,,,,,"CERRADO","6144",,"1900-01-01","VICEMINISTRA MARIA CAROLINA HOYOS","5,02635100","-74,88631800","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"PLUS FASE 2",,,,"457945373,49","2015-12-31","4144","2015-12-31"
"68538","68538","Regi�n Centro Sur","41","HUILA","41298","GARZON","TIPO B","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","OTRO",,"PUNTO VIVE DIGITAL GARZON",,,,,,,"CERRADO","6144",,"1900-01-01","NA",",00000000","-75,62931000","6672015-18102",,"6672015-2162858",,"6672015-18102",,"0",,"FASE 1",,,,"373599674,00","2015-12-31","4144","2015-12-31"
"69049","69049","Regi�n Eje Cafetero","66","RISARALDA","66001","PEREIRA","TIPO B","UNI�N TEMPORAL CLARO","2015-12-31","OTRO",,"PUNTO VIVE DIGITAL PEREIRA VILLA CONSOTA",,,,,,,"CERRADO","6144",,"1900-01-01","NA","4,80269444","-75,72316666","6672015-18097",,"6672015-2162857",,"6672015-18097",,"0",,"FASE 1 ETAPA 2",,,,"373599674,00","2015-12-31","4144","2015-12-31"
"16913","16913","Regi�n Caribe","70","SUCRE","70820","SANTIAGO DE TOLU","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  INST EDUC LUIS PATRON ROSANO",,,,,,,"CERRADO","6144",,"1900-01-01","NA","9,51970100","-75,57845700","6672015-18101",,"6672015-2162855",,"6672015-18101",,"0",,"PLUS FASE 2",,,,"497297637,46","2015-12-31","4144","2015-12-31"
"68627","68627","Regi�n Pac�fico","76","VALLE DEL CAUCA","76001","CALI","TIPO D","UNI�N TEMPORAL CLARO","2014-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL CALI ANTONIO JOS ESCOBAR",,,,,,,"CERRADO","4096",,"1900-01-01","VICEMINISTRA MARIA CAROLINA HOYOS","3,44306200","-76,49814900","6672015-18097",,"6672015-2162856",,"6672015-18097",,"0",,"FASE 1",,,,"294044100,68","2014-12-31","4144","2014-12-31"
"68710","68710","Regi�n Caribe","88","SAN ANDRES Y PROVIDENCIA","88564","PROVIDENCIA","TIPO B","UNI�N TEMPORAL CONECTANDO COLOMBIA","2014-12-31","BIBLIOTECA Y/O CASA DE CULTURA",,"PUNTO VIVE DIGITAL PROVIDENCIA BIBLIOTECA_CASACULTURA MUNICIPAL",,,,,,,"CERRADO","6144",,"1900-01-01","MINISTRO DIEGO MOLANO","13,36891500","-81,37336000","6672015-18101",,"6672015-2162858",,"6672015-18101",,"0",,"FASE 0",,,,"709913880,55","2014-12-31","4144","2014-12-31"
"69108","69108","Regi�n Eje Cafetero","63","QUINDIO","63548","PIJAO","TIPO D","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL PIJAO GOBERNACION QUINDIO",,,,,,,"CERRADO","4096",,"1900-01-01","VICEMINISTRA MARIA CAROLINA HOYOS","4,33422222","-75,70541666","6672015-18102",,"6672015-2162857",,"6672015-18102",,"0",,"FASE 1 ETAPA 2",,,,"294044100,68","2015-12-31","4144","2015-12-31"
"68440","68440","Regi�n Caribe","08","ATLANTICO","08001","BARRANQUILLA","TIPO A","UNI�N TEMPORAL CLARO","2014-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL BARRANQUILLA COLEGIO METROPOLITANO",,,,,,,"CERRADO","6144",,"1900-01-01","MINISTRO DIEGO MOLANO","10,92713800","-74,80051200","6672015-18097",,"6672015-2162855",,"6672015-18097",,"0",,"FASE 1",,,,"402343429,06","2014-12-31","4144","2014-12-31"
"15444","15444","Regi�n Pac�fico","52","NARI�O","52378","LA CRUZ","TIPO PLUS FASE2","UNI�N TEMPORAL CONECTANDO COLOMBIA","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL  INSTITUCION EDUCATIVA TECNICA SAN FRANCISCO DE ASIS",,,,,,,"CERRADO","6144",,"1900-01-01","NA","1,60116600","-76,97198600","6672015-18102",,"6672015-2162856",,"6672015-18102",,"0",,"PLUS FASE 2",,,,"445195093,11","2015-12-31","4144","2015-12-31"
"70328","70328","Regi�n Centro Orient","11","BOGOTA","11001","BOGOTA, D.C.","TIPO D","UNI�N TEMPORAL CLARO","2016-12-31","OTRO",,"PUNTO VIVE DIGITAL BOGOTA Engativ",,,,,,,"CERRADO","4096",,"1900-01-01","MINISTRO DAVID LUNA","4,69215800","-74,10457600","6672015-18097",,"6672015-2162858",,"6672015-18097",,"0",,"FASE 1 ETAPA 2",,,,"294044100,68","2016-12-31","4144","2016-12-31"
"15979","15979","Regi�n Eje Cafetero","63","QUINDIO","63001","ARMENIA","TIPO PLUS FASE2","UNI�N TEMPORAL CLARO","2015-12-31","SEDE EDUCATIVA",,"PUNTO VIVE DIGITAL I.E. RUFINO JOS CUERVO SUR SEDE MADRE MARCELINA",,,,,,,"CERRADO","6144",,"1900-01-01","NA","4,53927777","-75,68133333","6672015-18097",,"6672015-2162857",,"6672015-18097",,"0",,"PLUS FASE 2",,,,"476358330,42","2015-12-31","4144","2015-12-31"
