"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"Control de políticas TIC","Software","Formato inventario Documental Backup","Copia de Seguridad de la información de cada funcionario ubicado en carpeta Z","Español","OFICINA DE PLANEACION","Sistema de Información","Disco duro","Documento de Archivo Electrónico","XLS, Doc, PDF, Base de datos, JPG, zip","Disponible","Información Pública Reservada","Alta","Alta","Disco Externo Unidad D:","Area de Sistemas","Diaria","Semanal","Por definir","Activo","ISO 27001:2013 Sistemas de Gestión de la Seguridad de la Información – SGSI","LEY ESTATUTARIA 1581 DE 2012","Reserva Parcial","Formato Digital","Privado","grarantizar copias de respaldo de la información de la empresa","LEY ESTATUTARIA 1581 DE 2012","No aplica","Copias de seguridad de cada uno de los funcionarios de la empresa."
"auditoria interna","Información","informes de auditoria","informes por procesos","español","CONTROL INTERNO","informes","Documento Físico","sistema administrativo de documentos","papel","disponible","Información Pública Reservada","Alta","Alta","archivo","control interno","mensual","diario","27 de abril de 2019","Activo","ley87 / 93","ley 87 del 93","Reserva Parcial","formato fisico","publico","pruebas de auditoria","ley 87 del 93","no aplica","ninguna"
"Control de políticas TIC","Información","Manual Políticas de seguridad y Privacidad de la Información","Manual de politica de seguridad y privacidad de la información EAMOS ESP","Español","OFICINA DE PLANEACION","Manual política","Disco Duro","Documento de Archivo Electrónico","Doc, PDF","disponible","Información Pública Reservada","Alta","Alta","C:\EAMOS\Manualpoliticas\","Area de Sistemas","Semestral","Semestral","2020-09-25T00:00:00.000","Activo","LEY ESTATUTARIA 1581 DE 2012, Entró en vigencia la Ley 1581 del 17 de octubre 2012 de PROTECCIÓN DE DATOS PERSONALES","LEY ESTATUTARIA 1581 DE 2012, Entró en vigencia la Ley 1581 del 17 de octubre 2012 de PROTECCIÓN DE DATOS PERSONALES","Reserva Parcial","Formato Digital","Público","Dar a conocer las políticas de seguridad y privacidad de la información de la empresa EAMOS ESP","DECRETO 1377 DE 2013, Protección de Datos, decreto por el cual se reglamenta parcialmente la Ley 1581 de 2012.","No aplica","El manual políticas de seguridad esta realizado para la proteccion de datos de la empresa EAMOS E.S.P."
"Contratación","Información","Contratación 2020","Matriz de control de totalidad de la contratación para la vigencia 2020","Español","ASESORIA JURIDICA","Expedientes Contractuales","Documentos CSV","Documentos Electrónicos","CSV","Disponible","Información Pública Reservada","Media","Alta","Electrónica","Asesor Jurídico","Diaria","Diaria","2020-01-01T00:00:00.000","Activo","Manual de Contratación, Ley 80 de 1993","Manual de Contratación, Ley 80 de 1993","Reserva Parcial","Formato digital","Público","Control de los contratos que suscribe la entidad","Gestion documental","Firma","Ninguna"
"Cómite de Conciliación y defensa jurídica","Información","Cómite de Conciliación 2020","Matriz de control de totalidad de las actas de conciliacion para la vigencia 2020","Español","ASESORIA JURIDICA","Actas","Documentos Word","Documentos Electrónicos","DOC","Disponible","Información Pública Reservada","Baja","Alta","Electrónica","Asesor Jurídico","Trimestral","Trimestral","2020-01-01T00:00:00.000","Activo","Decreto Nacional 1716 de 2009","Decreto Nacional 1716 de 2009","Reserva Parcial","Formato digital","Público","Control de las acciones que toma la entidad en los procesos judiciales en la que es parte","Gestion documental","Firma","Ninguna"
"Pólizas de seguro","Información","Relación Pólizas","Matriz de control de totalidad de las pólizas de la EAMOS ESP para la vigencia 2020","Español","ASESORIA JURIDICA","Pólizas","Documentos CSV","Documentos Electrónicos","CSV","Disponible","No Clasificada","Baja","Alta","Electrónica","Asesor Jurídico","Mensual","Mensual","2020-01-01T00:00:00.000","Activo","Ley 734 de 2002","Ley 734 de 2003","Reserva Parcial","Formato digital","Público","Control de las pólizas que adquiere la entidad para proteger sus bienes muebles e inmuebles asi como los activos tangibles e intangibles de la misma","Gestion documental","Firma","Ninguna"
"Plan Anual de Adquisiciones","Información","PAC 2020","Matriz de control de totalidad de los contratos a suscribir durante la vigencia 2020","Español","ASESORIA JURIDICA","Archivo digital","Documentos CSV","Documentos Electrónicos","CSV","Disponible","Información Pública Clasificada","Alta","Media","Electrónica","Asesor Jurídico","Mensual","Mensual","2019-12-28T00:00:00.000","Activo","Manual de Contratación, Ley 80 de 1993","Manual de Contratación, Ley 80 de 1994","Reserva Parcial","Formato digital","Público","Preveer por medio de planeación que contratos se van a suscribir durante la vigencia actual","Gestion documental","Firma","Ninguna"
"Resoluciones","Información","Resoluciones 2020","Matriz de control de las resoluciones expedidas por la gerencia durante la vigencia 2020","Español","ASESORIA JURIDICA","Actos Administrativos","Documentos CSV","Documentos Electrónicos","CSV","Disponible","No Clasificada","Baja","Alta","Electrónica","Asesor Jurídico","Mensual","Mensual","2020-01-01T00:00:00.000","Activo","Estatutos de la EAMOS ESP","Estatutos de la EAMOS ESP","Reserva Parcial","Formato digital","Público","Codificar los actos administrativos que expide la gerencia en virtud de sus funciones misionales","Gestion documental","Firma","Ninguna"
"Base de recursos Humanos","Información","Recursos Humanos 2020","Matriz de control de la totalidad de trabajadores  durante la vigencia 2020","Español","ASESORIA JURIDICA","Contratos de trabajo","Documentos CSV","Documentos Electrónicos","CSV","Disponible","Información Pública Reservada","Baja","Alta","Electrónica","Asesor Jurídico","Mensual","Mensual","2020-01-01T00:00:00.000","Activo","Manual de funciones de la EAMOS ESP","Manual de funciones de la EAMOS ESP","Reserva Parcial","Formato digital","Público","Codificar los contratos de trabajo asi como la Información de cada trabajador de la EAMOS ESP","Gestion documental","Firma","Ninguna"
"Procesos Judiciales","Información","Procesos Judiciales 2020","Matriz de control de la totalidad de los procesos judiciales en los cuales es parte la EAMOS ESP  durante la vigencia 2020","Español","ASESORIA JURIDICA","Autos, Sentencias, Notificaciones","Documentos CSV","Documentos Electrónicos","CSV","Disponible","Información Pública Reservada","Baja","Alta","Electrónica","Asesor Jurídico","Mensual","Mensual","2020-01-01T00:00:00.000","Activo","Articulo 2 y articulo 90 de la Constitución Política de Colombia","Articulo 2 y articulo 90 de la Constitución Política de Colombia","Reserva Parcial","Formato digital","Público","Controlar el estado de los procesos en los que es parte la EAMOS ESP","Gestion documental","Firma","Ninguna"
