"tipomision","continente","paisrepresenta","isopaisrepresenta","ciudadubicacion","direccion","localizaci_n_misi_n","telefonos","fax","correoelectronico","paginaweb"
"EMBAJADA","ASIA","JAPON","JPN","BOGOTÁ D.C","CARRERA 7  N. 71 -21 TORRE B PISO 11","(4.598056, -74.075833)","3175001","3174989","EMBAJAPON@COLOMSAT.NET.CO","WWW.MOFA.GO.JP"
"CONSULADO HONORARIO","ASIA","LIBANO","LBN","BARRANQUILLA","(NO REGISTRA)","(10.98611, -74.77028)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","EL SALVADOR","SLV","CALI","CARRERA 5 NO. 12 – 16 OFICINA 908","(3.420556, -76.522222)","(57) (2) 885889 – 8858306 – 317 4411282","(NO REGISTRA)","WESTWAYCALI@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","EUROPA","RUSIA","RUS","BOGOTÁ D.C","CARRERA 4 # 75-02","(4.598056, -74.075833)","(57) (1) 2121881 -  2125560","(NO REGISTRA)","EMBAJADADERUSIAENCOLOMBIA@GMAIL.COM","HTTP://WWW.COLOMBIA.MID.RU/"
"CONSULADO HONORARIO","AMÉRICA","MEXICO","MEX","MEDELLÍN","CALLE 36 NO. 66ª - 70  BARRIO LOS CONQUISTADORES  MEDELLÍN","(6.235925, -75.575137)","(57) (4) 3514812 – (4)3504391 - (4)3514812 - 3174011464","(NO REGISTRA)","APINONA@GMAIL.COM CONSULADOMX@YAHOO.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","SOBERANA ORDEN DE MALTA","MLT","BOGOTÁ D.C","CARRERA 7 NO 237-04","(4.598056, -74.075833)","(57) (1) 6764130 – 6685370 – (57) 310 8555511","(NO REGISTRA)","RICARDOED.SCHEMBRI@GMAIL.COM- MALTACONSUL.BOGOTA@GOV.MT","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","REINO UNIDO","GBR","CARTAGENA","EDIFICIO APOLO. APTO 109. CALLE REAL. EL CABRERO","(37.605651, -0.991294)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","AUSTRIA","AUT","LIMA","CARRETERA A DAPA KILOMETRO 1 COLINAS DE ARROYOALTO # 5 YUMBO VALLE","(-12.047816, -77.062203)","(+57) (2)-6582017 (57) 3117721311 (57) 3117721274","(NO REGISTRA)","HZANGEN@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO","ASIA","CHINA","CHN","BOGOTÁ D.C","CALLE 80 # 51-69 APARTAMENTO 25","(4.598056, -74.075833)","(57) (5) 3187607","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","OMAN","OMN","WASHINGTON","2535 BELMONT ROAD. NW. WASHINGTON DC 20008","(38.895112, -77.036366)","(+1) (202) 387-1980","(NO REGISTRA)","OMAN@UN.INT","HTTP://WWW.OMANI.INFO/"
"EMBAJADA","OCEANÍA","AUSTRALIA","AUS","BOGOTÁ D.C","AV CARRERA 9 # 115 - 06 OFC 2002","(4.598056, -74.075833)","(57)(1) 6577826","(NO REGISTRA)","(NO REGISTRA)","HTTPS://WWW.DFAT.GOV.AU/MISSIONS/COUNTRIES/CO.HTML"
"CONSULADO","EUROPA","ITALIA","ITA","BOGOTÁ D.C","CALLE 93B # 9-92","(4.598056, -74.075833)","(57) (1) 6107095 - 6107030 - 2187206 - 2186604 - 2186680 - 6107138","(57) (1) 6105886","AMBBOGO.MAIL@ESTERI.IT- BOGOTA.CONSOLARE@ESTERI.IT","(NO REGISTRA)"
