"a_o","cod_dane_departamento","departamento","cod_secretaria","secretaria","cod_dane_municipio","municipio","codigo_dane","nombre_establecimiento","cod_sector","sector","cod_caracter","caracter","cod_calendario","calendario","direccion","barrio_vereda","telefono","fax","email","rector","web","total_matricula","cantidad_sedes"
"2019","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","391001000721","COLEGIO CRISTO REY MINUTO DE DIOS","1002","NO_OFICIAL","817",,"52","A","CL 11 3 04","SAN MARTIN","5927653",,"rectoriacristorey@colegiosminutodedios.edu.co","IRENE SERNA BUCURU",,"311","1"
"2021","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","391001000721","COLEGIO CRISTO REY MINUTO DE DIOS","807","NO OFICIAL","817.000000",,"874","A","CL 11 3 04","SAN MARTIN","5927653",,"rectoriacristorey@colegiosminutodedios.edu.co","IRENE SERNA BUCURU",,"2360","1"
"2020","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","391001000721","COLEGIO CRISTO REY MINUTO DE DIOS","1002","NO_OFICIAL","817",,"52","A","CL 11 3 04","SAN MARTIN","5927653",,"rectoriacristorey@colegiosminutodedios.edu.co","IRENE SERNA BUCURU",,"310","1"
"2018","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","391001000721","COLEGIO CRISTO REY MINUTO DE DIOS","1002","NO_OFICIAL","817",,"52","A","CL 11 3 04","SAN MARTIN","5927653",,"rectoriacristorey@colegiosminutodedios.edu.co","IRENE SERNA BUCURU",,"296","1"
"2019","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191540000255","I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS","1001","OFICIAL","818",,"52","A","CL 4 5 49",,"3112771148",,"ineagrojcm@gmail.com","ADLER AHUE RUIZ",,"1020","4"
"2021","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191540000255","I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS","806","OFICIAL","817.000000",,"874","A","CL 4 5 49",,"3112771148",,"ineagrojcm@gmail.com","LUCILA SILVA BORRAEZ",,"9630","4"
"2020","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191540000255","I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS","1001","OFICIAL","818",,"52","A","CL 4 5 49",,"3112771148",,"ineagrojcm@gmail.com","ADLER AHUE RUIZ",,"960","4"
"2018","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191540000255","I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS","1001","OFICIAL","817",,"52","A","CL 4 5 49",,"3112771148",,"ineagrojcm@gmail.com","ADLER AHUE RUIZ",,"981","4"
"2019","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291798000122","I.E. COLEGIO VILLA CARMEN","1001","OFICIAL","817",,"52","A","CORREG TARAPACA","CORREG TARAPACA","3203040284",,,"ELISEO NARIÑO VIENA",,"508","3"
"2021","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291798000122","I.E. COLEGIO VILLA CARMEN","806","OFICIAL","817.000000",,"874","A","CORREG TARAPACA","CORREG TARAPACA","3203040284",,,"ELISEO NARIÑO VIENA",,"5360","3"
"2020","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291798000122","I.E. COLEGIO VILLA CARMEN","1001","OFICIAL","817",,"52","A","CORREG TARAPACA","CORREG TARAPACA","3203040284",,"insedvillacarmen@hotmail.com","ELISEO NARIÑO VIENA",,"519","3"
"2018","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291798000122","I.E. COLEGIO VILLA CARMEN","1001","OFICIAL","817",,"52","A","CORREG TARAPACA","CORREG TARAPACA","3203040284",,,"ELISEO NARIÑO VIENA",,"586","3"
"2019","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191001000501","COLEGIO NAVAL DE LETICIA","1001","OFICIAL","817",,"52","A","CL 10 9 103","CENTRO","098-5926398","098-5926398","colnavleticia@gmail.com","LILIA SANGUINO TORRES","www.armadanacional.mil.co/colegiosnavales","140","1"
"2021","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191001000501","COLEGIO NAVAL DE LETICIA","806","OFICIAL","817.000000",,"874","A","CL 10 9 103","CENTRO","098-5926398","098-5926398","colnavleticia@gmail.com","LILIA SANGUINO TORRES","www.armadanacional.mil.co/colegiosnavales","1150","1"
"2020","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191001000501","COLEGIO NAVAL DE LETICIA","1001","OFICIAL","817",,"52","A","CL 10 9 103","CENTRO","098-5926398","098-5926398","colnavleticia@gmail.com","LILIA SANGUINO TORRES","www.armadanacional.mil.co/colegiosnavales","150","1"
"2018","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","191001000501","COLEGIO NAVAL DE LETICIA","1001","OFICIAL","817",,"52","A","CL 10 9 103","CENTRO","098-5926398","098-5926398","colnavleticia@gmail.com","LILIA SANGUINO TORRES","www.armadanacional.mil.co/colegiosnavales","157","1"
"2019","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291405000231","I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO","1001","OFICIAL","817",,"52","A","CORREG LA CHORRERA",,,,,"EDWIN RENE TETEYE BOTYAI",,"799","8"
"2021","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291405000231","I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO","806","OFICIAL","817.000000",,"874","A","CORREG LA CHORRERA",,,,,"EDWIN RENE TETEYE BOTYAI",,"8570","8"
"2020","91","AMAZONAS","3828","AMAZONAS","91001","LETICIA","291405000231","I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO","1001","OFICIAL","817",,"52","A","CORREG LA CHORRERA",,,,"erteteye@gmail.com","EDWIN RENE TETEYE BOTYAI",,"737","8"
