"medio_de_recepcion","fecha_de_registro","tipo","pais","duracion_de_gestion","duracion_medida_en","duracion_maxima_permitida","area_finalizacion"
"E-MAIL","2018-01-02T08:11:51.687","Peticiones de interés general o particular (15 días)","Colombia","9","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"Escrito","2018-01-02T10:49:16.363","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","1500 Dirección Jurídica"
"Escrito","2018-01-02T10:54:31.227","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","1500 Dirección Jurídica"
"Escrito","2018-01-02T11:04:06.980","Peticiones de interés general o particular (15 días)","Colombia","9","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T12:25:36.413","Peticiones de interés general o particular (15 días)","Colombia","12","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T13:33:56.443","Petición Traslado por Competencia (5 días)","Colombia","2","Días","5","4008 Grupo de Servicio al Ciudadano"
"Escrito","2018-01-02T13:44:17.020","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","1500 Dirección Jurídica"
"Escrito","2018-01-02T13:47:46.930","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","1500 Dirección Jurídica"
"E-MAIL","2018-01-02T13:59:37.343","PQR Consulta (30 días)","Colombia","13","Días","30","1100 Dirección de Asuntos Internacionales"
"Escrito","2018-01-02T14:31:36.480","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","1500 Dirección Jurídica"
"E-MAIL","2018-01-02T14:39:49.310","Peticiones de interés general o particular (15 días)","Colombia","9","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T15:15:32.507","Peticiones de interés general o particular (15 días)","Colombia","9","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T16:57:03.143","Peticiones de interés general o particular (15 días)","Colombia","6","Días","15","3200 Dirección de Política Criminal y Penitenciaria"
"E-MAIL","2018-01-02T17:25:09.393","Peticiones de interés general o particular (15 días)","Colombia","5","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T17:34:41.300","Peticiones de interés general o particular (15 días)","Colombia","6","Días","15","3200 Dirección de Política Criminal y Penitenciaria"
"E-MAIL","2018-01-02T18:47:37.310","Solicitud de Acogimiento a Proceso de Paz","Colombia","6","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T18:57:32.443","PQR Consulta (30 días)","Colombia","30","Días","30","2200 Dirección de Justicia Formal"
"Escrito","2018-01-02T19:04:57.610","Solicitud de Acogimiento a Proceso de Paz","Colombia","1","Días","15","3100 Dirección de Justicia Transicional"
"Escrito","2018-01-02T19:08:37.427","Solicitud de Acogimiento a Proceso de Paz","Colombia","1","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T19:20:34.520","Solicitud de Certificación Postulación Ley 975*","Colombia","5","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T19:22:49.080","Peticiones de interés general o particular (15 días)","Colombia","6","Días","15","3100 Dirección de Justicia Transicional"
"Escrito","2018-01-02T19:25:49.090","Solicitud de Postulación a Ley de Justicia y Paz","Colombia","1","Días","15","3100 Dirección de Justicia Transicional"
"Escrito","2018-01-02T19:29:31.790","Solicitud de Postulación a Ley de Justicia y Paz","Colombia","5","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T19:33:16.190","Peticiones de interés general o particular (15 días)","Colombia","5","Días","15","3200 Dirección de Política Criminal y Penitenciaria"
"E-MAIL","2018-01-02T19:36:08.923","Peticiones de interés general o particular (15 días)","Colombia","1","Días","15","3100 Dirección de Justicia Transicional"
"E-MAIL","2018-01-02T20:23:41.753","Petición de Información Entre Entidades (10 días)","Colombia","1","Días","10","2100 Dirección de Métodos Alternativos de Solución de Conflictos"
"E-MAIL","2018-01-02T20:45:18.957","Peticiones de interés general o particular (15 días)","Colombia","3","Días","15","2300 Dirección de Desarrollo del Derecho y del Ordenamiento Jurídico"
"E-MAIL","2018-01-02T21:06:17.597","Peticiones de interés general o particular (15 días)","Colombia","15","Días","15","2000 Despacho del Viceministro de Promoción de la Justicia"
"E-MAIL","2018-01-02T21:12:08.813","Petición de Información Entre Entidades (10 días)","Colombia","8","Días","10","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T21:20:06.100","Peticiones de interés general o particular (15 días)","Colombia","14","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T21:23:06.623","Petición de Información Entre Entidades (10 días)","Colombia","9","Días","10","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T21:24:48.583","Petición de Información Entre Entidades (10 días)","Colombia","9","Días","10","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"E-MAIL","2018-01-02T21:26:53.790","Petición Traslado por Competencia (5 días)","Colombia","1","Días","5","4008 Grupo de Servicio al Ciudadano"
"Escrito","2018-01-03T07:15:09.120","Peticiones de interés general o particular (15 días)","Colombia","22","Días","15","2100 Dirección de Métodos Alternativos de Solución de Conflictos"
"Escrito","2018-01-03T07:19:15.950","Peticiones de interés general o particular (15 días)","Colombia","1","Días","15","1500 Dirección Jurídica"
"Escrito","2018-01-03T07:21:34.713","Peticiones de interés general o particular (15 días)","Colombia","1","Días","15","1500 Dirección Jurídica"
"Escrito","2018-01-03T07:27:51.300","Peticiones de interés general o particular (15 días)","Colombia","0","Días","15","4008 Grupo de Servicio al Ciudadano"
"Escrito","2018-01-03T07:33:30.850","Peticiones de interés general o particular (15 días)","Colombia","0","Días","15","4008 Grupo de Servicio al Ciudadano"
"Escrito","2018-01-03T07:38:03.643","Peticiones de interés general o particular (15 días)","Días","15","4008 Grupo de Servicio al Ciudadano","NULL","NULL"
"Escrito","2018-01-03T07:43:43.633","Petición Traslado por Competencia (5 días)","Días","5","4008 Grupo de Servicio al Ciudadano","NULL","NULL"
"Escrito","2018-01-03T07:49:43.497","Peticiones de interés general o particular (15 días)","Colombia","0","Días","15","4008 Grupo de Servicio al Ciudadano"
"Escrito","2018-01-03T07:59:13.287","Solicitud de Consulta","Colombia","6","Días","30","3100 Dirección de Justicia Transicional"
"Escrito","2018-01-03T08:02:15.083","Solicitud de Consulta","Colombia","12","Días","30","2100 Dirección de Métodos Alternativos de Solución de Conflictos"
"Escrito","2018-01-03T08:05:32.660","Peticiones de interés general o particular (15 días)","Colombia","5","Días","15","3310 Subdirección de Control y Fiscalización de Sustancias Químicas y Estupefacientes"
"Escrito","2018-01-03T08:11:33.620","Peticiones de interés general o particular (15 días)","Colombia","13","Días","15","4005 Grupo de Gestión Humana"
"Escrito","2018-01-03T08:16:14.707","Peticiones de interés general o particular (15 días)","Colombia","4","Días","15","3200 Dirección de Política Criminal y Penitenciaria"
"Escrito","2018-01-03T08:21:04.783","Peticiones de interés general o particular (15 días)","Colombia","5","Días","15","3200 Dirección de Política Criminal y Penitenciaria"
"Presentanción Web","2018-01-03T08:31:48.820","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","4008 Grupo de Servicio al Ciudadano"
"Presentanción Web","2018-01-03T08:32:25.620","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","4008 Grupo de Servicio al Ciudadano"
"Presentanción Web","2018-01-03T08:33:20.037","Peticiones de interés general o particular (15 días)","Colombia","2","Días","15","4008 Grupo de Servicio al Ciudadano"
