"item","cuenta","nombre_cuenta","dominio","estado","categoria","tipo_entidad","subtipo_entidad","departamento","municipio"
"1","almacen_general@vaupes.gov.co","almacen_general","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"2","aseguramiento@vaupes.gov.co","aseguramiento","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"3","bancoproyectos@vaupes.gov.co","bancoproyectos","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"4","biblioteca_departamental@vaupes.gov.co","biblioteca_departamental","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"5","centrourgenciasemergencias_crue@vaupes.gov.co","centrourgenciasemergencias_crue","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"6","comunicacion_prensa_conectividad@vaupes.gov.co","comunicacion_prensa_conectividad","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"7","contabilidad@vaupes.gov.co","contabilidad","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"8","control_interno_administrativo@vaupes.gov.co","control_interno_administrativo","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"9","control_interno_disciplinario@vaupes.gov.co","control_interno_disciplinario","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"10","desarrollo_comunitario@vaupes.gov.co","desarrollo_comunitario","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"11","desarrolloprestacionservicios@vaupes.gov.co","desarrolloprestacionservicios","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"12","estratificacion_estadistica@vaupes.gov.co","estratificacion_estadistica","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"13","fondoterritorialpensiones@vaupes.gov.co","fondoterritorialpensiones","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"14","gestor_cultural@vaupes.gov.co","gestor_cultural","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"15","enlace_departamental_dih@vaupes.gov.co","enlace_departamental_dih","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"16","gobernacion@vaupes.gov.co","gobernacion","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"17","contactenos@vaupes.gov.co","contactenos","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"18","gobernador@vaupes.gov.co","gobernador","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"19","idder@vaupes.gov.co","idder","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"20","notificacionjudicial@vaupes.gov.co","notificacionjudicial","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"21","plan_departamental_aguas@vaupes.gov.co","plan_departamental_aguas","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"22","prestacionesmagisterio@vaupes.gov.co","prestacionesmagisterio","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"23","personal@vaupes.gov.co","personal","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"24","referencia_contrarreferencia@vaupes.gov.co","referencia_contrarreferencia","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"25","rentas@vaupes.gov.co","rentas","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"26","saludsexualreproductiva@vaupes.gov.co","saludsexualreproductiva","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"27","secretariajuridica@vaupes.gov.co","secretariajuridica","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"28","secretariadeeducacion@vaupes.gov.co","secretariadeeducacion","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"29","secretariadesalud@vaupes.gov.co","secretariadesalud","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"30","secretariadeagricultura@vaupes.gov.co","secretariadeagricultura","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"31","secretariadegobierno@vaupes.gov.co","secretariadegobierno","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
"32","secretariadehacienda@vaupes.gov.co","secretariadehacienda","http://vaupes.gov.co","Active","2","Gobernación",,"Vaupes","Mitú"
