"item","expediente","empresa","direccion","telefono","correo_electronico","tramite","no_resolucion_y_fecha","descripci_n","estado","aceites_usados","gasolina","nafta","petroleo_crudo","acpm","destilado","varsol","combustoleo","gas_natural","lodos_de_producci_n_borras","aguas_de_producci_n","ar_domesticas","rs_contaminados_con","condensado","butil_caustica","hipoclorito_de_sodio","detergente_industrial","corrosivos_low_cor","yodo","anhidro_aftalico","potasa_caustica","acido_nitrico","acido_clorhidrico","cloro","cloruro_de_sodio","soda_caustica","hidrocarburo_gnc","aceite_de_palma","hipoclorito_de_sodio_1","jarabe_de_maiz","aceite_hidraulico","acido_fosforico","acido_acetico","bicarbonato_de_sodio","butanediol","hidroxido_de_calcio","carbonato_de_calcio","carbonato_de_potasio","clorato_de_potasio","cloruro_de_calcio","formiato_de_potasio","etil_glicol","hipoclorito_de_calcio","hipoclorito_de_sodio_2","nitrato_de_potasio","nitrato_de_magnesio_liquido","alcohol_etileno_normal","monoxido_de_carbono","sulfato_de_potasio","thinner","tolueno","xileno","aceite_de_motor","estopas_trapos_geomembranas","envases_de_pintura","diluyente","baterias","tonner_y_cartucho_usado_de","tubos_flourescentes","madera_contaminada_con","filtros_contaminados_con","material_contaminado_con","manguera_contaminada_con","bolsas_de_cemento","icopor_contaminado_con","pvc_contaminado_con","residuos_de_aparatos","escombros","llantas","empaques_de_quimicos","fluidos_o_tierra_contaminada","rs_ordinarios","residuos_organicos","residuos_especiales","residuos_aceitosos_aguas","jet_a1","liquido_desintegrador_m_o","salmueras_y_fluidos_salinos","residuos_de_la_produccion","residuos_de_plaguicidas","residuos_desinfectantes","pinturas_y_barnices","cal","barita","flocs","estibas_contaminadas","metales_contaminados","hidroxido_de_sodio","dioxido_de_silicio","antiespumante_base_glicol","carbon_activado","cloruro_de_potasio","silicato_de_aluminio","metano","butano","propileno","disolvente_n4","dioxido_de_azufre","dioxido_de_nitrogeno","manganato_de_potasio","aserrin","cascara_de_nuez","nitrogeno_comprimido","aga_mix","oxido_nitroso","hexafloruro_de_azufre","helio","argon_comprimido","oxigeno_comprimido","dioxido_de_carbono","nitron","propanol","isobutanol","perlita_aislamiento_termico"
"1","3.5.2.11.013.003","TRANSPORTE TECNICO DE LIQUIDOS S.A.S.","AV TRONCAL DE OCCIDENTE, KM 19 VIA MOSQUERA","829 97 60","general@tecniliquidos.com    Yesidmarulanda@gmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS.GJ.1.2.6.17.941 DE 12/06/2017  y Resolucion PS-GJ.1.2.6.17.1437 del 28 agosto de 2017, Resuelve el recurso de reposicion","Por medio del cual se acoge el concepto tecnico No.PM.GA.3.44.17.1260 del 31 de mayo de 2017 y se aprueba el plan de contingencias para las operaciones de transporte terrestre en tractocamiones cisterna de hidrocarburos, derivados y liquidos en general, a la empresa TRANSPORTE TECNICO DE LIQUIDOS S.A.S-TECNILIQUIDOS S.A.S, identificada con Nit. 800210426-7","ACTIVO","-","X","X","X","-","-","-","-","-","-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2","3.5.2.11.013.004","TRANSPORTES VIGIA S.A.S.","CALLE 17 No. 21-75  BOGOTA D.C.","320 307 6140","viceprecidencia@transportesvigia.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS.GJ.1.2.6.17.1330 DE 10 agosto de 2017","Por medio del cual se acoge el concepto tecnico No. PM.GA.3.44.17.1656 del 28 de junio de 2017 y se aprueba el plan de contingencias para el manejo de derrames de hidrocarburos y sustancias nocivas, a la empresa TRANSPORTES VIGIA S.A.S, identificada con Nit. 800042210-2.","ACTIVO","-","-","X","X","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","X","X","X","X","X","X","X","X","X","-","X","X","X","X","X","X","X","X","X","X","X","X","X","-","-","-","X","X","X","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","3.5.2.11.013.045","PULGARIN Y PETROLEO LTDA","CALLE 12B # 47B - 24 VILLAVICENCIO","668 22 57","Proyectos@pulgarin.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.0456 21/03/2018","Por medio del cual se acoge el concepto tecnico No.PM.GA.3.44.18.760 del 09 de marzo de 2018 y se aprueba el plan de contingencias para el transporte terrestre en tractocamion cisterna de hidrocarburos, derivados y liquidos en general, a la empresa PULGARIN Y PETRÓLEO LTDA, identificada con Nit 800093934-4.","ACTIVO","-","x","-","x","x","-","-","-","-","X","x","-","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","3.5.2.11.013.049","TRANSPORTE MANRIQUE S.A.S.","KM 19 VIA BOGOTA MADRID - CENTRO INDUSTRIAL SAN JORGE","893 33 30","Transmanrique@hotmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.0875 de 2/06/2017","Por medio del cual se acoge el concepto tecnico No.PM.GA.3.44.17.957 del 04 de mayo de 2017 y se aprueba el plan de contingencia y emergencia para las operaciones de recoleccion, transporte y entrega terrestre de hidrocarburos, combustibles y/o residuos derivados de la industria petrolera en tracto camiones cisterna para el territorio nacional, a la empresa TRANSPORTES MANRIQUE S.A.S identificada con Nit 800250259-4","ACTIVO","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","3.5.2.11.013.122","CARPETROL SERVICIOS Y SUMINISTROS S.A.S.","SAN ISIDRO DE CHICHIMENE KM 1 VIA LA ESTACION DE ECOPETROL","320 448 3253","Carpetroltda@yahoo.es","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.1333 25/06/2018","Por medio de la cual se acoge el concepto tecnico PM-GA 3.44.18.1159 del 11 de abril de 2018 con el cual se aprueba el plan de contingencias para el transporte y manejo integral de residuos contaminados y sustancias nocivas a favor de la empresa CARPETROL SERVICIOS Y SUMINISTROS S.A.S identificada con Nit 900132476-3 en jurisdicción del departamento del Meta.","ACTIVO","-","-","-","x","x","-","-","-","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","X","X","X","X","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6","3.5.2.11.014.010","MULTICARGA LA SABANA S.A.S AHORA TECECOR TRANSPORTES S.A.S.","CRA 1A # 11 - 130 TO2 OFI 415 CENTRO EMPRESARIAL DE NEGOCIOS","3212766207","hsecolombia@hotmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.2101 06/09/2018","Por medio del cual se acoge el concepto tecnico PM-GA.3.44.18.2176 del 8 de junio de 2018 y se aprueba el plan de contingencia para el transporte de producctos derivados del petroleo y otras sustancias peligrosas, a favor de la empresa TECECOR TRANSPORTES S.A.S.","ACTIVO","-","-","x","x","-","-","-","-","-","x","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","x","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","3.5.2.11.014.026","TRANSPORTES NG LTDA","KM 12 VIA PUERTO LOPEZ  - META","6713399 - 3104491760","ngonzalez@transportesng.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.3304 de 28/12/2017","Por medio del cual se acoge el concepto tecnico No. PM.GA.3.44.17.3563 del 23 de noviembre de 2017  y se aprueba el plan de contingencias para el manejo de derrames de hidrocarburos, derivados y sustancias nocivas, a la empresa TRANSPORTES NG LTDA, identificada con Nit 900117232-0.","ACTIVO","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8","3.5.2.11.014.059","TRANSPORTES SUMIPET S.A.S","CALLE 98# 9A - 41 OFICINA 301 - BOGOTA","841  5307","Johnmorales@sumipet.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS.GJ1..6.17.1342 14 Agosto 2017","Por medio del cual  se acoge el concepto técnico No.PM.GA.3.44.17.1600 del 22 de junio de 2017 y se aprueba el plan nacional de contingencias para el transporte terrestre de sustancias nocivas a la empresa TRANSPORTES SUMIPET S.A.S identificada con Nit 830065805-2.","ACTIVO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","3.5.2.11.015.015","INGEKAR LRP S.A.S.","ESTACION DE SERVICIO TERPEL ANILLO VIAL LOTE 4 OFICINA 204  - VILLAVICENCIO","672 8025","Administracion@ingekar.net","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.1589 31/07/2018","Por medio de la cual se acoge el concepto técnico PM-GA 3.44.18.1160 del 11 de abril de 2018 con el cual se aprueba el plan de contingencia para el transporte terrestre de residuos peligrosos y/o similares a favor de la empresa INGEKAR LRP S.A.S, identificada con Nit 900533318-9 en jurisdicción del departamento del Meta.","ACTIVO","-","x","-","x","x","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","X","X","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10","3.5.2.11.015.028","ALDIA LOGISTICA","AV CENTENDARIO CALLE 17 NO. 81A - 07","422 1300","sergio.gonzalez@aldialogistica.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.1796 18/11/2017","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.17.1994 del 26 de julio de 2017 y se aprueba el plan de contingencias para las operaciones de transporte terrestre de hidrocarburos, derivados y sustancias nocivas, a la empresa PROVEEDOR Y SERCARGA S.A- ALDIA LOGÍSTICA, identificada con Nit 860016819-5","ACTIVO","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
