"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","commoncore_publisher","informacindedatos_fechaemisinddmmaaaa","commoncore_contactname","commoncore_language","commoncore_contactemail","commoncore_license","commoncore_issued","informacindelaentidad_sector","commoncore_references","informacindelaentidad_nombredelaentidad","commoncore_publicaccesslevel","commoncore_bureaucode","commoncore_describedby","commoncore_updatefrequency","informacindedatos_urlnormativa","informacindelaentidad_departamento","informacindelaentidad_autor","informacindelaentidad_orden","commoncore_programcode","commoncore_lastupdate","commoncore_homepage","commoncore_uniqueidentifier","informacindelaentidad_reaodependecia","informacindedatos_fechaemisinaaaammdd","informacindelaentidad_reaodependencia","informacindelaentidad_municipio","commoncore_geographiccoverage","informacindedatos_frecuenciadeactualizacin","informacindedatos_idioma","commoncore_theme","informacindedatos_coberturageogrfica","informacindedatos_urldocumentacin"
"gfvp-pems","Complejo Paramos Chili - Barragán","Delimitación del Complejo de Páramos establecida en Chili - Barragán","cortolima","cury-njg8","published","private","rejected","official","dataset",,"paramo,tolima,areas protegidas,complejos de páramo","https://www.datos.gov.co/d/gfvp-pems","https://www.datos.gov.co/resource/gfvp-pems.json","2022-05-06T17:19:55.000","2022-05-06T17:32:22.000","www.datos.gov.co","false","3","0","1","14",,,"CORTOLIMA","https://datosabiertos.cortolima.gov.co/datasets/06c07fb10339420a9fed97b3074602de_0/explore?location=4.183785%2C-75.644868%2C11.00",,,,,,,,,,,"Ambiente y Desarrollo Sostenible",,"Corporación Autónoma Regional del Tolima",,,,,,"Tolima",,"Territorial",,,,,,"2020/11/25","Oficina Asesora de Direccionamiento Estrategico TIC - Sistema de Información Geografico","Ibagué",,"No aplica","Español",,"Departamental","https://datosabiertos.cortolima.gov.co/datasets/06c07fb10339420a9fed97b3074602de_0/explore?location=4.183785%2C-75.644868%2C11.00"
"gd6u-pgwr","Proyectos de investigacion ESAP - Bogotá","Proyectos de Investigacion de la Sede Central de la ESAP","Escuela Superior de Administración Pública ESAP","auxw-9qds","published","private","not_ready","official","dataset","Educación","proyectos de investigación","https://www.datos.gov.co/d/gd6u-pgwr","https://www.datos.gov.co/resource/gd6u-pgwr.json","2016-07-14T22:47:13.000","2016-09-30T21:35:13.000","www.datos.gov.co","false","839","89","11","8",,"Creative Commons Attribution | Share Alike 4.0 International","Escuela Superior de Administración Pública",,,,,,,,,,,,"Función Pública",,"Escuela Superior de Administración Pública",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-03-31","ESCUELA SUPERIOR DE ADMINISTRACIÓN PÚBLICA","Bogotá D.C.",,"Anual","Español",,"Nacional",
"xgf7-b3ws:0","Indicadores","","Grupo RNT","gs4m-jhw7","unpublished","private","not_ready","official","dataset",,,"https://www.datos.gov.co/d/xgf7-b3ws/revisions/0",,"2021-02-11T20:57:02.000","2021-02-11T20:57:01.000","www.datos.gov.co","false",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hfdd-2352","Esquema de Publicación de Información-EPI (Datos Nativos)","","Banco de la República (Colombia)","vpt4-jidj","published","private","not_ready","official","dataset","Función pública",,"https://www.datos.gov.co/d/hfdd-2352","https://www.datos.gov.co/resource/hfdd-2352.json","2021-09-21T19:21:51.000","2021-12-20T15:06:56.000","www.datos.gov.co","false","20","1","0","13",,,,,,,,,,,,,,,"No Aplica",,"Banco de la República",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2021-09-21","Departamento de Gestión Documental","Bogotá D.C.",,"Anual","Español",,"Nacional",
"e4d8-epa5","EMISIÓN DE CONTAMINANTES DE AIRE","Concentración de contaminantes criterio al Aire, tanto gases como  material particulado.","CDMB","ppx5-7gwc","published","private","not_ready","official","dataset","Ambiente y Desarrollo Sostenible",,"https://www.datos.gov.co/d/e4d8-epa5","https://www.datos.gov.co/resource/e4d8-epa5.json","2016-11-04T19:42:20.000","2016-11-04T20:48:17.000","www.datos.gov.co","false","1114","159","21","22",,"Creative Commons Attribution | Share Alike 4.0 International","CDMB - CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA",,,,,,,,,,,,"Ambiente y Desarrollo Sostenible",,"Corporación Autónoma Regional para la Defensa de la Meseta de Bucaramanga",,,,,,"Santander",,"Nacional",,,,,,"ENERO 2015","SOPIT","Bucaramanga",,"Trimestral","Español",,"Municipal",
"3iv5-72ms","VEINTE PRIMERAS CAUSAS DE MORBILIDAD 2019","VEINTE PRIMERAS CAUSAS DE MORBILIDAD POR CATEGORÍAS CIE-10 EN CONSULTA ESPECIALIZADA","ESE Hospital Departamental Universitario Santa Sofía de Caldas","danj-8n8j","published","private","not_ready","official","dataset","Salud y Protección Social",,"https://www.datos.gov.co/d/3iv5-72ms","https://www.datos.gov.co/resource/3iv5-72ms.json","2020-01-31T20:30:52.000","2020-01-31T20:54:43.000","www.datos.gov.co","false","204","27","20","5","planeacion@santasofia.com.co",,,,,,,,,,,,,,"Salud y Protección Social",,"E.S.E. Hospital Departamental Santa Sofía de Caldas",,,,,,"Caldas",,"Territorial",,,,,,"2020-01-31","Planeación e Información","Manizales",,"Anual","Español",,"Departamental",
"78ry-85yc","Ubicación de los semáforos del Municipio de La Dorada","Este conjunto de datos, contiene la ubicación exacta de los semáforos del municipio de La Dorada.","Alcaldía Municipal de La Dorada - Caldas","i4cz-zenx","published","private","not_ready","official","dataset","Ordenamiento Territorial","semáforo,semaforización,la dorada","https://www.datos.gov.co/d/78ry-85yc","https://www.datos.gov.co/resource/78ry-85yc.json","2016-10-07T13:48:25.000","2017-12-22T17:20:00.000","www.datos.gov.co","false","191","39","25","8","sistemas@ladorada.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Alcaldía Municipal de La Dorada",,,,,,,,,,,,"Tecnologías de la Información y las Comunicaciones",,"Alcaldía Municipal de La Dorada",,,,,,"Caldas",,"Territorial",,,,,,"2016-10-07","Alcaldía Municipal de La Dorada","La Dorada",,"Anual","Español",,"Municipal",
"9h2e-y3dv:4","Directorio Institucional Guateque","Directorio  Institucional Alcaldía de Guateque-Boyaca.","Guateque Boyaca","bpyg-ae6m","unpublished","private","not_ready","official","dataset","Función pública","guateque,directorio,dependencia,telefono,correo","https://www.datos.gov.co/d/9h2e-y3dv/revisions/4",,"2022-04-11T21:08:20.000","2019-02-20T16:39:13.000","www.datos.gov.co","false",,,"19","5","comunicaciones@guateque-boyaca.gov.co","Creative Commons Attribution 4.0 International","Alcaldía de Guateque","http://www.guateque-boyaca.gov.co/tema/directorio-institucional","Directorio Institucional Guateque","9h2e-y3dv",,,,,,,,,"Función Pública",,"Alcaldía Municipal de Guateque",,,,,,"Boyacá",,"Territorial",,,,,,"2018/09/17","Gobierno en Linea","Guateque",,"Anual","Español",,"Municipal","http://www.guateque-boyaca.gov.co/tema/directorio-institucional"
"a8k4-fwyn:1","PRODUCTIVIDAD AÑO 2.018 PROMOCIÓN y PREVENCIÓN","Productividad PyP IMSALUD 2018","Empresa Social del Estado  IMSALUD","mukb-weeb","unpublished","private","not_ready","official","dataset","Salud y Protección Social","promoción,prevención","https://www.datos.gov.co/d/a8k4-fwyn/revisions/1",,"2022-04-11T20:48:05.000","2019-11-04T18:56:56.000","www.datos.gov.co","false",,,"70","42","sistemas@imsalud.gov.co","Creative Commons 1.0 Universal (Public Domain Dedication)","Subgerencia de Atención en Salud - IMSALUD","https://www.imsalud.gov.co/web/datos-abiertos/","PRODUCTIVIDAD AÑO 2.018 PROMOCIÓN y PREVENCIÓN","a8k4-fwyn",,,,,,,,,"Salud y Protección Social",,"E.S.E. Empresa Social del Estado Imsalud",,,,,,"Norte de Santander",,"Territorial",,,,,,"2019-03-01","Subgerencia de Atención en Salud - IMSALUD","Cúcuta",,"Anual","Español",,"Municipal",
"y8by-eii9","Informe Mensual de la Deuda Publica Administración Central junio de 2019 Bogotá.","Se refiere a los documentos que reflejan los saldos de las obligaciones financieras vigentes de Bogotá, D.C., su movimiento mensual y el acumulado.","Ministerio de Tecnologías de la Información y las Comunicaciones","r4qn-dwdd","published","public","approved","official","federated_href",,"economía y finanzas","https://www.datos.gov.co/d/y8by-eii9","https://www.datos.gov.co/resource/y8by-eii9.json","2022-05-14T05:04:59.000","2022-05-14T05:04:59.000","www.datos.gov.co","false","0","0",,,,,,,,,,"Secretaría Distrital de Hacienda",,"Secretaría Distrital de Hacienda",,"mailto:oramirezc@shd.gov.co","https://creativecommons.org/licenses/by/4.0/",,,,,"public","[ ""000:00"" ]",,,,,,,"[ ""000:000"" ]","2019-08-13","https://datosabiertos.bogota.gov.co/dataset/aecfe38f-97a4-448e-a587-d65be539d09d?_external=True","aecfe38f-97a4-448e-a587-d65be539d09d",,,,,,,,,,
