"numero","epigrafe","tema","palabras_clave","url"
"966","Por la cual se adicionan Áreas de Prestación del Servicio (APS) y Personas Prestadoras al numeral 6.3.2.7 del LIBRO 6 ANEXOS R","Resolución 966 de 2022 CRA","2022","Enlace a Resolución 966 de 2022 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0966_2022.htm)"
"907","Por la cual se modifican y adicionan unos artículos a las Resoluciones CRA 688 de 2014 y CRA 825 de 2017","Resolución 907 de 2019 CRA","2019","Enlace a Resolución 907 de 2019 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0907_2019.htm)"
"20","(DEROGADA) - Bienes aportados - Menos ocho mil usuarios","Resolución 20 de 1997 CRA","1997","Enlace a Resolución 20 de 1997 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0020_1997.htm)"
"2","(DEROGADA) - Programa","Resolución 2 de 1997 CRA","1997","Enlace a Resolución 2 de 1997 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0002_1997.htm)"
"964","Por la cual se adiciona el parágrafo 6 al artículo 5.3.2.2.8.3. de la Resolución CRA 943 de 2021 relacionado con el Factor de","Resolución 964 de 2022 CRA","2022","Enlace a Resolución 964 de 2022 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0964_2022.htm)"
"963","Por la cual se regula la unificación de costos económicos de referencia de los servicios públicos domiciliarios de acueducto","Resolución 963 de 2022 CRA","2022","Enlace a Resolución 963 de 2022 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0963_2022.htm)"
"962","Por la cual se modifican los artículos 5.3.2.2.8.2 y 5.3.6.7.9.2. de la Resolución CRA 943 de 2021 y se corrige este último,","Resolución 962 de 2022 CRA","2022","Enlace a Resolución 962 de 2022 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0962_2022.htm)"
"960","Por la cual se adiciona el parágrafo 3 al artículo 2.1.1.1.6.5 contenido en el Título 1, Parte 1 del Libro 2 de la Resolució","Resolución 960 de 2021 CRA","2021","Enlace a Resolución 960 de 2021 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0960_2021.htm)"
"956","Por la cual se adiciona el Título 2 a la Parte 8 del Libro 5 de la Resolución CRA 943 de 2021 sobre ""Aspectos generales de los","Resolución 956 de 2021 CRA","2021","Enlace a Resolución 956 de 2021 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0956_2021.htm)"
"955","Por la cual se modifica el artículo 5 de la Resolución CRA 911 de 2020, modificado por el artículo 4 de la Resolución CRA 93","Resolución 955 de 2021 CRA","2021","Enlace a Resolución 955 de 2021 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0955_2021.htm)"
"954","Por la cual se fija la tarifa de la Contribución Especial de que trata el artículo 85 de la Ley 142 de 1994 para la vigencia 2","Resolución 954 de 2021 CRA","2021","Enlace a Resolución 954 de 2021 CRA (https://normas.cra.gov.co/gestor/docs/resolucion_cra_0954_2021.htm)"
