"cod_dpto","cod_mpio","dpto","municipio","cod_prestador","nom_prestador","cod_habilitacion","no_sede","nom_sede","gerente","zona","direccion","barrio","cod_centro_poblado","centro_poblado","telefono","fax","email","nit","dv","clase_persona","cod_nat_juridica","naturaleza","cod_clase_prestador","clase_prestador","ese","nivel","car_cter","sede_principal","habilitado","no_sede_princ","hor_lunes","hor_martes","hor_miercoles","hor_jueves","hor_viernes","hor_sabado","hor_domingo"
"8","08078","ATLANTICO","BARANOA","0807800022","NANCY MARIA PONCE DE LOS REYES","0807800022","1","NANCY MARIA PONCE DE LOS REYES","NANCY MARIA PONCE DE LOS REYES","URBANA","CALLE 15 N° 19 - 42","CALDAS","SIN DATO","SIN DATO","8789443","8789443","nancyponce15@hotmail.com","32682089","0","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","N/A","N/A","SIN DATO","SI","SI","1","07 a 17","07 a 00","07 a 17","07 a 17","07 a 17","07 a 13","00 a 00"
"8","08078","ATLANTICO","BARANOA","0807800030","IPS CLINICA SANTA ANA DE BARANOA","0807800030","1","I.P.S CLINICA SANTA ANA DE BARANOA LTDA","FLORENTINO GOENAGA OÑORO","URBANA","CALLE 18 N° 20 - 59","CENTRO","8078000","BARANOA","8787559","8787515","clinicasantaana_baranoa@hotmail.com","802001084","2","JURIDICO","1","PRIVADA","1","INSTITUCIONES - IPS","N/A","N/A","SIN DATO","SI","SI","1","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"8","08078","ATLANTICO","BARANOA","0807800065","JORGE LUIS GOMEZ NATERA","0807800065","1","JORGE LUIS GOMEZ NATERA","SIN DATO","URBANA","CALLE 19 # 19 - 02","SIN DATO","SIN DATO","SIN DATO","8788420","SIN DATO","SIN DATO","72012370","4","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","NO","N/A","SIN DATO","SI","SI","1","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800077","EVARISTO MANUEL GONZALEZ VARGAS","0807800077","1","EVARISTO MANUEL GONZALEZ VARGAS","SIN DATO","RURAL","calle 20 # 22-61","GUAYABAL","SIN DATO","SIN DATO","3114051561-8788799","SIN DATO","evaromanuel@hotmail.com","72013387","3","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","N/A","N/A","SIN DATO","SI","SI","1","00 a 00","09 a 12","00 a 00","09 a 12","00 a 00","09 a 12","00 a 00"
"8","08078","ATLANTICO","BARANOA","0807800158","EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA","0807800158","1","EMPRESA SOCIAL DEL ESTADO DE BARANOA","DAVID ALFONSO PELAEZ PEREZ","RURAL","CALEE 19 NUMERO 20 - 10","CENTRO","SIN DATO","SIN DATO","8787736","SIN DATO","SIN DATO","890103002","7","JURIDICO","4","PÚBLICA","1","INSTITUCIONES - IPS","SI","1","MUNICIPAL","SI","SI","1","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800158","EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA","0807800158","2","CENTRO DE SALUD DE CAMPECHE","DAVID ALFONSO PELAEZ PEREZ","RURAL","CALEE 13 NUMERO 11 - 72","CENTRO","SIN DATO","SIN DATO","8787736","SIN DATO","SIN DATO","890103002","7","JURIDICO","4","PÚBLICA","1","INSTITUCIONES - IPS","SI","1","MUNICIPAL","NO","SI","1","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","SIN DATO","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800158","EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA","0807800158","3","CENTRO DE SALUD PITAL","DAVID ALFONSO PELAEZ PEREZ","RURAL","CORREGIMIENTO DE PITAL","SIN DATO","SIN DATO","SIN DATO","8787736","SIN DATO","SIN DATO","890103002","7","JURIDICO","4","PÚBLICA","1","INSTITUCIONES - IPS","SI","1","MUNICIPAL","NO","SI","1","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","SIN DATO","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800158","EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA","0807800158","4","CENTRO DE SALUD DE SIBARCO","DAVID ALFONSO PELAEZ PEREZ","RURAL","CL 3 No 3 - 90","SIN DATO","SIN DATO","SIN DATO","8787736","SIN DATO","SIN DATO","890103002","7","JURIDICO","4","PÚBLICA","1","INSTITUCIONES - IPS","SI","1","MUNICIPAL","NO","SI","1","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","8:00AM - 12:00AM","SIN DATO","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800175","LUIS ENRIQUE DE LA CRUZ BARRIOS","0807800175","1","LUIS ENRIQUE DE LA CRUZ BARRIOS","SIN DATO","URBANA","CALLE 19 N° 19 - 90","CENTRO","SIN DATO","SIN DATO","8787143","8787143","laboratoriodelacruz@hotmail.com","3717620","0","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","N/A","N/A","SIN DATO","SI","SI","1","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","07 a 12","00 a 00"
"8","08078","ATLANTICO","BARANOA","0807800396","RITA SOFIA NAVAS QUINTERO","0807800396","1","RITA SOFIA NAVAS QUINTERO","SIN DATO","URBANA","Calle 18 # 19-72 Casa 1","CENTRO","SIN DATO","SIN DATO","8788271-3012212375","SIN DATO","ritanavas13@hotmail.com","22455539","0","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","N/A","N/A","SIN DATO","SI","SI","1","07 a 16","07 a 16","07 a 16","07 a 16","07 a 16","07 a 12","00 a 00"
"8","08078","ATLANTICO","BARANOA","0807800479","JOAQUIN ANTONIO GONZALEZ PERTUZ","0807800479","1","JOAQUIN ANTONIO GONZALEZ PERTUZ","SIN DATO","URBANA","CALLE 19 Nº 19-02","SIN DATO","SIN DATO","SIN DATO","8788420","SIN DATO","SIN DATO","72220586","0","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","NO","N/A","SIN DATO","SI","SI","1","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO","SIN DATO"
"8","08078","ATLANTICO","BARANOA","0807800593","MARITZA MARGARITA OLMOS JIMENEZ","0807800593","1","MARITZA MARGARITA OLMOS JIMENEZ","SIN DATO","URBANA","CALLE 20 # 18 41","CENTRO","8078000","BARANOA","8788201","SIN DATO","MARIOLMOSJ@HOTMAIL.COM","32831362","3","NATURAL","1","PRIVADA","2","PROFESIONAL INDEPENDIENTE","N/A","N/A","SIN DATO","SI","SI","1","08 a 19","08 a 19","08 a 19","08 a 19","08 a 19","00 a 00","00 a 00"
