"coddanemunicipio","municipio","codigohabilitacion","nombredelprestador","clasedeprestador","direccion","telefono","email"
"´001","MOCOA","8600100204","LILIAN DEYANIRA ESTRADA SOLARTE","LILIAN DEYANIRA ESTRADA SOLARTE","Profesional Independiente","CARRERA 4 No.7-06","JOSE MARIA HERNANDEZ"
"320","ORITO","8632000213","YANIRE MARTINEZ BASTIDAS","YANIRE MARTINEZ BASTIDAS","Profesional Independiente","calle 8 No 12 A 37","MARCO FIDEL SUAREZ"
"320","ORITO","8632000357","GILMA ALEJANDRA DELGADO DIAZ","GILMA ALEJANDRA DELGADO DIAZ","Profesional Independiente","DG 8 N° 6 - 201 B/ CHAPINERO",
"320","ORITO","8656800202","CLINICA DE LA AMAZONIA IPS LTDA","CLINICA DE LA AMAZONIA IPS LTDA AGENCIA ORITO","Instituciones - IPS","DIAGONAL 8 No. 5 A 36 A","VERGEL"
"568","PUERTO ASÍS","8656800294","MARCO ANTONIO INFANTE VILLARRAGA","Marco Antonio Infante Villarraga","Profesional Independiente","CALLE 10 No. 25 - 18","EL CARMEN"
"320","ORITO","8632000369","RAYOS X CATILP SAS","RAYOS X CATILP SAS","Instituciones - IPS","BARRIO MARCO FIDEL SAUREZ LO 3 151 C","MARCO FIDEL SUAREZ"
"749","SIBUNDOY","8674900684","LEYDI PAOLA DIAZ TISOY","LEYDI PAOLA DIAZ TISOY","Profesional Independiente","CARRERA 15 NUMERO 16 - 66","CENTRAL"
"865","VALLE DEL GUAMUEZ","8686500768","diego fernando medina morales","diego fernando medina morales","Profesional Independiente","carrera 6 # 6 - 31","LA AMISTAD"
"´001","MOCOA","8600100764","PROFESIONALES EN INSTRUMENTOS PARA LA SALUD Y MEDICINA HUMANA APLICADAS S.A.S PRISMHA S.A.S.","PROFESIONALES EN INSTRUMENTOS PARA LA SALUD Y MEDICINA HUMANA APLICADAS S.A.S PRISMHA S.A.S","Instituciones - IPS","CRA 9 N. 16 - 75","AV. COLOMBIA"
"´001","MOCOA","8600100688","TEOFILO HERNANDO QUIÑONES JIMENEZ","TEOFILO HERNANDO QUIÑONES JIMENEZ","Profesional Independiente","AVENIDA SAN FRANCISCO CALLE 14 15_02","OBRERO II ETAPA"
"320","ORITO","8632000587","acsalud ips sas","ACSALUD IPS SAS","Instituciones - IPS","Calle 5 CA 252","BARRIO UNION"
