"dm_institucion_cod_institucion","nombre","ccb_nit_inst","orden","suborden","nivel_institucion","clasificacion_organica","sector","naturaleza_juridica","tipo_institucion","idmunicipio","municipio","iddepartamento","departamento","direccion","fax","email","ccb_telefono","ccb_pagina_web","longitud","latitud","estado_ins","nombre_representante","cargo_representante"
"4018","EMPRESA DE SERVICIOS PUBLICOS DE SAN ANTERO","812004974","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","672","SAN ANTERO","23","Córdoba","Cra. 14 No. 12B-45 Barrio de la Cruz, San Antero (Córdoba)","094-8110629","acuesan@hotmail.com","094-8110629","NO DISPONIBLE","-75.758517","9.374642","Activa","NULL","NULL"
"1492","CONCEJO DE BARANOA","800253849-3","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","078","BARANOA","08","Atlántico","Carrera 19 # 16 A 16 Baranoa","NULL","concejo@baranoa-atlantico.gov.co","8789212","NO DISPONIBLE","-74.915036","10.796589","Activa","NULL","NULL"
"2855","HOSPITAL SAN JOSE DE MARULANDA","890805260","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","446","MARULANDA","17","Caldas","CARRERA 5 Nº 8 - 56","096-8826402","hosajoma@hotmail.com","3206711245","NO DISPONIBLE","-75.259705","5.284386","Activa","NULL","NULL"
"1997","CONCEJO DE SAN MARTIN -- SAN MARTÍN, CESAR","824001933","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","770","SAN MARTÍN","20","Cesar","Carrera 7 Nº13-56","NULL","claudiapaz18@hotmail.com","3175214962","NO DISPONIBLE","-73.512792","8.004107","Activa","NULL","NULL"
"0920","ALCALDÍA DE PUERTO CAICEDO","800229887","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","569","PUERTO CAICEDO","86","Putumayo","Centro Administrativo Municipal, Ubicado en el Barrio La Esperanza, Manzana N° 046 sobre la calle 10, entre transversal 6 y carrera 1A","(8)+4274138","alcaldia@puertocaicedo-putumayo.gov.co","(8)+4274138","http://www.puertocaicedo-putumayo.gov.co","-76.604072","0.684374","Activa","NULL","NULL"
"1604","CONCEJO DE CAROLINA DEL PRINCIPE","890984068","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","150","CAROLINA","05","Antioquia","Carrera 50 Nº49-050 2º piso","094-8634259","concejo@carolinadelprincipe-antioquia.gov.co","8634258","NO DISPONIBLE","-75.282299","6.724917","Activa","NULL","NULL"
"1213","ALCALDÍA DE TURBACO","890481149","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","836","TURBACO","13","Bolívar","Plaza Principal av Mexico  #  17 - 804","091-6555289","contactenos@turbaco-bolivar.gov.co
alcaldiaturbaco@yahoo.es","(5) 6436408","http://www.turbaco-bolivar.gov.co","-75.412672","10.334638","Activa","NULL","NULL"
"2564","CONCEJO DE TIMBIQUI","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","809","TIMBIQUÍ","19","Cauca","Cra. 2 # 3- 16 B/ la Cabecera","NULL","controlinterno@timbiqui-cauca.gov.co","(57+2) 840305","http://timbiqui-cauca.gov.co/concejo.shtml","-77.667606","2.777744","Activa","NULL","NULL"
"0579","ALCALDÍA DE FLORENCIA - CAQUETÁ","800095728","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","001","FLORENCIA","18","Caquetá","Carrera 12 Calle 15 esquina","4366494","alcaldia@florencia-caqueta.gov.co","4366494","http://www.florencia-caqueta.gov.co","-75.604236","1.615386","Activa","NULL","NULL"
"1014","ALCALDÍA DE SAN CARLOS - ANTIOQUIA","890983740  -9","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","649","SAN CARLOS","05","Antioquia","CALLE 19 # 18 - 71","094-8358090,125","alcaldia@sancarlos-antioquia.gov.co","835 80 90 Ext. 121","http://www.sancarlos-antioquia.gov.co","-74.993227","6.187979","Activa","NULL","NULL"
