"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangovalorbeneficioconsolidadoasignado","rangovalorultimobeneficioasignado"
"1","1","1","05","05001","ND","NO","ACTIVO","ND","ND","2016-02-01","2015-01-01","Mujer","ND","ANTIOQUIA","MEDELLIN","ND","30-49","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","6","1","13","13001","ND","NO","NO ACTIVO","ND","ND","2017-10-01","2018-01-01","Mujer","ND","BOLIVAR","CARTAGENA","Colombia","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","3","1","13","13001","H-HOMBRE","NO","NO ACTIVO","SO","ND","2017-10-01","2018-01-01","Hombre","ND","BOLIVAR","CARTAGENA","COLOMBIA","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","AMBAS CONDICIONES","0 - 1.500.000","0 - 1.300.000"
"4","10","1","11","11001","ND","NO","ACTIVO","Sin Información","ND","2018-02-01","2018-01-01","Mujer","ND","BOGOTA","BOGOTA D.C.","ND","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","1","1","08","08001","ND","ND","ACTIVO","ND","ND","2016-08-01","2015-01-01","Hombre","ND","ATLANTICO","BARRANQUILLA","COLOMBIA",">65","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","VULNERABLE","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","4","1","25","25754","ND","NO","ACTIVO","ND","ND","2017-11-01","2018-01-01","Hombre","ND","CUNDINAMARCA","SOACHA","ND","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","5","1","76","76109","ND","NO","ACTIVO","ND","AFROCOLOMBIANO – NEGRO","2017-12-01","2018-01-01","Mujer","ND","VALLE","BUENAVENTURA","Colombia","30-49","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","AMBAS CONDICIONES","0 - 1.500.000","0 - 1.300.000"
"1","11","1","08","08001","ND","NO","NO ACTIVO","ND","ND","2017-12-01","2018-01-01","Mujer","ND","ATLANTICO","BARRANQUILLA","Colombia","30-49","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","1","1","86","86001","ND","NO","NO ACTIVO","SO","ND","2016-02-01","2015-01-01","Hombre","ND","PUTUMAYO","MOCOA","COLOMBIA","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","3","1","11","11001","H-HOMBRE","NO","ACTIVO","ND","ND","2016-05-01","2017-01-01","Hombre","ND","BOGOTA","BOGOTA D.C.","COLOMBIA","18-29","GESTION PARA EL EMPLEO EFECTIVO","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
