"nombres_de_los","tipo_de_actividad","direccion","telefono"
"JYJ URIBE M.I","TIENDA","CLLE 4 N° 8-54 BARRIO EL JARDIN","3138341419"
"PELUQUERI ANGELITA","SALON DE BELLEZA","CALLE 5N° 8-27 BARRIO CENTRO","3102440879"
"ALMACEN SEGURA","VIVERES , ABARROTES,LICORERA Y FERRETERIA","CLLE 5 N° 8-57 BARRIO CENTRO","3128009537"
"KYN CORRESPONSAL","CORRESPONSAL BANCARIO Y CACHARRERIA","BARRIO CENTRO","3142886424"
"RESTAURANTE BRISAS DEL DUDA","VENTA DE ALIMENTOS A LA MESA","CRA10 CALLE 5 BARRIO CENTRO","3103211422"
"EL GRAN SURTIDOR","VENTA DE VIVERES","CLLE 8 N°5-54 BARRIO CENTRO","3144587780"
"ALMACEN Y BODEGA EPIMON","VENTA DE VIVERES Y ABARROTES","CRA 5 N°7-11 BARRIO CENTRO","3212090986"
"CONSUERTE","JUEGOS DE AZAR Y APUESTAS","CLLE 5 N° 6-45 BARRIO CENTRO","3212258803"
"SERVIDROGAS ARCOIRIS","FARMACEUTICA","CLLE 5N°7-41 BARRIO CENTRO","3124108686"
"MINIMARKET NAOMY JC","VIVERES Y ABARROTES","CLLE 5N°7-41 BARRIO CENTRO","3144841244"
"ALMACEN Y CACHARRERIA CORDOBA","CACHARRERIA","CLLE 5 N°7-25 BARRIO CENTRO","3143083060"
"INTERRAPIDISIMO","GIROS Y ENVIOS DE ENCOMIENDAS","CLLE 5N°7-41 BARRIO CENTRO","3134012759"
"TALLER DE MOTOS Y REPUESTOS FRANLY O.","TALLER DE MOTOS Y REPUESTOS","CRA 6 ENTRE C6 MZX 18 5","3213397740"
"REMATES MAFLA","ALMACEN DE ROPA","CLLE 5N°7-53 BARRIO CENTRO","3103247853"
"CACHARRERIA EL RESALTADO","CACHARRETIA","CLLE 5 N°7-36 BARRIO CENTRO","3212160926"
"ANGELY SOLUCIONES","PAPELERIA Y CORRESPONSAL","CLLE 5 CON CARRERA 7MA ESQUINA","3208838689"
"HOTEL COPETE","HOTELERO","CARRERA 9 N° 4-80 BARRIO CENTRO","3133840499"
"CONSULTORIO ODONTOLOGICO","CONSULTORIO ODONTOLOGICO","CARRERA 7N° 5-64 BARRIO CENTRO","3213141513"
"VARIEDADES CASA DE VERANO","MISELANEA Y PAPELERIA","CALLE 5N° 8-22 BARRIO CENTRO","3142139789"
"RESSTAURANTE LA MORENITA","RESTAURANTE","CALLE 6 BARRIO CENTRO","3132858173"
"ELECTRO MUEBLES EL UNICO","VENTA DE ELECTRODOMESTICOS","CALLE 5N° 9-40 CENTOR","3133505774"
"DEPOSITO SEBASTIAN","VENTA DE BEBIDAS","CALLE 5 N° 9-25 BARRIO CENTRO","3234842902"
"ANTOJOS GOURMET","VENTA D ECOMIDAS RAPIDAS","CALLE 4 N° 7-30 BARRIO CENTRO","3212266831"
"TIENDA EL NEVADO","TIENDA Y CARNICERIA","CALLE N6 N°2-26 BARRIO INDUSTRIAL","3208188429"
"TIENDA PATIÑO","COMERCIAL TIENDA","CALLE 3 N°9-50","3147112013"
"MERCAPLAZA DE URIBE META","VENTA DE ABARROTES Y VIVERES","CARRERA 8 N° 6-19 BARRIO LA ESPERANZA","3203043859"
"RESTAURANTE LA TRUCHA","EXPENDIO DE COMIDAS","CALLE 5N°8-36 BARRIO CENTRO","3202354936"
"RELOJERIA Y SERVICIO TECNICO","RELOJERIA Y SETVICIO TECNICO","CALLE 6 N°8-38 BARRIO LA ESPERANZA","3143602230"
"DISTRIBUIDORA DE CARNES LA FAMILIA","VENTA DE CARNICOS","CALLE 5 N°9-30 BARRIO CENTRO","3103012078"
"TALLER Y ALMACEN MOTOS MORA","COMERCIO Y VENTA DE ACCESORIOS DE MOTOS","CALLE 5N°7-48 BARRIO CENTRO","3213897050"
"VARIEDADES LA ECONOMIA","COMERCIANTE","CRA9 N° 4-33 BARRIO CENTRO","3124061394"
"DISTRICARNES LA TERNERA DEL LLANO","VENTA DE CARNICOS","CRA 9 N°4-28 BARRIO CENTRO","3223619821"
"RESTAURANTE Y RESIDENCIAS EL AMIGO","ALIMENTOS Y HOSPEDAJE","CALLE 5 N°9-30 BARRIO CENTRO","3112738843"
"TIENDA EL JARDIN DE URIBE","TIENDA DE VIVERES Y VERDURAS","CRA 8 N° 5-36 BARRIO CENTRO","3107756930"
"BICIMOTOS ATUESTA","TALLER DE MOTOS Y REPUESTOS","CRA 8 N° 5-40 BARRIO CENTRO","3219181265"
"NAILS LOVE","SALON DE BELLEZA","CALLE 4 N°7-58 BARRIO JARDIN","3202037906"
"HOTEL LA CASCADA M.M","HOSPEDAJE","CRA 9 N°5- 46 BARRIO LA ESPERANZA","3138869460"
"HOTEL EL POTRILLO","HOSPEDAJE","CRA 7 N°4-52 BARRIO CENTRO","3213216863"
"RESTAURANTE LOS TRONCOS","VENTA DE ALIMENTOS","CALLE 5 N°6-04 BARRIO CENTRO","3213773307"
"PANADERIA MADEIROS","VENTA DE ALIMENTOS PANIFICADORA","CALLE 5 N°6-10 BARIO CENTRO","3213773307"
"RESTAURANTE MADEIROS","VENTA DE ALIMENTOS PREPARADOS A LA MESA","CALLE 5 N° 8-33 BARRIO CENTRO","3213773307"
"ANDY EXPRES","PANADERIA Y COMIRAPIDAS","MZ 25 CALLE 5 N°7 BARRIO CENTRO","3143988108"
"ESTILOS Y BELLEZA NIYIBETH","SALON DE BELLEZA","CARRERA 9 N° 4-80 BARRIO CENTRO","3124618090"
"EMPANADAS LA PAISA","VENTA DE ALIMENTOS","CARRERA 8N° 5-29 BARRIO LA ESPERANZA","3219206204"
"TECNISERVICIOS NARANJO","REPRACION Y MANTENIMIENTO DE ELECTRODOMESTICO","CRA 8 N° 4-29 BARRIO JARDIN","3212255311"
"MAX PHONE C.F","COMERCIO AL POR MAYOR DE EQUIPOS DE COMPUTO Y MOBILES","CALLE 4 N° 8-42 BARRIO JARDIN","3128408423"
"COMIRAPIDAS LEIDY TORRES","VENTA DE ALIMENTOS","CARRERA 7 N°4-53 BARRIO CENTRO","3144690350"
"SURTITODO","PAPELERIA Y DROGUERIA","CARRERA 9 N° 4-80 BARRIO CENTRO","3204214501"
"FERRETERIA EL GEMELO E.B","COMERCIANTE FERRETERIA","CARRERA 9 N°14 BARRIO EL JARDIN","3214397227"
"CAFETERIA E INTERNET EL AJEDREZ","CAFETERIA","CALLE 5 N°7-02","3106188916"
"ALMACEN Y DEPOSITO RUBIO","OMERCIO PARA ARTICULOS PARA EL HOGAR","CALLE 5 N°7-40 BARRIO CENTRO","3134958702"
"ELECTRODOMESTICOS LOREN","VENTA DE ELCTRODOMESTICOS","CALLE 5 N°9-48 BARRIO CENTRO","3142212793"
"HOTEL URIBE PLAZA","HOTELERIA","CALLE 5 N°9-58 BARRIO CENTRO","3212089488"
"CONFECCIONES CHARITH","MODISTERIA","CARRERA 7 N°5-66 BARRIO LA ESPERANZA","3204246290"
"Y&M MOVIL","VENTA DE ACCESORIOS Y CELULARES","BARRIO CENTRO","3127580766"
"PRODUCTOS DE ASEO","COMERCIANTE","BARRIO CENTRO","3118846272"
"HELEN TIENDA","VENTA DE DULCERIA","CRA 6 MZ 2 CASA 26 BARRIO BOSQUES DEL DUDA","3105684821"
"GRANIZADOS Y COMIDAS RAPIDAS ALEJO","VENTA DE COMIDAS RAPIDAS","CARRERA 8 N°5-52 BARIO LA ESPERANZA","3143101854"
"CREARTES CAFÉ","CAFETERIA","CALLE 6 CARRERA 6 ESQUINA BARRIO CENTRO","3103181814"
"DISTRIURIBE LA QUINTA","COMERCIANTE","CALLE 5 N°8-43 BARRIO CENTRO","3229547804"
"VETERINARIA EL PADROTE","VENTA DE PRODUCTOS AGRICOLAS","CALLE 5 N° 9-40 BARRIO CENTRO","3102704265"
"LUBRITORNILLOS J.C","VENTA DE REPUESTOS PARA VEHICULOS AUTOMOTORES","CARRERA 8 N°6-18 BARRIO","3103705320"
"JHON COMUNICACIONES","TELECOMUNICACIONES","CALLE 5 - 19 BARRIO CENTRO","3112816313"
"EL CHUZO","COMIRAPIDAS","CRA 5 N°3-5 LA HUMATA B INDUSTRIAL","3204635631"
