"a_o","cod_dane_departamento","departamento","cod_secretaria","secretaria","cod_dane_municipio","municipio","codigo_dane","nombre_establecimiento","cod_sector","sector","cod_caracter","caracter","cod_calendario","calendario","direccion","barrio_vereda","telefono","fax","email","rector","web","total_matricula","cantidad_sedes"
"2019","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000121","INSTITUCIÓN EDUCATIVA LICEO PANAMERICANO","1002","NO_OFICIAL","817",,"52","A","CL 38 10 10","INST. EDUC.SALIDA A COROZAL KM1","2742397-2743207","2754033","lipancampestre@hotmail.com","ARTURO MANUEL SEBA RODRIGUEZ","lipanprimaria@hotmail.com","1108","1"
"2021","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000121","INSTITUCIÓN EDUCATIVA LICEO PANAMERICANO","807","NO OFICIAL","817.000000",,"874","A","CL 38 10 10","INST. EDUC.SALIDA A COROZAL KM1","2742397-2743207","2754033","lipancampestre@hotmail.com","ARTURO MANUEL SEBA RODRIGUEZ","lipanprimaria@hotmail.com","1073","1"
"2020","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000121","INSTITUCIÓN EDUCATIVA LICEO PANAMERICANO","1002","NO_OFICIAL","817",,"52","A","CL 38 10 10","INST. EDUC.SALIDA A COROZAL KM1","2742397-2743207","2754033","lipancampestre@hotmail.com","ARTURO MANUEL SEBA RODRIGUEZ","lipanprimaria@hotmail.com","1091","1"
"2018","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000121","LICEO PANAMERICANO","1002","NO_OFICIAL","817",,"52","A","CL 38 10 10","INST. EDUC.SALIDA A COROZAL KM1","2742397-2743207","2754033","lipancampestre@hotmail.com","ARTURO MANUEL SEBA RODRIGUEZ","lipanprimaria@hotmail.com","1139","1"
"2019","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000252","CENTRO EDUCATIVO PEPE GRILLO","1002","NO_OFICIAL","963",,"52","A","CL 24 25 A 41 <EOF>","PALERMO","2804398",,"centroeducativopepegrillo@outlook.com","ROSMERY DE JESUS BERTEL OVIEDO",,"163","1"
"2021","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000252","CENTRO EDUCATIVO PEPE GRILLO","807","NO OFICIAL","963.000000",,"874","A","CL 24 25 A 41 <EOF>","PALERMO","2804398",,"centroeducativopepegrillo@outlook.com","ROSMERY DE JESUS BERTEL OVIEDO",,"109","1"
"2020","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000252","CENTRO EDUCATIVO PEPE GRILLO","1002","NO_OFICIAL","963",,"52","A","CL 24 25 A 41 <EOF>","PALERMO","2804398",,"centroeducativopepegrillo@outlook.com","ROSMERY DE JESUS BERTEL OVIEDO",,"142","1"
"2018","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000252","CENTRO EDUCATIVO PEPE GRILLO","1002","NO_OFICIAL","963",,"52","A","CL 24 25 A 41 <EOF>","PALERMO","2804398",,"centroeducativopepegrillo@outlook.com","ROSMERY DE JESUS BERTEL OVIEDO",,"149","1"
"2019","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000309","CENTRO EDUCATIVO MIS PRIMERAS ILUSIONES","1002","NO_OFICIAL","963",,"52","A","CL 31 6 A 37 <EOF>","GAITAN","2741549 - 3012994410",,"paolatamarademoya@gmail.com","PAOLA LUCIA TAMARA DEMOYA",,"198","1"
"2021","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000309","CENTRO EDUCATIVO MIS PRIMERAS ILUSIONES","807","NO OFICIAL","963.000000",,"874","A","CL 31 6 A 37 <EOF>","GAITAN","2741549 - 3012994410",,"paolatamarademoya@gmail.com","PAOLA LUCIA TAMARA DEMOYA",,"139","1"
"2020","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000309","CENTRO EDUCATIVO MIS PRIMERAS ILUSIONES","1002","NO_OFICIAL","963",,"52","A","CL 31 6 A 37 <EOF>","GAITAN","2741549 - 3012994410",,"paolatamarademoya@gmail.com","PAOLA LUCIA TAMARA DEMOYA",,"204","1"
"2018","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001000309","CENTRO EDUCATIVO MIS PRIMERAS ILUSIONES","1002","NO_OFICIAL","963",,"52","A","CL 31 6 A 37 <EOF>","GAITAN","2741549 - 3012994410",,"paolatamarademoya@gmail.com","PAOLA LUCIA TAMARA DEMOYA",,"241","1"
"2019","70","SUCRE","3814","SINCELEJO","70001","SINCELEJO","170001003375","INSTITUCIÓN EDUCATIVA LICEO DEL CARIBE","1002","NO_OFICIAL","817",,"52","A","KR 19 36 25","ZUMBADO","278 52 37",,"licecar2008@yahoo.es","ALBA MARINA ORTEGA CRUZ",,"129","1"
