"pa_s","codigo_dane2","estado","actividad_economica","numero_ocupados","participacion_ocupados","variacion","a_o"
"Colombia","63","Quindío","Actividades inmobiliarias","15782","0.076","0.0","2008"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","31236","0.151","0.0","2008"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","64381","0.31","0.0","2008"
"Colombia","63","Quindío","Construcción","10238","0.049","0.0","2008"
"Colombia","63","Quindío","Electricidad, gas y agua","1342","0.006","0.0","2008"
"Colombia","63","Quindío","Explotación de minas y canteras","418","0.002","0.0","2008"
"Colombia","63","Quindío","Industria manufacturera","18514","0.089","0.0","2008"
"Colombia","63","Quindío","Intermediación financiera","2121","0.01","0.0","2008"
"Colombia","63","Quindío","No informa","1182","0.006","0.0","2008"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","45870","0.221","0.0","2008"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","16344","0.079","0.0","2008"
"Colombia","63","Quindío","Actividades inmobiliarias","15518","0.077","-0.017","2009"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","32137","0.16","0.029","2009"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","61897","0.308","-0.039","2009"
"Colombia","63","Quindío","Construcción","9682","0.048","-0.054","2009"
"Colombia","63","Quindío","Electricidad, gas y agua","1094","0.005","-0.185","2009"
"Colombia","63","Quindío","Explotación de minas y canteras","351","0.002","-0.16","2009"
"Colombia","63","Quindío","Industria manufacturera","17562","0.087","-0.051","2009"
"Colombia","63","Quindío","Intermediación financiera","2103","0.01","-0.008","2009"
"Colombia","63","Quindío","No informa","401","0.002","-0.661","2009"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","44116","0.219","-0.038","2009"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","16338","0.081","0.0","2009"
"Colombia","63","Quindío","Actividades inmobiliarias","15805","0.074","0.018","2010"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","33345","0.155","0.038","2010"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","65720","0.306","0.062","2010"
"Colombia","63","Quindío","Construcción","12074","0.056","0.247","2010"
"Colombia","63","Quindío","Electricidad, gas y agua","1499","0.007","0.37","2010"
"Colombia","63","Quindío","Explotación de minas y canteras","95","0.0","-0.729","2010"
"Colombia","63","Quindío","Industria manufacturera","19453","0.091","0.108","2010"
"Colombia","63","Quindío","Intermediación financiera","2374","0.011","0.129","2010"
"Colombia","63","Quindío","No informa","177","0.001","-0.559","2010"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","46377","0.216","0.051","2010"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","17616","0.082","0.078","2010"
"Colombia","63","Quindío","Actividades inmobiliarias","18065","0.081","0.143","2011"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","36781","0.165","0.103","2011"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","69320","0.311","0.055","2011"
"Colombia","63","Quindío","Construcción","12246","0.055","0.014","2011"
"Colombia","63","Quindío","Electricidad, gas y agua","1591","0.007","0.061","2011"
"Colombia","63","Quindío","Explotación de minas y canteras","551","0.002","4.8","2011"
"Colombia","63","Quindío","Industria manufacturera","22389","0.1","0.151","2011"
"Colombia","63","Quindío","Intermediación financiera","2040","0.009","-0.141","2011"
"Colombia","63","Quindío","No informa","39","0.0","-0.78","2011"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","42873","0.192","-0.076","2011"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","17057","0.077","-0.032","2011"
