"pa_s","_2013","_2014","_2015","_2016","_2017","_2018","_2019","_2020","total"
"AFRICA","0","0","0","0","0","0","0","0","0"
"ALEMANIA","0","0","0","0","1","0","1","0","3"
"ARGELIA","1","0","0","0","0","0","0","0","1"
"ARGENTINA","17","9","5","4","3","2","1","1","43"
"ASIA","0","0","0","0","0","0","0","0","0"
"AUSTRALIA","0","0","0","0","0","0","0","0","0"
"BAHAMAS","0","0","6","0","0","0","1","0","8"
"BAHREIN","0","0","0","0","0","0","1","0","1"
"BOLIVIA","0","0","2","0","0","0","1","0","3"
"BOSNIA","1","0","0","0","0","0","0","0","1"
"BRASIL","0","0","1","2","1","0","5","0","12"
"CAMBOYA","0","0","0","0","0","0","0","0","0"
"CANADA","0","0","0","0","0","0","0","0","0"
"CHILE","0","0","0","3","2","0","1","3","13"
"CHINA","11","3","21","13","12","8","5","1","74"
"COLOMBIA","0","0","4","5","6","15","11","41","135"
"COREA DEL NORTE","0","0","0","0","0","0","0","0","0"
"COREA DEL SUR","1","5","0","2","3","0","8","0","19"
"COSTA RICA","0","2","0","2","0","0","0","0","4"
"CURAZAO","0","1","0","0","0","1","0","0","2"
"DUBAI","0","0","0","0","0","0","0","0","0"
"ECUADOR","9","9","5","6","3","2","0","6","50"
"ESTADOS UNIDOS","0","1","3","0","1","1","1","2","10"
"EMIRATOS ARABES UNIDOS","0","0","1","1","0","0","1","1","4"
"ESPAÑA","2","0","1","1","8","6","12","15","49"
"FILIPINAS","0","0","0","0","0","1","0","0","1"
"FRANCIA","0","0","0","0","0","2","0","0","3"
"GRAN BRETAÑA","0","0","0","0","0","0","0","0","2"
"GUATEMALA","2","0","0","0","1","0","1","0","5"
"GUINEA","0","0","0","0","0","0","0","0","0"
"GUYANA","0","0","0","0","0","0","0","0","0"
"HAITI","0","0","2","0","0","0","0","0","2"
"HOLANDA","0","0","0","0","0","1","0","0","1"
"HONDURAS","0","1","1","0","1","0","0","0","3"
"HUNGRIA","0","0","0","0","0","0","1","0","1"
"INDIA","0","0","0","0","0","5","0","0","5"
"INDONESIA","3","5","0","0","0","0","0","0","8"
"IRAN","0","0","0","0","1","0","0","0","1"
"ISRAEL","0","0","0","1","0","0","1","0","2"
"ITALIA","0","0","0","0","1","4","0","3","8"
"JAPON","0","0","2","0","0","0","0","0","2"
"JAMAICA","0","0","0","0","0","0","0","0","3"
"JORDANIA","0","0","0","0","0","0","0","0","0"
"KOREA","0","0","0","0","0","0","0","0","0"
"MALASIA","0","0","1","0","0","0","0","0","1"
"MÉXICO","2","12","3","5","21","8","7","2","78"
"NICARAGUA","0","0","0","1","0","0","0","0","1"
"NORUEGA","0","0","0","0","1","1","0","0","2"
"OMÁN","0","0","0","0","0","0","0","2","2"
"PAISES BAJOS","0","0","0","0","0","0","0","1","1"
"PANAMA","3","1","2","3","5","1","4","2","31"
"PARAGUAY","0","4","0","1","0","0","0","0","5"
"PERU","1","3","3","5","5","2","4","0","34"
"POLONIA","0","0","0","0","0","0","0","1","3"
"QATAR","0","0","0","0","0","20","2","0","22"
"REPÚBLICA DOMINICANA","0","0","4","7","0","0","3","0","14"
"RUMANÍA","0","0","0","0","0","0","0","1","1"
"RUSIA","0","0","1","0","0","0","0","0","1"
"SALVADOR","0","0","0","0","0","0","0","0","0"
"SINGAPUR","1","0","0","0","0","2","0","0","3"
"SUECIA","0","0","0","0","0","0","0","0","0"
"SUIZA","0","0","0","1","0","1","0","2","4"
"THAILANDIA","0","0","1","0","0","1","1","0","3"
"TRINIDAD Y TOBAGO","5","1","0","0","0","0","0","1","7"
"TUNEZ","2","0","0","0","0","0","0","0","2"
"TURQUÍA","0","0","0","0","2","0","1","0","5"
"URUGUAY","0","0","0","0","0","0","1","0","1"
"VENEZUELA","0","0","3","1","1","2","1","0","11"
"INFO RESERVADA","0","0","0","0","0","2","0","0","2"
"NO REGISTRA","0","0","1","0","0","0","0","0","14"
"TOTAL","61","57","73","64","79","88","76","85","727"
