"a_o","nombredepartamento","nombremunicipio","codigoestablecimiento","nombreestablecimiento","zona","direccion","telefono","codigo_etc","tipo_establecimiento","etnias","sector","genero","niveles","jornada","caracter","especialidad","grados","modelos_educativos","modelos","discapacidades","idiomas","numero_de_sedes","estado","prestador_de_servicio","propiedad_planta_fisica","resguardo","matricula_contratada","calendario","internado","estrato_socio_economico","correo_electronico"
"2016","SANTANDER","AGUADA","168013000016","COLEGIO INTEGRADO ROEL Y VELASCO","RURAL,URBANA","CALLE 3 NO. 1-33 CASCO URBANO","0977565537-3102643925","EDGAR AUGUSTO SERRANO CADENA","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA,NOCTURNA,FIN DE SEMANA",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,21,23,24","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM",,,,"9",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"cirve2005@yahoo.com"
"2016","SANTANDER","AGUADA","468013000019","INSTITUTO DE EDUCACION RURAL SANTA MARIA DEL CAMINO","URBANA","KR 2 3 25","3143885528","PBRO JUAN PABLO CASTAÑEDA DIAZ","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","23,24,25,26","SAT",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","SI","A",,,"castadiazjuanpablo@hotmail.com"
"2016","SANTANDER","ALBANIA","268020000531","COLEGIO RAFAEL URIBE URIBE","RURAL","CORREGIMIENTO LA MESA","3167575619","JAIME IVAN OSORIO PEREIRA","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL",,,,"9",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"jaivospe@yahoo.es"
"2016","SANTANDER","ALBANIA","268020000492","INSTITUTO INTEGRADO DE COMERCIO EL HATILLO","RURAL","CORREGIMIENTO EL HATILLO","3103305481-3123206483","ALEX MARTIN  JAIMES MONSALVE","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,FIN DE SEMANA",,"OTRO,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,23,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM",,,,"9",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"instecnicohatillo@hotmail.com"
"2016","SANTANDER","ALBANIA","168020000374","COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE JESUS","RURAL,URBANA","CASCO URBANO","3144513768-3112651962","JUAN ARMANDO BARRERA ESTUPI¿AN","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA,FIN DE SEMANA",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24","ESCUELA NUEVA,A CRECER,EDUCACIÓN TRADICIONAL,CAFAM",,,,"9",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"colsagraco7@hotmail.com"
"2016","SANTANDER","ALBANIA","468020000018","INSTITUTO DE EDUCACION RURAL SANTA MARIA DEL CAMINO ","URBANA","KR 2 3 25","3143885528","PBRO JUAN PABLO CASTAÑEDA DIAZ","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","23,24,25,26","SAT",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","SI","A",,,"castadiazjuanpablo@hotmail.com"
"2016","SANTANDER","ARATOCA","468051000527","INSTITUTO TECNICO PARA EL DESARROLLO RURAL IDEAR                                                  ","RURAL","CENTRO","7242543","PBRO. LUIS ALBERTO RIVERA HERNANDEZ","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA","COMPLETA",,"ACADÉMICA","23,24,25,26","SAT",,,"HEBREO","1",,"FUNDACION O CORPORACIONES","FUNDACION O CORPORACIONES","NO APLICA","SI","A",,,"idearsangil@gmail.com"
"2016","SANTANDER","ARATOCA","168051000224","COLEGIO SAN LUIS","RURAL","AVENIDA EL RAMAL","3133956045","EDINSON ADARME JAIMES","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM",,,,"2",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"colegioaratoca@hotmail.com"
"2016","SANTANDER","ARATOCA","268051000172","INSTITUCION EDUCATIVA  EL PORTICO","RURAL","VEREDA SAN PEDRO - SECTOR CHIFLAS","3125923231-3158319455","FERNANDO FIGUEREDO GARZON","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","POST PRIMARIA,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM",,,,"15",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"centroportico@gmail.com"
"2016","SANTANDER","ARATOCA","268051000105","I.E. CLAVELLINAS","RURAL","VEREDA CLAVELLINAS","3124732031","GERMAN HUMBERTO HIGUERA SALAZAR","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE,FIN DE SEMANA",,"ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,POST PRIMARIA,MEDIA RURAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CAFAM,MODALIDAD VIRTUAL ASISTIDA UCN",,,,"9",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"ghiguera70@hotmail.com"
