"municipio","codigo_prestador","razon_social","codigo_habilitacion","codigo_municipio","nombre_de_sede","gerente","zona","direccion","barrio","telefono","fax","email","fecha_apertura","nit","dv","ese","nivel","caracter","sede_principal","horario_lunes","horario_martes","horario_miercoles","horario_jueves","horario_viernes","horario_sabado","horario_domingo"
"ALMEIDA","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1502201084","05","CENTRO DE SALUD DE ALMEIDA","GLORIA YANETH MANRIQUE ABRIL","URBANA","CENTRO",,"3183731143","0","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","NO","07 a 18","07 a 18","07 a 18","07 a 18","07 a 17","00 a 00","00 a 00"
"AQUITANIA","1504700599","ESE SALUD AQUITANIA","1504700599","01","ESE SALUD AQUITANIA","LIDA CONSUELO BERNAL AGUIRRE","URBANA","CL 8 N 7 60","CENTRO","7794136","7794755","eseaquitania@hotmail.es","2006-11-15T00:00:00.000","891855492","2","SI","1","MUNICIPAL","SI","7AM 5PM","7AM 5PM","7AM 5PM","7AM 5PM","7AM 5PM",,
"ARCABUCO","1505100982","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE ARCABUCO","1505100982","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE ARCABUCO","APDELGAFER JIMENEZ TORRES","URBANA","KILOMETRO 1 VIA MONIQUIRA","CENTRO","7360027","7360027","esearcabuco.boy@gmail.com","2006-11-16T00:00:00.000","820003382","7","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","08 a 12","00 a 00"
"BELÉN","1508700498","ESE CENTRO DE SALUD ""NUESTRA SEÑORA DE BELEN""","1508700498","01","ESE CENTRO DE SALUD ""NUESTRA SEÑORA DE BELEN""","NANCY PAOLA ZARATE RINCON","URBANA","KR 6 No 4-19",,"3112026435",,"esesaludbelen498@hotmail.com","2006-10-20T00:00:00.000","826002660","7","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","07 a 12","00 a 00"
"BERBEO","1509000430","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD JUAN FRANCISCO BERBEO","1509000430","01","EMPRESA SOCIAL DEL ESTADO ESE CENTRO DE SALUD JUAN FRANCISCO BERBEO","KAREN ALEJANDRA MARTINEZ BORDA","URBANA","Cll 2 Nº 5-0","Centro","3114526641- 3114526659","0","esejuanfrancisco@berbeo-boyaca.gov.co","2011-09-14T00:00:00.000","820003929","5","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"BETÉITIVA","1509200215","ESE CENTRO DE SALUD BETEITIVA","1509200215","01","CENTRO DE SALUD BETEITIVA","CEIDY LORENA ANGARITA CAMACHO","URBANA","PARQUE PRINCIPAL","CENTRO","3212063515",,"esebeteitiva@gmail.com","2011-09-08T00:00:00.000","826002862","8","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"BOAVITA","1575300332","EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE SOATA","1509700332","03","CENTRO DE SALUD DE BOAVITA","JULIO CESAR PIÑEROS CRUZ","URBANA","CARRERA 7 # 1-50","CENTRO","098-2795080 EXT. 2010 CELULAR 3138925196",,"correspondencia@hospisoata.gov.co","2006-11-16T00:00:00.000","891800611","6","SI","2","DEPARTAMENTAL","NO","07 a 18","07 a 18","07 a 18","07 a 18","07 a 18","00 a 00","00 a 00"
"BOYACÁ","1510400698","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN JOSE","1510400698","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN JOSE","LIGIA MARLEN GONZALEZ TORRES","URBANA","CARRERA 3 # 6-101","CENTRO","3202340821- 3202339579","3202340821- 3202339579","centrodesaludboy@hotmail.com","2011-09-01T00:00:00.000","820003622","1","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","00 a 00","08 a 13"
"BRICEÑO","1510600640","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD BRICEÑO","1510600640","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD BRICEÑO","JULIE IVONNE ORTIZ CASAS","URBANA","CR 4 Nº 3-22","CENTRO","3103464713- 3115976523-3143028175",,"esebricenoboy@hotmail.com","2012-01-11T00:00:00.000","820003787","6","SI","1","MUNICIPAL","SI","07 a 18","07 a 18","07 a 18","07 a 18","07 a 18","00 a 00","00 a 00"
"BUENAVISTA","1510900686","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA ISABEL BUENAVISTA","1510900686","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD BUENAVISTA","EDITH ALEIDA BALLESTEROS PEÑA","URBANA","KR. 3 No. 3-53","CENTRO","3105628168 - 3105628168","3105628168","calidadesebuenavista@gmail.com","2006-11-16T00:00:00.000","820003550","8","SI","1","MUNICIPAL","SI","07 a 16","07 a 16","07 a 16","07 a 16","07 a 16","00 a 00","00 a 00"
"BUSBANZÁ","1575900798","HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO","1511400798","04","UNIDAD BASICA DE ATENCION DEL MUNICIPIO DE BUSBANZA","SHEYLA FANORY CAICEDO RINCON","URBANA","CALLE 4 No 4-39",,"7707405 987726048","7707405 987726048","calidad@hospitalsogamoso.gov.co","2015-06-19T00:00:00.000","891855039","9","SI","2","DEPARTAMENTAL","NO","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"CALDAS","1513100683","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LAS MERCEDES CALDAS","1513100683","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LAS MERCEDES CALDAS","IBETH MILENA PARRA CARO","URBANA","CALLE 4 No 1-39","CENTRO","3134329090",,"esecaldas1@hotmail.com","2011-09-05T00:00:00.000","820003456","3","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","00 a 00","00 a 00"
"CAMPOHERMOSO","1513500344","E.S.E CENTRO DE SALUD CAMPOHERMOSO","1513500344","01","E.S.E CENTRO DE SALUD CAMPOHERMOSO","MYRIAM JANNETH CABARCAS CASTILLO","URBANA","CL 2 3-15","CENTRO","3202315788","3202314561","esecampohermosoboy2019@gmail.com","2006-11-15T00:00:00.000","820003910","6","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","07 a 17","07 a 13","00 a 00","00 a 00"
"CERINZA","1516200710","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD CERINZA","1516200710","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD CERINZA","ELIX YANNETH BAEZ GALVIS","RURAL","Calle 7 No. 7 - 23","CENTRO","3202332713","3202332713","contactenos@esecerinza-boyaca.gov.co","2006-11-16T00:00:00.000","826002641","7","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","00 a 00","00 a 00"
"CHINAVITA","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1517201084","06","CENTRO DE SALUD DE CHINAVITA","GLORIA YANETH MANRIQUE ABRIL","URBANA","CL 3 No. 4-27",,"3158312808","0","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","NO","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","08 a 12","00 a 00"
"CHIQUINQUIRÁ","1500100842","UNIDAD DE POLITICA SOCIAL, SERVICIOS DE SALUD, PSICOLOGIA Y TRABAJO SOCIAL UPTC","1517600842","04","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC - CHIQUINQUIRA","PEDRO ALONSO ISAQUITA PINZON","URBANA","CALLE 14A 2 - 37","SUCRE","7262003 EXTENSION 2702","7260426","pedro.isaquita@uptc.edu.co","2006-11-15T00:00:00.000","891800330","1","NO",,"DEPARTAMENTAL","NO","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6",,
"CHIQUINQUIRÁ","1517600955","EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE CHIQUINQUIRA","1517600955","01","SEDE CENTRO","LUZ MARINA ESTUPIÑAN MERCHAN","URBANA","KRA 13 # 18 - 60","CENTRO","7261152","7266898","hospitalchiquinquira@yahoo.com","2011-09-09T00:00:00.000","820005389","7","SI","2","DEPARTAMENTAL","SI","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"CHIQUINQUIRÁ","1517600955","EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE CHIQUINQUIRA","1517600955","02","SEDE SUCRE","LUZ MARINA ESTUPIÑAN MERCHAN","URBANA","CALLE 16 # 4 - 09","SUCRE","7265127","7265127","hospitalchiquinquira@yahoo.com","2011-09-09T00:00:00.000","820005389","7","SI","2","DEPARTAMENTAL","NO","07 a 19","07 a 19","07 a 19","07 a 19","07 a 19","00 a 00","00 a 00"
"CHÍQUIZA","1523200705","E.S.E CENTRO DE SALUD SAN PEDRO DE IGUAQUE","1523200705","01","e.s.e centro de salud san pedro de iguaque","APDELGAFER JIMENEZ TORRES","URBANA","CENTRO","CENTRO","3128342835","-","esesanpedroiguaque@yahoo.es","2006-11-15T00:00:00.000","820003365","1","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","00 a 00"
"CHISCAS","1524400844","ESE HOSPITAL SAN JOSE DEL COCUY","1518000844","03","CENTRO DE SALUD DE CHISCAS","VILLARREAL DUARTE JUAN FRANCISCO","URBANA","CHISCAS CENTRO","CENTRO","7 890011","7 890011","hospitalelcocuy@hotmail.com","2011-09-15T00:00:00.000","891855719","9","SI","1","MUNICIPAL","NO","07 a 18","07 a 18","07 a 18","07 a 15","07 a 18","00 a 00","00 a 00"
"CHITA","1575300332","EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE SOATA","1518300332","04","CENTRO DE SALUD DE CHITA","JULIO CESAR PIÑEROS CRUZ","URBANA","CL 5 No. 4 Esquina","CENTRO","098-2795080 EXT. 2006 CELULAR 3114452579",,"correspondencia@hospisoata.gov.co","2006-11-16T00:00:00.000","891800611","6","SI","2","DEPARTAMENTAL","NO","8 HORAS","8 HORAS","8 HORAS","8 HORAS","8 HORAS","8 HORAS",
"CHITARAQUE","1518500633","ESE CENTRO DE SALUD DE CHITARAQUE","1518500633","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE CHITARAQUE","JINA MAYERLY RAMOS ESPITIA","URBANA","CR 5 3-15","CENTRO","7290719","7290719","gerencia@esechitaraque.gov.co","2011-09-02T00:00:00.000","820003580","9","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","00 a 00"
"CHIVATÁ","1518700716","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DEL ROSARIO DE CHIVATA","1518700716","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DEL ROSARIO DE CHIVATA","WEIMAR LEONARDO MURTHE DUARTE","URBANA","carrera 3 N 2 78",,"3107972305","3107972305","esechivata2020@gmail.com","2006-11-15T00:00:00.000","820003558","6","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","00 a 00"
"CHIVOR","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1523601084","07","CENTRO DE SALUD DE CHIVOR","GLORIA YANETH MANRIQUE ABRIL","URBANA","CENTRO",,"8-7533131","8-7533131","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","NO","8-12 14-18","8-12 14-18","8-12 14-18","7 A 15",,,
"CIÉNEGA","1518900596","EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD DE CIENEGA","1518900596","01","EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD DE CIENEGA","JULIETH ANGELICA CARO CASALLAS","URBANA","KR 7 No 3-56","CENTRO","314 3359538","(098) 7379072","esecienega@gmail.com","2006-11-15T00:00:00.000","820002468","7","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 16","00 a 00","00 a 00"
"CÓMBITA","1520400600","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE COMBITA","1520400600","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE COMBITA","CARLOS EDUARDO MACHADO JIMENEZ","URBANA","KR 5 1 80","CENTRO","987310017","987310017","csaludcombita@hotmail.es","2006-11-14T00:00:00.000","820003411","2","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","08 a 12","00 a 00"
"COPER","1521200806","E.S.E. CENTRO DE SALUD LUIS LANCHEROS","1521200806","01","E.S.E. CENTRO DE SALUD LUIS LANCHEROS","YADY CECILIA CASTELLANOS GARZON","URBANA","CRA 2 # 4-91","CENTRO","3115898708 - 3115898712-8024901","8024901","esecoper@yahoo.com","2006-11-15T00:00:00.000","820003571","2","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 17","00 a 00","08 a 12"
