"id_proceso","referencia_proceso","id_contrato","codigo_entidad_creadora","nombre_entidad_creadora","as_codigo_proveedor_objeto","nombre_proveedor_objeto_de","valor","valor_pagado","fecha_evento","aplico_garantias","numero_de_acto","tipo_de_sancion","descripcion_otro_tipo_de","estado","tipo","numero_de_version"
"CO1.BDOS.652069","CM-PDA-002-2019",,"700566128","EMPRESAS PUBLICAS DE CUNDINAMARCA S.A. ESP","5015870","GESTION INTEGRAL CONSULTORES SAS","12216540.000000","0.000000","2019-11-01T00:00:00.000","true","RESOLUCION 256 DE 2019","Tipo Sancion",,"Estado","Tipo","2"
"CO1.BDOS.910853","PN DIRAF MIC 161",,"700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","4418067","FM Solutions SAS","1117005.000000","0.000000","2020-03-06T00:00:00.000","true","Resolución No 0001 del 06/03/2020","Tipo Sancion",,"Estado","Tipo","3"
"CO1.BDOS.2274246","MC-TLM-CIC-491-2021","CO1.PCCNTR.2933569","702561986","SENA REGIONAL TOLIMA 1","9403791","NOVATEK DEL CARIBE SAS",,,,,,"Tipo Sancion",,"Estado","Tipo","3"
"CO1.BDOS.1905096","PN DIRAF SA MC 038 2021",,"700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","7771819","OBRAS, INTERVENTORIAS Y SUMINISTROS S.A.S","1997584.580000","0.000000","2021-12-21T00:00:00.000","false","Resolución No. 0639","Tipo Sancion",,"Estado","Tipo","2"
"CO1.BDOS.1173409","PN DIRAF SA MC 042 2020","CO1.PCCNTR.1619569","700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","4418067","CONSORCIO CONSTRUVALOR ESTACIÓN LA HORMIGA","10144735.290000","0.000000","2021-05-28T00:00:00.000","false","RESOLUCIÓN 0227","Tipo Sancion",,"Estado","Tipo","3"
"CO1.BDOS.1229004","PN DIRAF SA 095 2020","CO1.PCCNTR.1727030","700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","4418067","UNION TEMPORAL MEDALLAS C&M","38468936.000000","0.000000","2021-05-27T00:00:00.000","false","resolución 0225 27/05/2021","Tipo Sancion",,"Estado","Tipo","3"
"CO1.BDOS.1915325","PN DIRAF SA MC 035 2021",,"700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","7771819","ESTUDIOS CONSULTORIAS Y OBRAS SAS","29797899.120000","0.000000","2021-10-29T00:00:00.000","true","0578","Tipo Sancion",,"Estado","Tipo","6"
"CO1.BDOS.1915325","PN DIRAF SA MC 035 2021",,"700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","4943734","ESTUDIOS CONSULTORIAS Y OBRAS SAS","29797899.120000","0.000000","2021-10-29T00:00:00.000","true","Resolución No. 0578 2021","Tipo Sancion",,"Estado","Tipo","1"
"CO1.BDOS.1825626","PN DIRAF MIC 023 2021","CO1.PCCNTR.2382217","700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","7771819","VIMA SERVICIOS Y SUMINISTROS SAS","11233600.000000","0.000000","2022-01-04T00:00:00.000","true","Resolución No. 001","Tipo Sancion",,"Estado","Tipo","3"
"CO1.BDOS.1905096","PN DIRAF SA MC 038 2021",,"700569072","POLICÍA NACIONAL - DIRECCIÓN ADMINISTRATIVA Y FINANCIERA","7771819","TITO II VELASQUEZ BECERRA","1997584.580000","0.000000","2021-12-21T00:00:00.000","false","Resolución No. 0639","Tipo Sancion",,"Estado","Tipo","2"
