"entidad","nit","email","direccion","telefono"
"INSTITUTO DE TRÁNSITO Y TRANSPORTE DEL DEPARTAMENTO DE ARAUCA - (ITTDAR)","800114869","sistemas@transitoarauca.gov.co","Carrera 19 No 17 - 55. Barrio Cristo Rey . Arauca - Arauca","8853157"
"INSTITUTO DE MOVILIDAD Y TRANSPORTE DEL MUNICIPIO DE TAME","900239658","direccion@transitotame.gov.co","Cra. 15 #11-145, Tame, Arauca","8887124"
"E.S.E. DEPARTAMENTAL MORENO Y CLAVIJO","900034131","gerencia@esemorenoyclavijo.gov.co","Cl. 23 #18 - 41, Arauca","8857915"
"E.S.E. JAIME ALVARADO Y CASTILLA","834001482","contactenos@esejaimealvaradoycastilla.gov.co","Carrera 19 No. 1A - 64A - 64","8850200"
"E.S.E. HOSPITAL DEL SARARE","800232151","correspondencia@hospitaldelsarare.gov.co","Calle 30 N° 19A - 82 Barrio los Libertadores","8891385"
"E.S.E. HOSPITAL SAN VICENTE DE ARAUCA","800218979","contactenos@hospitalsanvicente.gov.co","Carrera 16 - Calle 15 Nro. 16-17 Esquina","8850030"
"INSTITUTO DEPARTAMENTAL DEL DEPORTE Y LA RECREACIÓN DE ARAUCA - INDER ARAUCA","834001300","fabio.andrade.cp@hotmail.com","Carrera 27, número 14-158","8854650"
"EMPRESA DE ENERGÍA ELÉCTRICA DE ARAUCA - ENELAR E.S.P.","892099499","gerencia@enelar.com.co","Cra. 22 No. 22 - 46 Barrio 7 de Agosto","8852495"
"EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DE ARAUCA - EMSERPA E.I.C.E. E.S.P.","800113549","gerencia@emserpa.gov.co","Carrera 24 entre calles 18 y 19, bloque 03 del Centro Administrativo Municipal","8852455"
"EMPRESA DEPARTAMENTAL DE SERVICIOS PÚBLICOS DE ARAUCA - CUMARE S.A. E.S.P.","900662494","gerencia@cumare.gov.co","Cra. 23 #17-40, Arauca","8850125"
"EMPRESA DE SERVICIOS PÚBLICOS DE TAME - CARIBABARE E.S.P.","800093257","secretaria@caribabare.gov.co","Carrera 18, No. 15-38","8886000"
"INSTITUTO DE DESARROLLO DE ARAUCA - IDEAR","834000764","gerente@idear.gov.co","CALLE 15, NUMERO 13-46","8853178"
"UNIDAD ADMINISTRATIVA ESPECIAL DE SALUD DE ARAUCA - UAESA","900034608","direccion@unisaludarauca.gov.co","CALLE 20 # 20-31/43","8858888"
"CONCEJO MUNICIPAL DE ARAUCA","834000142","matagato30@hotmail.com","Cra. 25 #18-86 #18-A","8856794"
"CONCEJO MUNICIPAL DE TAME","834000552","fidelg27@gmail.com","CARRERA 14 No. 15-33, Tame - Arauca","8886393"
"PERSONERÍA DEL MUNICIPIO DE ARAUCA","834001494","alexander.rivera21@hotmail.com","Carrera 24 entre calles 18 y 19","3124543613"
"PERSONERIA DEL MUNICIPIO DE TAME","800302801","personeriatame@hotmail.com","Calle 15 Carrera 15 Esquina Edificio Alonso Pérez de Guzman","3202595883"
"GOBERNACIÓN DE ARAUCA","800102838","archivogeneral@arauca.gov.co","Calle 20 - Carrera 21 Esquina","8851946"
"ASAMBLEA DEPARTAMENTAL DE ARAUCA","834000214","secretariogeneral@asambleadearauca.gov.co","Cra 20 #18-17 Esquina Arauca-Arauca","8853449"
"MUNICIPIO DE ARAUCA","800102504","contactenos@arauca-arauca.gov.co","Cra. 24 entre calles 18 y 19 Arauca-Arauca","8853156"
"MUNICIPIO DE TAME","800102801","contactenos@tame-arauca.gov.co","Calle 15 N°. 14 - 20 Tame - Arauca","8886394"
"MUNICIPIO DE SARAVENA","800102799","contactenos@saravena-arauca.gov.co","Calle 27 # 15-50 Barrio Centro","8892027"
"MUNICIPIO DE ARAUQUITA","892099494","contactenos@arauquita-arauca.gov.co","Carrera 4 # 3-13 B. Centro","8836085"
"MUNICIPIO DE FORTUL","800136069","contactenos@fortul-arauca.gov.co","Carrera 16A N° 9A-36 Barrio Ramírez","3214459159"
"MUNICIPIO DE PUERTO RONDÓN","800102798","alcalde@puertorondon-arauca.gov.co","Calle 2 No 6-12","8897075"
"MUNICIPIO DE CRAVO NORTE","800014434","alcaldia@cravonorte-arauca.gov.co","Cra 4 # 2 - 62 Barrio el Centro","8889058"
"EVIMAR EICE","901021214","rafaeleduardo.arana@gmail.com","Vía Arauca Km 2. Vereda Campo Alegre. Arauquita- Arauca","3107882050"
"INSTITUCIÓN EDUCATIVA COLEGIO SAN LUIS","834000531","tesoreriasanluistame@gmail.com","CALLE 19 N 17-80, Tame - Arauca","3212151679"
"INSTITUCIÓN EDUCATIVA TIERRA SECA","900436367","tierrafortul@gmail.com","VEREDA TIERRA SECA, Municipio de Fortul","3105626248"
"INSTITUCIÓN EDUCATIVA PAZ Y ESPERANZA","900370149","hugochinca@yahoo.es","VEREDA SITIO NUEVO, Municipio de Fortul","3202018057"
"INSTITUCIÓN EDUCATIVA PABLO VI","900370139","iepablo6villanueva@gmail.com","VEREDA VILLANUEVA, Muncipio de Fortul","3202975627"
"INSTITUCIÓN EDUCATIVA COLEGIO JOSÉ INOCENCIO CHINCÁ DE FORTUL","900077410","cerros3000@gmail.com","VEREDA SITIO NUEVO, Municipio de Fortul","3202018057"
"INSTITUCIÓN EDUCATIVA ANTONIO RICAURTE","900019279","carmitamar58@hotmail.es","VEREDA COROCITO, Municipio de Tame","3103264297"
"INSTITUCIÓN EDUCATIVA ERNESTO RINCON DUCON","900005192","erleycalderon@hotmail.com","VEREDA EL BOTALON, Municipio de Tame","3112156939"
"INSTITUCIÓN EDUCATIVA COLEGIO GENERAL SANTANDER","892007050","pradomanuel1@hotmail.com","Calle: 15 N# 13 - 01","3187442539"
"INSTITUCIÓN EDUCATIVA NORMAL MARÍA INMACULADA","892000718","elisa99597@hotmail.com","Carrera 20 N° 20 - 26 Parque Principal","8851600"
"INSTITUCIÓN EDUCATIVA CONCENTRACIÓN DE DESARROLLO RURAL","890504393","niquefa563@gmail.com","AVENIDA INCORA No. 22-60, Saravena - Arauca","3118127225"
"INSTITUCIÓN EDUCATIVA COLEGIO VILLA CECILIA","834001738","villacecilia_2007@hotmail.com","Isla del Charo la y Puerto Contreras, Saravena - Arauca","3202748850"
