"instituci_n","sede","jornada","grado","grupo","modelo","estado","total"
"CE NAMUI NU MAI","BERLIN","COMPLETA","GRADO 0","1","ETNOEDUCACION","MATRICULADO","4"
"CE NAMUI NU MAI","BERLIN","COMPLETA","PRIMERO","101","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","BERLIN","COMPLETA","SEGUNDO","201","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","BERLIN","COMPLETA","TERCERO","301","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","BERLIN","COMPLETA","CUARTO","401","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","BERLIN","COMPLETA","QUINTO","501","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","GRADO 0","1","ETNOEDUCACION","MATRICULADO","4"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","PRIMERO","101","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","SEGUNDO","201","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","TERCERO","301","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","CUARTO","401","ETNOEDUCACION","MATRICULADO","4"
"CE NAMUI NU MAI","LA CASA DEL CONOCIMIENTOS","COMPLETA","QUINTO","501","ETNOEDUCACION","MATRICULADO","5"
"CE NAMUI NU MAI","LA CRISTALINA","COMPLETA","PRIMERO","101","ETNOEDUCACION","MATRICULADO","4"
"CE NAMUI NU MAI","LA CRISTALINA","COMPLETA","TERCERO","301","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","LA CRISTALINA","COMPLETA","CUARTO","401","ETNOEDUCACION","MATRICULADO","1"
"CE NAMUI NU MAI","LA CRISTALINA","COMPLETA","QUINTO","501","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","GRADO 0","1","ETNOEDUCACION","MATRICULADO","4"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","PRIMERO","101","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","SEGUNDO","201","ETNOEDUCACION","MATRICULADO","1"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","TERCERO","301","ETNOEDUCACION","MATRICULADO","1"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","CUARTO","401","ETNOEDUCACION","MATRICULADO","5"
"CE NAMUI NU MAI","NAMUI NU MAI","COMPLETA","QUINTO","501","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","NAMUY FXIW","COMPLETA","GRADO 0","1","ETNOEDUCACION","MATRICULADO","3"
"CE NAMUI NU MAI","NAMUY FXIW","COMPLETA","PRIMERO","101","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","NAMUY FXIW","COMPLETA","SEGUNDO","201","ETNOEDUCACION","MATRICULADO","1"
"CE NAMUI NU MAI","NAMUY FXIW","COMPLETA","CUARTO","401","ETNOEDUCACION","MATRICULADO","2"
"CE NAMUI NU MAI","NAMUY FXIW","COMPLETA","QUINTO","501","ETNOEDUCACION","MATRICULADO","4"
"COLEGIO SUEÑOS Y SONRISAS","COLEGIO SUEÑOS Y SONRISAS - SEDE PRINCIPAL","COMPLETA","JRD I/KIND","-101","EDUCACIÓN TRADICIONAL","MATRICULADO","6"
"COLEGIO SUEÑOS Y SONRISAS","COLEGIO SUEÑOS Y SONRISAS - SEDE PRINCIPAL","COMPLETA","GRADO 0","1","EDUCACIÓN TRADICIONAL","MATRICULADO","5"
"IE BETANIA","BETANIA","COMPLETA","GRADO 0","1","NUEVA ESCUELA","MATRICULADO","9"
"IE BETANIA","BETANIA","COMPLETA","PRIMERO","101","NUEVA ESCUELA","MATRICULADO","17"
"IE BETANIA","BETANIA","COMPLETA","SEGUNDO","201","NUEVA ESCUELA","MATRICULADO","11"
"IE BETANIA","BETANIA","COMPLETA","TERCERO","301","NUEVA ESCUELA","MATRICULADO","17"
"IE BETANIA","BETANIA","COMPLETA","CUARTO","401","NUEVA ESCUELA","MATRICULADO","12"
"IE BETANIA","BETANIA","COMPLETA","QUINTO","501","NUEVA ESCUELA","MATRICULADO","11"
"IE BETANIA","BETANIA","COMPLETA","SEXTO","601","POST","MATRICULADO","45"
"IE BETANIA","BETANIA","COMPLETA","SEPTIMO","701","POST","MATRICULADO","32"
"IE BETANIA","BETANIA","COMPLETA","OCTAVO","801","POST","MATRICULADO","28"
"IE BETANIA","BETANIA","COMPLETA","NOVENO","901","POST","MATRICULADO","31"
"IE BETANIA","BETANIA","COMPLETA","DÉCIMO","1001","EDUCACIÓN TRADICIONAL","MATRICULADO","21"
"IE BETANIA","BETANIA","COMPLETA","ONCE","1101","EDUCACIÓN TRADICIONAL","MATRICULADO","16"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","GRADO 0","1","NUEVA ESCUELA","MATRICULADO","5"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","PRIMERO","101","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","SEGUNDO","201","NUEVA ESCUELA","MATRICULADO","2"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","TERCERO","301","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","CUARTO","401","NUEVA ESCUELA","MATRICULADO","5"
"IE BETANIA","BLANCA LUCIA RICHARD","COMPLETA","QUINTO","501","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","EL CARMEN","COMPLETA","GRADO 0","1","NUEVA ESCUELA","MATRICULADO","1"
"IE BETANIA","EL CARMEN","COMPLETA","PRIMERO","101","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","EL CARMEN","COMPLETA","TERCERO","301","NUEVA ESCUELA","MATRICULADO","4"
"IE BETANIA","EL CARMEN","COMPLETA","CUARTO","401","NUEVA ESCUELA","MATRICULADO","1"
"IE BETANIA","EL CARMEN","COMPLETA","QUINTO","501","NUEVA ESCUELA","MATRICULADO","5"
"IE BETANIA","EL PARAISO","COMPLETA","GRADO 0","1","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","EL PARAISO","COMPLETA","PRIMERO","101","NUEVA ESCUELA","MATRICULADO","5"
"IE BETANIA","EL PARAISO","COMPLETA","TERCERO","301","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","EL PARAISO","COMPLETA","CUARTO","401","NUEVA ESCUELA","MATRICULADO","2"
"IE BETANIA","EL PARAISO","COMPLETA","QUINTO","501","NUEVA ESCUELA","MATRICULADO","3"
"IE BETANIA","EL PROGRESO","COMPLETA","GRADO 0","1","NUEVA ESCUELA","MATRICULADO","3"
