"fiscal_year","service","department","program","category","description","project_id","approved_amount","fund","fund_type","actual_amount","sps_project_desc","sps_fund","sps_department","sps_division","sps_activity_basic_acct","sps_activity_sub_acct","sps_element_1st_digit","sps_element_2nd_digit","sps_object","sps_account_number","time_date_stamp"
"2020","CULTURE AND RECREATION","PARKS AND RECREATION","PARKS CAPITAL","PARK IMPROVEMENTS","PARK / TRAIL IMPROVEMENTS","*NONE","14763","QUALITY OF LIFE",,"0","NO ASSOCIATED PROJECT","254","50","46","45","2","7","1","34","254-5046-452.71-34","17324202072020"
"2020","GENERAL GOVERNMENT","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL POJECTS","CONSTRUCTION","*NONE","80000","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","41","9","7","0","40","210-0000-419.70-40","17324202072020"
"2020","PUBLIC WORKS","SEWER","WASTEWATER PLANT","MACHINERY AND EQUIPMENT","VEHICLE REPLACMNT PROGRAM","*NONE","220000","SEWER OPERATION",,"0","NO ASSOCIATED PROJECT","510","32","1","43","4","7","7","5","510-3201-434.77-05","17324202072020"
"2020","PUBLIC WORKS","PUBLIC WORKS","REGIONAL TRANSPORTATION","CAPITAL PROJECTS","LABOR","*NONE","414983","REGIONAL TRANSPORTATION",,"0","NO ASSOCIATED PROJECT","250","30","35","43","1","7","0","70","250-3035-431.70-70","17324202072020"
"2020","GENERAL GOVERNMENT","PUBLIC WORKS","RADIOS","MACHINERY AND EQUIPMENT","EQUIPMENT","*NONE","378909","FLEET MANAGEMENT",,"0","NO ASSOCIATED PROJECT","560","30","55","41","9","7","7","75","560-3055-419.77-75","17324202072020"
"2020","GENERAL GOVERNMENT","PUBLIC WORKS","VEHICLE MAINTENANCE","MACHINERY AND EQUIPMENT","VEHICLE REPLACEMENT","*NONE","35000","FLEET MANAGEMENT",,"0","NO ASSOCIATED PROJECT","560","30","25","41","9","7","7","5","560-3025-419.77-05","17324202072020"
"2020","CULTURE AND RECREATION","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL PROJECTS","CONSTRUCTION","*NONE","230000","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","45","1","7","0","40","210-0000-451.70-40","17324202072020"
"2020","PUBLIC WORKS","PUBLIC WORKS","ROAD MAINTENANCE","MACHINERY AND EQUIPMENT","VEHICLE REPLAC. PROGRAM","*NONE","595000","STREET MAINTENANCE",,"0","NO ASSOCIATED PROJECT","256","30","38","43","1","7","7","5","256-3038-431.77-05","17324202072020"
"2020","OTHER FINANCING USES","NON-DEPARTMENTAL","NON-DEPARTMENTAL","OPERATING TRANSFERS OUT","REDEV. REVOLVING","*NONE","1759927","REDEVELOPMENT: TAX INCRE.",,"0","NO ASSOCIATED PROJECT","604","0","0","49","1","7","2","70","604-0000-491.72-70","17324202072020"
"2020","PUBLIC WORKS","WATER","CAPITAL PROJECTS","CAPITAL PROJECTS","LABOR","*NONE","39700","WATER",,"0","NO ASSOCIATED PROJECT","520","35","5","43","5","7","0","70","520-3505-435.70-70","17324202072020"
"2020","PUBLIC WORKS","WATER","CAPITAL PROJECTS","CAPITAL EXPENDITURES","REPLACE PUMPS/MOTOR","*NONE","150000","WATER",,"0","NO ASSOCIATED PROJECT","520","35","5","43","5","7","3","95","520-3505-435.73-95","17324202072020"
"2020","CULTURE AND RECREATION","PARKS AND RECREATION","PARKS CAPITAL","PARK IMPROVEMENTS","MAC IMPROVEMENTS","*NONE","150000","QUALITY OF LIFE",,"0","NO ASSOCIATED PROJECT","254","50","46","45","2","7","1","48","254-5046-452.71-48","17324202072020"
"2020","OTHER FINANCING USES","OPERATING TRANSFERS OUT","NON-DEPARTMENTAL","OPERATING TRANSFERS OUT","DEBT SERVICE FUND","*NONE","3454834","GENERAL FUND",,"0","NO ASSOCIATED PROJECT","101","80","0","49","1","7","2","66","101-8000-491.72-66","17324202072020"
"2020","GENERAL GOVERNMENT","NON-DEPARTMENTAL","NON-DEPARTMENTAL","MACHINERY AND EQUIPMENT","EQUIPMENT","*NONE","639200","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","41","9","7","7","75","210-0000-419.77-75","17324202072020"
"2020","CULTURE AND RECREATION","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL OUTLAY","LIBRARY IMPROVEMENTS","*NONE","10000","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","45","5","6","5","58","210-0000-455.65-58","17324202072020"
"2020","PUBLIC WORKS","WATER","MAINTENANCE","MACHINERY AND EQUIPMENT","EQUIPMENT","*NONE","100000","WATER",,"0","NO ASSOCIATED PROJECT","520","35","2","43","5","7","7","75","520-3502-435.77-75","17324202072020"
"2020","PUBLIC WORKS","WATER","MAINTENANCE","MACHINERY AND EQUIPMENT","VEHICLE REPLAC. PROGRAM","*NONE","685000","WATER",,"0","NO ASSOCIATED PROJECT","520","35","2","43","5","7","7","5","520-3502-435.77-05","17324202072020"
"2020","CULTURE AND RECREATION","PARKS AND RECREATION","NON-DEPARTMENTAL","CAPITAL PROJECTS","CONSTRUCTION","*NONE","300000","RESIDENTIAL CONSTRUCTION",,"0","NO ASSOCIATED PROJECT","350","50","0","45","2","7","0","40","350-5000-452.70-40","17324202072020"
"2020","CULTURE AND RECREATION","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL OUTLAY","EQUIP REPLACEMENT - PARKS","*NONE","292965","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","45","2","6","5","54","210-0000-452.65-54","17324202072020"
"2020","PUBLIC WORKS","PUBLIC WORKS","TRANSPORTATION PROGRAM","MACHINERY & EQUIPMENT","VEHICLE PURCHASE","*NONE","330000","CARSON CITY TRANSIT FUND",,"0","NO ASSOCIATED PROJECT","225","30","26","43","0","7","7","5","225-3026-430.77-05","17324202072020"
"2020","CONSERVATION","CITY MANAGER","COMMUNITY SUPPORT","CAPITAL PROJECTS","CONSTRUCTION","*NONE","795227","INFRASTRUCTURE TAX",,"0","NO ASSOCIATED PROJECT","257","6","15","46","5","7","0","40","257-0615-465.70-40","17324202072020"
"2020","OTHER FINANCING USES","OPERATING TRANSFERS OUT","NON-DEPARTMENTAL","OPERATING TRANSFERS OUT","CC TRANSIT FUND","*NONE","466300","GENERAL FUND",,"0","NO ASSOCIATED PROJECT","101","80","0","49","1","7","2","74","101-8000-491.72-74","17324202072020"
"2020","PUBLIC WORKS","SEWER","WASTEWATER PLANT","CONSTRUCTION PROJECTS","FACILITY UPGRADE","*NONE","225000","SEWER OPERATION",,"0","NO ASSOCIATED PROJECT","510","32","1","43","4","7","8","10","510-3201-434.78-10","17324202072020"
"2020","PUBLIC WORKS","PUBLIC WORKS","ROAD MAINTENANCE","MACHINERY AND EQUIPMENT","EQUIPMENT","*NONE","100000","STREET MAINTENANCE",,"0","NO ASSOCIATED PROJECT","256","30","38","43","1","7","7","75","256-3038-431.77-75","17324202072020"
"2020","GENERAL GOVERNMENT","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL PROJECTS","CONSTRUCTION","*NONE","1345747","V&T SPEC. INFRASTRUCTURE",,"0","NO ASSOCIATED PROJECT","253","0","0","41","5","7","0","40","253-0000-415.70-40","17324202072020"
"2020","POLICE","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL OUTLAY","MISCELLANEOUS EQUIPMENT","*NONE","125787","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","42","1","6","5","12","210-0000-421.65-12","17324202072020"
"2020","POLICE","FIRE","AMBULANCE","MACHINERY AND EQUIPMENT","EQUIPMENT","*NONE","213000","AMBULANCE",,"0","NO ASSOCIATED PROJECT","501","25","25","42","2","7","7","75","501-2525-422.77-75","17324202072020"
"2020","GENERAL GOVERNMENT","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL PROJECTS","BOARD DESIGNATED","*NONE","325843","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","41","1","7","8","10","210-0000-411.78-10","17324202072020"
"2020","OTHER FINANCING USES","PUBLIC WORKS","REGIONAL TRANSPORTATION","OPERATING TRANSFERS OUT","DEBT SERVICE FUND","*NONE","1580215","REGIONAL TRANSPORTATION",,"0","NO ASSOCIATED PROJECT","250","30","35","49","1","7","2","66","250-3035-491.72-66","17324202072020"
"2020","PUBLIC WORKS","NON-DEPARTMENTAL","NON-DEPARTMENTAL","CAPITAL OUTLAY","SITE IMPROVEMENTS","*NONE","400000","CAPITAL PROJECTS",,"0","NO ASSOCIATED PROJECT","210","0","0","43","2","6","5","3","210-0000-432.65-03","17324202072020"
