"community_","street","zip","phone","website","council_district","x",":@computed_region_me95_vbw4",":@computed_region_xf2b_u4zq",":@computed_region_gxae_hf64"
"Bert Ferguson Community Center","8505 Trinity Road","38018","901-309-1761","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12140162","2","POINT (-89.779447 35.142536)","1","3","2"
"Kate Sexton Community Center","1235 Brown Avenue","38107","901-576-7070","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157226","7","POINT (-90.016259 35.167534)","7","7","7"
"Glenview Community Center","1141 S. Barksdale Street","38114","901-576-7080","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12142626","4","POINT (-89.999199 35.114668)","13","8","5"
"Marion Hale Community Center","4791 Willow Road","38117","901-685-8120","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157255","5","POINT (-89.902647 35.085647)","16","9","4"
"Hickory Hill Community Center","3910 Ridgeway Road","38115","901-566-9685","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157191","3","POINT (-89.856471 35.043964)","14","10","3"
"Cunningham Community Center","3773 Old Allen Road","38128","901-377-3037","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12145057","1","POINT (-89.94985 35.226899)","24","2","1"
"Riverview Community Center","1891 Kansas Street","38109","901-774-3041","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12144349","6","POINT (-90.066779 35.095936)","9","14","6"
"Pine Hill Community Center","973 Alice Avenue","38106","901-774-7950","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12144266","6","POINT (-90.030763 35.094091)","6","14","6"
"Gaisman Community Center","4221 Macon Road","38122","901-682-6161","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12142496","5","POINT (-89.919482 35.162073)","20","6","4"
"Bickford Community Center","233 Henry Street","38107","901-527-8752","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12144509","7","POINT (-90.040085 35.166079)","7","7","7"
"North Frayser Community Center","2555 St. Elmo Avenue","38127","901-353-9419","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12143573","7","POINT (-89.978495 35.232647)","23","1","7"
"Whitehaven Community Center","4318 Graceland Drive","38116","901-332-0783","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157441","3","POINT (-90.014958 35.030812)","15","12","3"
"Gaston Community Center","1048 S. Third Street","38106","901-774-4156","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12153604","4","POINT (-90.021504 35.118081)","6","14","5"
"Charles Powell - Westwood Community Center","810 Western Park Drive","38109","901-785-5975","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12140469","6","POINT (-90.091253 35.031149)","9","13","6"
"Orange Mound Community Center","2572 Park Avenue","38114","901-636-6878","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157377","4","POINT (-89.975894 35.108256)","13","5","5"
"Davis Community Center","3371 Spottswood Avenue","38111","901-323-8015","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12145102","5","POINT (-89.950321 35.113156)","10","9","4"
"Lester Community Center","317 Tillman Street","38112","901-324-2639","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12143437","5","POINT (-89.961651 35.140887)","11","9","4"
"Douglass Community Center","1616 Ash Street","38108","901-327-6131","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12142400","7","POINT (-89.953672 35.17661)","8","7","7"
"Raleigh Community Center","3678 Powers Road","38128","901-372-2085","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157989","1","POINT (-89.912657 35.225649)","24","2","1"
"McFarland Community Center","4955 Cottonwood Road","38118","901-362-8350","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12143522","4","POINT (-89.898235 35.069161)","17","11","5"
"Ed Rice Community Center","2907 N. Watkins Street","38127","901-357-6919","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12145213","7","POINT (-90.004064 35.204899)","23","1","7"
"Hollywood Community Center","1560 N. Hollywood Street","38108","901-458-4084","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12143393","7","POINT (-89.975245 35.178883)","8","7","7"
"Mitchell Community Center","602 West Mitchell Road","38109","901-789-2927","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12157272","6","POINT (-90.085194 35.055918)","9","13","6"
"Dave Wells Community Center","915 Chelsea Avenue","38107","901-526-7193","https://www.memphistn.gov/cms/One.aspx?portalId=11150816&pageId=12141522","7","POINT (-90.026326 35.167546)","7","7","7"
