"year","month","month_order","department","request_type","count","date"
"2017","May","5","Engineering","EN-New Markings","5","2017-05-01T00:00:00.000"
"2019","August","8","Engineering","EN-Railroad R-O-W Maintenanc","5","2019-08-01T00:00:00.000"
"2018","April","4","Shelby County","SCHD-Foul Odor","2","2018-04-01T00:00:00.000"
"2019","August","8","Grounds Maintenance","CW-Miscellaneous","3","2019-08-01T00:00:00.000"
"2017","August","8","Street Maintenance","PW (SM)-Edge of Street Damage","1","2017-08-01T00:00:00.000"
"2018","November","11","Engineering","EN-Curb/Gutter Repair","1","2018-11-01T00:00:00.000"
"2018","November","11","Street Maintenance","PW (SM)-Pot Hole in Alley","1","2018-11-01T00:00:00.000"
"2018","March","3","Engineering","EN-Curb Ramp Construction","2","2018-03-01T00:00:00.000"
"2017","December","12","Engineering","EN-Speed Hump Request","8","2017-12-01T00:00:00.000"
"2018","April","4","Solid Waste Management","SWM-Dead Animal Collection","290","2018-04-01T00:00:00.000"
"2017","June","6","Engineering","EN-Curb Ramp Request","1","2017-06-01T00:00:00.000"
"2019","October","10","Shelby County","MSCCE-Miscellaneous","8","2019-10-01T00:00:00.000"
"2019","May","5","Solid Waste Management","SWM-Recycle Bin Request","1","2019-05-01T00:00:00.000"
"2017","March","3","Police Services","PD-Quality of Life Issues","8","2017-03-01T00:00:00.000"
"2018","January","1","Code Enforcement","CE-Vacant Lot Code Violation","7","2018-01-01T00:00:00.000"
"2018","October","10","Heavy Equipment Services","PW (HE)-Street Cleaning","88","2018-10-01T00:00:00.000"
"2017","December","12","Shelby County","SC-Mayors Action Center(MIS)","2","2017-12-01T00:00:00.000"
"2019","July","7","Shelby County","MSCCE-Sign Ordinances","2","2019-07-01T00:00:00.000"
"2018","November","11","Police Services","PD-Criminal Activity","3","2018-11-01T00:00:00.000"
"2019","January","1","Engineering","EN-Railroad Inspection","2","2019-01-01T00:00:00.000"
"2017","October","10","Street Maintenance","PW (SM)-Potholes","174","2017-10-01T00:00:00.000"
"2017","July","7","Engineering","EN-Traffic Signal Operation","6","2017-07-01T00:00:00.000"
"2019","March","3","Drain Maintenance","PW (DM)-Replace","4","2019-03-01T00:00:00.000"
"2019","March","3","Environmental Maintenance","EMI-Sewer Miscellaneous","6","2019-03-01T00:00:00.000"
"2019","March","3","Engineering","EN-Curb Ramp Construction","1","2019-03-01T00:00:00.000"
"2018","January","1","Engineering","EN-Maintain Signs","31","2018-01-01T00:00:00.000"
"2017","August","8","Environmental Maintenance","EMI-Sewer Miscellaneous","1","2017-08-01T00:00:00.000"
"2018","March","3","Street Maintenance","PW (SM)-Roadside Litter","33","2018-03-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Illegal Dumping","51","2018-01-01T00:00:00.000"
"2019","April","4","Solid Waste Management","SWM-Switched Cart","24","2019-04-01T00:00:00.000"
"2017","December","12","Shelby County","MSCCE-Building Codes","2","2017-12-01T00:00:00.000"
"2022","April","4","Solid Waste Management","SWM-Recycle Bin Request","1","2022-04-01T00:00:00.000"
"2018","October","10","Storm Water","PW (SW)-Storm Water","3","2018-10-01T00:00:00.000"
"2017","March","3","Shelby County","SCHD-Air Quality","1","2017-03-01T00:00:00.000"
"2018","March","3","General Services","GS-Miscellaneous","2","2018-03-01T00:00:00.000"
"2018","April","4","Engineering","EN-Sidewalk Inspection","22","2018-04-01T00:00:00.000"
"2017","February","2","Fire Services","FS-Fire Hydrants","6","2017-02-01T00:00:00.000"
"2017","April","4","Shelby County","SCHD-Living Conditions","1","2017-04-01T00:00:00.000"
"2019","May","5","Drain Maintenance","PW (DM)-Cavity","20","2019-05-01T00:00:00.000"
"2019","November","11","Shelby County","MSCCE-Zoning Codes","18","2019-11-01T00:00:00.000"
"2017","May","5","Shelby County","MSCCE-Sign Ordinances","1","2017-05-01T00:00:00.000"
"2019","November","11","Solid Waste Management","SWM-Pick-Up Extra Cart","26","2019-11-01T00:00:00.000"
"2018","December","12","Street Maintenance","PW (SM)-Trees Trimming","3","2018-12-01T00:00:00.000"
"2017","March","3","Drain Maintenance","PW (DM)-Claim","1","2017-03-01T00:00:00.000"
"2020","November","11","Storm Water","PW (SW)-Storm Water","8","2020-11-01T00:00:00.000"
"2019","April","4","Drain Maintenance","PW (DM)-Drain Ditches","20","2019-04-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Picker Pile","1382","2018-01-01T00:00:00.000"
"2019","November","11","Engineering","EN-Traffic Signal Maintenance","16","2019-11-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-Service Quality","130","2017-12-01T00:00:00.000"
"2018","February","2","Engineering","EN-New Signs","6","2018-02-01T00:00:00.000"
"2019","August","8","Environmental Maintenance","EMI-Sewer Miscellaneous","4","2019-08-01T00:00:00.000"
"2018","April","4","Shelby County","SCHD-Rodent Control","25","2018-04-01T00:00:00.000"
"2018","October","10","Shelby County","SCHD-Foul Odor","3","2018-10-01T00:00:00.000"
"2018","November","11","Engineering","EN-Street Improvements","1","2018-11-01T00:00:00.000"
"2018","April","4","Solid Waste Management","SWM-Picker Pile","4227","2018-04-01T00:00:00.000"
"2017","December","12","Drain Maintenance","PW (DM)-Drain Ditches","3","2017-12-01T00:00:00.000"
"2018","December","12","Engineering","EN-Traffic Sight Obstruction","1","2018-12-01T00:00:00.000"
"2018","December","12","Street Maintenance","PW (SM)-Alley Cutting","1","2018-12-01T00:00:00.000"
"2017","October","10","Drain Maintenance","PW (DM)-Drain/Ditch Maint.","31","2017-10-01T00:00:00.000"
"2019","May","5","Environmental Maintenance","EMI-Repair Miscellaneous","6","2019-05-01T00:00:00.000"
