"resource_id","resource_name","resource_url","description","archived","format","type","runtime","subject_areas","authoring_organization","intended_audiences","record_modified","resource_revised"
"L00691080","2018 MeSH Highlights","https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2018.html","On January 5, 2018, NLM staff provided a highlights tour of the 2018 Medical Subject Headings (MeSH). A 20-minute presentation featured a deleted subheading; new publication types; isotope and radioisotope terminology updates; additional terminology for viruses, smoking, and sugars; and restructuring in the plant and animal terminology. Following the presentation, Indexing and MeSH experts answered user questions.","false","MP4 Video","Webinar","21","Medical Subject Headings (MeSH); PubMed","Office of Engagement and Training","User","2020-05-28T00:00:00.000","2018-01-12T00:00:00.000"
"L000854112","2019 MeSH Highlights","https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2019.html","On January 4, 2019, NLM staff provided a highlights tour of the 2019 Medical Subject Headings (MeSH). A 20-minute presentation featured new publication types, including systematic reviews; three deleted subheadings; and additional terminology for data, neoplasms and more.","false","MP4 Video","Webinar","30","Medical Subject Headings (MeSH); PubMed","Office of Engagement and Training","User; Trainer; Developer","2020-06-16T00:00:00.000","2020-06-16T00:00:00.000"
"L001321112","2020 MeSH Highlights","https://www.nlm.nih.gov/oet/ed/mesh/2020_mesh_highlights.html","On January 10, 2020, Sarah Helson from the National Library of Medicine highlighted new and important changes for 2020 MeSH.  A 20-minute presentation included a new publication type, ""Randomized Controlled Trial, Veterinary,"" new MeSH ""as Topic"" Headings, and a new tree structure for Infections.","false","MP4 Video","Webinar","46","Medical Subject Headings (MeSH); PubMed","Office of Engagement and Training","User; Trainer; Developer","2021-01-25T00:00:00.000","2020-03-27T00:00:00.000"
"L001961112","2021 MeSH Highlights","https://www.nlm.nih.gov/oet/ed/mesh/2021_mesh_highlights.html","Every year, updates are made to MeSH, the NLM controlled vocabulary thesaurus used for indexing articles for PubMed. This annual webinar aims to introduce those changes and provide examples of how the changes may affect you as a PubMed searcher. For more information about MeSH, see the MeSH homepage.","false","HTML","Webinar Source Page","53","Medical Subject Headings (MeSH); PubMed","Office of Engagement and Training","User; Trainer; Developer","2021-03-03T00:00:00.000","2021-02-17T00:00:00.000"
"L002741112","2022 MeSH Highlights","https://www.nlm.nih.gov/oet/ed/mesh/2022_mesh_highlights.html","On January 12, 2022, Louise To and a panel of experts from the National Library of Medicine presented the webinar, 2022 MeSH Highlights. The webinar summarizes the changes for the 2022 MeSH featuring examples of new and updated terminology related to:  COVID-19 and other diseases; Social Determinants of Health; and Population Groups","false","HTML","Webinar Source Page","53","Health Services Research; Medical Subject Headings (MeSH)","Office of Engagement and Training","User; Trainer; Developer","2022-02-04T00:00:00.000","2022-02-03T00:00:00.000"
"L001021112","A Bird's Eye View of Health Data Standards","https://nnlm.gov/training/class-catalog/birds-eye-view-health-data-standards","This one-hour training session with videos and exercises is intended to introduce you to health data standards and how they are used, including relevant National Library of Medicine (NLM) products and services.","false","HTML","On-Demand Course","60","Terminology; Data Management; Data Science","Office of Engagement and Training","User; Trainer; Developer","2022-02-18T00:00:00.000","2021-09-01T00:00:00.000"
"L000888112","A Bird's Eye View of Health Data Standards","https://www.nlm.nih.gov/bsd/disted/video/clin_info/standards.html","As part of the series, Clinical Information, Librarians and the NLM: from Health Data Standards to Better Health, Rex Robison from the U.S. National Library of Medicine provides a primer on health data standards, highlighting the role of the National Library of Medicine in terminology standards.","false","MP4 Video","Webinar","26","Terminology; Data Management; Data Science","Office of Engagement and Training","User","2021-01-25T00:00:00.000","2018-10-16T00:00:00.000"
"L001064112","A New PubMed (brief version)","https://lor.nnlm.gov/op/op.Download_Share.php?documentid=1390","Slides introducing the new PubMed to an audience of experienced users (such as health sciences librarians). We encourage you to abridge, expand, adapt and/or redistribute these slides to better meet the needs of your audience.  These slides are free of copyright restriction, but we appreciate attribution to the U.S. National Library of Medicine. This short version would be appropriate for a 5-10 minute presentation.","false","PowerPoint","Slides","10","PubMed","Office of Engagement and Training","Trainer","2020-10-15T00:00:00.000","2020-10-15T00:00:00.000"
"L001063112","A New PubMed (full version)","https://lor.nnlm.gov/op/op.Download_Share.php?documentid=1389","Slides introducing the new PubMed to an audience of experienced users (such as health sciences librarians). We encourage you to copy and adapt these slides to your outreach and training needs and style appropriate to your audience.  These slides are free of copyright restriction, but we appreciate attribution to the U.S. National Library of Medicine. This is a 25-30 minute presentation without abridgment.","false","PowerPoint","Slides","30","PubMed","Office of Engagement and Training","Trainer","2020-10-15T00:00:00.000","2020-10-15T00:00:00.000"
"L002861112","A Practical Guide to Preprints: Accelerating Scholarly Communication","https://zenodo.org/record/5600535#.YinyiHrMJPa","A practical guide on preprints from the Dutch consortium of university libraries and the National library of the Netherlands (UKB) together with the Association of Universities in the Netherlands (VSNU) and the Dutch Research Council (NWO).","false","HTML","Page",,"Preprints","External Organization","User","2022-03-10T00:00:00.000","2021-10-27T00:00:00.000"
"L001902112","ALFA CoLab Presentation, ASHG2020","https://youtu.be/XM8HbSUNzfE","This video is an introduction to and tutorial for using ALFA, the Allele Frequency Aggregator, at the National Center for Biotechnology Information (NCBI).","false","MP4 Video","YouTube Video","18","Genetics and Molecular Biology; Bioinformatics; Data Science","Training Team, NCBI","User","2020-12-01T00:00:00.000","2020-11-02T00:00:00.000"
"L001524112","ALFA: Allele Frequency Data for Variant Analysis and Interpretation","https://www.youtube.com/watch?v=wii-V39YxGk","Results from the Allele Frequency Aggregator (ALFA) project will help you interpret the biological impact of common and rare sequence variants. ALFA's initial release includes analysis of genotype data from ~100K unrestricted dbGaP subjects and provides high-quality allele frequency data now displayed on relevant dbSNP records. Eventually ALFA will analyze more than 1M subjects. In this webinar, you will learn about the data in the recent ALFA release, see how to access the data from the web, FTP, and how to programmatically retrieve data by positions, genes, and other attributes using eUtils and Variation Services API in Python.","false","MP4 Video","YouTube Video",,"Genetics and Molecular Biology","Training Team, NCBI","User","2020-06-17T00:00:00.000","2020-04-22T00:00:00.000"
"L001843112","ASAPbio Preprint FAQ","https://asapbio.org/preprint-info/preprint-faq","Frequently asked questions about preprints.","false","HTML","Page",,"Preprints","External Organization","User","2022-02-28T00:00:00.000","2021-04-12T00:00:00.000"
