"entity_name","fiscal_year","governmental_funds_net_pension","governmental_funds_net_pension_1","enterprise_funds_net_pension","enterprise_funds_net_pension_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_pension","fiduciary_funds_net_pension_1","total_net_pension_asset","total_net_pension_liability"
"49-99 Cooperative Library System","2020",,,,,,,,,"0","0"
"4-E Water District","2020",,,,,,,,,"0","0"
"4-M Water District","2020",,,,,,,,,"0","0"
"ABAG Finance Authority for Nonprofit Corporation","2020",,,,,,,,,"0","0"
"ABAG Publicly Owned Energy Resources (ABAG Power)","2020",,,,,,,,,"0","0"
"Acampo Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Adelanto Public Financing Authority","2020",,,,,,,,,"0","0"
"Adelanto Public Utility Authority","2020",,,,"28134",,,,,"0","28134"
"Adin Cemetery District","2020",,,,,,,,,"0","0"
"Adin Community Services District","2020",,,,,,,,,"0","0"
"Adin Fire Protection District","2020",,,,,,,,,"0","0"
"Adin Lighting District","2020",,,,,,,,,"0","0"
"Advancing California Finance Authority","2020",,,,,,,,,"0","0"
"Aegean Way Permanent Road Division No. 1952 (Shasta)","2020",,,,,,,,,"0","0"
"Agoura Hills and Calabasas Community Center Authority","2020",,,,"354179",,,,,"0","354179"
"Agoura Hills Financing Authority","2020",,,,,,,,,"0","0"
"Agoura Hills Improvement Authority","2020",,,,,,,,,"0","0"
"Agoura Hills Public Facilities Corporation","2020",,,,,,,,,"0","0"
"Agua Mansa Industrial Growth Association","2020",,,,,,,,,"0","0"
"Aiden Park Permanent Road Division No. 1909 (Shasta)","2020",,,,,,,,,"0","0"
"Airborne Law Enforcement Services (ABLE)","2020",,,,,,,,,"0","0"
"Airport Neighborhood Lighting District","2020",,,,,,,,,"0","0"
"Alameda Alliance Joint Powers Authority","2020",,,,,,,,,"0","0"
"Alameda-Contra Costa Schools Financing Authority","2020",,,,,,,,,"0","0"
"Alameda-Contra Costa Transit District","2020",,,,"270087002",,,,,"0","270087002"
"Alameda-Contra Costa Transit Financing Corporation","2020",,,,,,,,,"0","0"
"Alameda Corridor Transportation Authority","2020",,,,"2116034",,,,,"0","2116034"
"Alameda County Abandoned Vehicle Abatement Authority","2020",,,,,,,,,"0","0"
"Alameda County-Dublin Library Corporation","2020",,,,,,,,,"0","0"
"Alameda County Fire Department","2020",,"124577480",,,,,,,"0","124577480"
"Alameda County Flood Control and Water Conservation District","2020",,,,,,,,,"0","0"
"Alameda County Joint Powers Authority","2020",,,,,,,,,"0","0"
"Alameda County Mosquito Abatement District","2020",,"3277554",,,,,,,"0","3277554"
"Alameda County Public Facilities Corporation","2020",,,,,,,,,"0","0"
"Alameda County Resource Conservation District","2020",,,,,,,,,"0","0"
"Alameda County Schools Insurance Group","2020",,,,"734426",,,,,"0","734426"
"Alameda County Transportation Commission","2020","26,401","6018502",,,,,,,"26401","6018502"
"Alameda County Waste Management Authority and Source Reduction Recycling Board","2020",,,,"2907825",,,,,"0","2907825"
"Alameda County Water District","2020",,,,"69755000",,,,,"0","69755000"
"Alameda County Water District Financing Authority","2020",,,,,,,,,"0","0"
"Alameda Health Partners","2020",,,,,,,,,"0","0"
"Alameda Health System","2020",,,,"356382660",,,,,"0","356382660"
"Alameda Public Financing Authority","2020",,,,,,,,,"0","0"
"Alameda Sewer Improvement Financing Corporation","2020",,,,,,,,,"0","0"
"Alamo-Lafayette Cemetery District","2020",,,,,,,,,"0","0"
"Alba Recreation and Park District","2020",,,,,,,,,"0","0"
"Albion-Little River Fire Protection","2020",,,,,,,,,"0","0"
"Aldercroft Heights County Water District","2020",,,,,,,,,"0","0"
"Alderpoint County Water District","2020",,,,,,,,,"0","0"
"Alexander Estates Lighting District","2020",,,,,,,,,"0","0"
"Alhambra Capital Improvement Corporation","2020",,,,,,,,,"0","0"
"Alhambra Golf Course Clubhouse Corporation","2020",,,,,,,,,"0","0"
"Alhambra Public Financing Authority","2020",,,,,,,,,"0","0"
"Alleghany County Water District","2020",,,,,,,,,"0","0"
"Allensworth Community Services District","2020",,,,,,,,,"0","0"
"Alliance of Schools For Cooperative Insurance Programs","2020",,,,"2120535",,,,,"0","2120535"
"Almanor Recreation and Park District","2020",,,,,,,,,"0","0"
"Almond Park Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Almond Wood Estates Lighting District","2020",,,,,,,,,"0","0"
"Almonte Sanitary District (Marin)","2020",,,,,,,,,"0","0"
"Alpaugh Community Services District","2020",,,,,,,,,"0","0"
"Alpaugh Irrigation District","2020",,,,,,,,,"0","0"
"Alpine Fire Protection District","2020",,"6237726",,,,,,,"0","6237726"
"Alpine Resource Conservation District","2020",,,,,,,,,"0","0"
"Alpine Springs County Water District","2020",,"1697",,"6785",,,,,"0","8482"
"Alpine Village-Sequoia Crest Community Services District","2020",,,,,,,,,"0","0"
"Alpine Way Permanent Road Division (Shasta)","2020",,,,,,,,,"0","0"
"Alta Cemetery District","2020",,,,,,,,,"0","0"
"Altadena Library District","2020",,"2504038",,,,,,,"0","2504038"
"Alta Fire Protection District","2020",,,,,,,,,"0","0"
"Alta Healthcare District","2020",,,,,,,,,"0","0"
"Altair Permanent Road Division","2020",,,,,,,,,"0","0"
"Alta Irrigation District","2020",,,,"2122348",,,,,"0","2122348"
"Altamont Corridor Express - ACE","2020",,,,,,,,,"0","0"
"Altaville Cemetery District","2020",,,,,,,,,"0","0"
"Altaville-Melones Fire Protection District","2020",,,,,,,,,"0","0"
"Alto Sanitary District (Marin)","2020",,,,,,,,,"0","0"
"Alturas Cemetery District","2020",,,,,,,,,"0","0"
"Alturas Fire Protection District","2020",,,,,,,,,"0","0"
"Alvord Drainage District (Riverside)","2020",,,,,,,,,"0","0"
"Amador County Air Pollution Control District","2020",,,,,,,,,"0","0"
"Amador County Fire Protection District","2020",,,,,,,,,"0","0"
"Amador County Groundwater Management Authority","2020",,,,,,,,,"0","0"
"Amador County Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"Amador County Recreation Agency (ACRA)","2020",,,,,,,,,"0","0"
"Amador Regional Sanitation Authority","2020",,,,,,,,,"0","0"
"Amador Resource Conservation District","2020",,,,,,,,,"0","0"
"Amador Transit","2020",,,,"1160026",,,,,"0","1160026"
"Amador-Tuolumne Community Action Agency","2020",,,,,,,,,"0","0"
"Amador Water Agency","2020",,,,"4951343",,,,,"0","4951343"
"Amber Lane Permanent Road Division (Shasta)","2020",,,,,,,,,"0","0"
"Amber Ridge Permanent Road Division No. 1848 (Shasta)","2020",,,,,,,,,"0","0"
"Ambrose Recreation and Park District","2020",,,,,,,,,"0","0"
"American Canyon Financing Authority","2020",,,,,,,,,"0","0"
"American Canyon Fire Protection District","2020",,"7709810",,,,,,,"0","7709810"
"American Hills Estates Permanent Road Division","2020",,,,,,,,,"0","0"
"American River Flood Control District","2020",,"4267487",,,,,,,"0","4267487"
"American Valley Community Services District","2020",,,,"985760",,,,,"0","985760"
"Amesbury Village Permanent Road Division No. 1907 (Shasta)","2020",,,,,,,,,"0","0"
"Anaheim Housing and Public Improvements Authority","2020",,,,,,,,,"0","0"
"Anaheim Public Financing Authority","2020",,,,,,,,,"0","0"
"Anaheim Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Anderson Cemetery District","2020",,,,,,,,,"0","0"
"Anderson-Cottonwood Irrigation District","2020",,,,,,,,,"0","0"
"Anderson Fire Protection District","2020",,"1499879",,,,,,,"0","1499879"
"Anderson Public Financing Authority","2020",,,,,,,,,"0","0"
"Anderson Springs Community Services District","2020",,,,,,,,,"0","0"
"Anderson Springs Lighting District","2020",,,,,,,,,"0","0"
"Anderson Valley Cemetery District","2020",,,,,,,,,"0","0"
"Anderson Valley Community Services District","2020",,,,,,,,,"0","0"
"Angels Camp Veterans Memorial District","2020",,,,,,,,,"0","0"
"Angels Public Financing Authority","2020",,,,,,,,,"0","0"
"Angiola Water District","2020",,,,,,,,,"0","0"
"Antelope-Black Mountain Cemetery District","2020",,,,,,,,,"0","0"
"Antelope Fire Protection District","2020",,,,,,,,,"0","0"
"Antelope Valley Air Quality Management District","2020",,,,,,,,,"0","0"
"Antelope Valley Cemetery District","2020",,,,,,,,,"0","0"
"Antelope Valley-East Kern Water Agency","2020",,,,,,,,,"0","0"
"Antelope Valley-East Kern Water Agency Financing Authority","2020",,,,,,,,,"0","0"
"Antelope Valley Healthcare District","2020",,,,"149744477",,,,,"0","149744477"
"Antelope Valley Mosquito and Vector Control District","2020",,"556294",,,,,,,"0","556294"
"Antelope Valley Resource Conservation District","2020",,,,,,,,,"0","0"
"Antelope Valley State Water Contractors Association","2020",,,,,,,,,"0","0"
"Antelope Valley Transit Authority","2020",,,,"1249556",,,,,"0","1249556"
"Antelope Valley Water District","2020",,,,,,,,,"0","0"
"Antioch Area Public Facilities Financing Agency","2020",,,,,,,,,"0","0"
"Apple Valley Fire Protection District","2020",,"15390013",,,,,,,"0","15390013"
"Apple Valley Foothill County Water District","2020",,,,,,,,,"0","0"
"Apple Valley Heights County Water District","2020",,,,,,,,,"0","0"
"Apple Valley Public Financing Authority","2020",,,,,,,,,"0","0"
"Aptos-La Selva Fire Protection Services","2020",,"16833268",,,,,,,"0","16833268"
"Aquatic Science Center","2020",,,,,,,,,"0","0"
"Arbuckle Cemetery District","2020",,,,,,,,,"0","0"
"Arbuckle-College City Fire Protection District","2020",,"610132",,,,,,,"0","610132"
"Arbuckle Park and Recreation District","2020",,,,,,,,,"0","0"
"Arbuckle Public Utility District","2020",,,,,,,,,"0","0"
"Arcade Creek Recreation and Park District","2020",,"263394",,,,,,,"0","263394"
"Arcata Fire Protection District","2020",,"5734896",,,,,,,"0","5734896"
"Arden Manor Recreation and Park District","2020",,,,,,,,,"0","0"
"Arden Park Recreation and Park District","2020",,,,,,,,,"0","0"
"Area 12 Agency on Aging","2020",,"1168343",,,,,,,"0","1168343"
