"entity_name","fiscal_year","type","form_table","category","subcategory","line_description","value","city_state","zip_code","row_number"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Labor","Operators Salaries and Wages","0","El Monte, CA","91731","202112871022"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Labor","Other Salaries and Wages","0","El Monte, CA","91731","202112871021"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Labor","Fringe Benefits","0","El Monte, CA","91731","202112871020"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Services","Services","0","El Monte, CA","91731","202112871019"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Materials and Supplies","Fuel and Lubricants","0","El Monte, CA","91731","202112871018"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Materials and Supplies","Tires and Tubes","0","El Monte, CA","91731","202112871017"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Materials and Supplies","Other Materials and Supplies","229163","El Monte, CA","91731","202112871016"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Utilities","Utilities","2275160","El Monte, CA","91731","202112871015"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Casualty and Liability Expenses","Casualty and Liability Expenses","6986717","El Monte, CA","91731","202112871014"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Taxes","Taxes","0","El Monte, CA","91731","202112871013"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Purchased Transportation","Purchased Transportation","131326873","El Monte, CA","91731","202112871012"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","ADA Expenses","ADA Expenses","0","El Monte, CA","91731","202112871011"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Depreciation","Depreciation","5022461","El Monte, CA","91731","202112871010"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Amortization of Intangibles","Amortization of Intangibles","534932","El Monte, CA","91731","202112871009"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Operating Expenses","Other Operating Expenses","Other Operating Expenses","10308086","El Monte, CA","91731","202112871008"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Interest Expense","Interest Expense","0","El Monte, CA","91731","202112871007"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Operating Lease Expenses","Operating Lease Expenses","1010235","El Monte, CA","91731","202112871006"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Capital Leases","Capital Leases","0","El Monte, CA","91731","202112871005"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Related Parties Lease Agreements","Related Parties Lease Agreements","0","El Monte, CA","91731","202112871004"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Voluntary Nonexchange Transactions","Voluntary Nonexchange Transactions","0","El Monte, CA","91731","202112871003"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Loss on Disposal of Capital Assets","Loss on Disposal of Capital Assets","0","El Monte, CA","91731","202112871002"
"Access Services for Los Angeles County CTSA - Specialized Service","2021","Expenditures","Statement of Revenues, Expenses, and Change in Fund Net Position","Nonoperating Expenses","Other Nonoperating Expenses","Other Nonoperating Expenses","14627306","El Monte, CA","91731","202112871001"
