"entity_name","entity_id","fiscal_year","actuarially_determined","contributions_in_relation","contribution_deficiency_excess","covered_employee_payroll","contributions_as_a_percentage"
"AC Transit Employees' Retirement Plan","7159","2020","56863000","56863000","0","183248000","31.03"
"Alameda County Employees' Retirement Association","7258","2020","298527000","298527000","0","1081587000","27.6"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","2020","16099900","20367897","-4267997","155267645","13.12"
"California State Teachers' Retirement System","7209","2020","10848901736","10512217952","336683784","36667626472","28.67"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","2020","0",,"0","0","0"
"City of Albany Police and Fire Relief Pension Fund","7219","2020","218723","218723","0","0","0"
"City of Berkeley Safety Members' Pension Fund","7220","2020",,,,"0","0"
"City of Concord Retirement System","7230","2020","2491000","2715000","-224000","0","0"
"City of Delano Employee Pension Plan","7235","2020","2175171","2449790","-274619","12489310","19.62"
"City of El Cerrito Employees' Pension Trust Fund","7225","2020","89205",,"89205","89205","0"
"City of Emeryville Pension Plan","7221","2020","100090","0","100090","0","0"
"City of Eureka Fire and Police Retirement System","7233","2020","0","0","0","0","0"
"City of Fresno Employees' Retirement System","7232","2020","16553928","16553928","0","149402670","11.08"
"City of Fresno Fire and Police Retirement System","7231","2020","22324019","22324019","0","113842558","19.61"
"City of Irvine Safety Defined Benefit Pension Plan","7243","2020","259491","262969","-3478","379486","69.3"
"City of Los Angeles Fire and Police Pension System","7236","2020","516638053","516638053","0","1509613198","34.22"
"City of Los Angeles Water and Power Employees' Retirement Plan","7238","2020","424375428","422017394","2358034","1130066141","37.34"
"City of Manhattan Beach Single Highest Year Retirement Plan","7240","2020","39271","39271","0","0","0"
"City of Manhattan Beach Supplemental Retirement Plan","7241","2020","10729","10729","0","0","0"
"City of Oakland Fire and Police Retirement System","7222","2020","43409000","43409000","0","0","0"
"City of Pasadena Fire and Police Retirement System","7239","2020",,,,"0","0"
"City of Piedmont Police and Fire Pension Plan","7224","2020",,,,"0","0"
"City of Richmond Garfield Pension Plan","7229","2020","0","0","0","0","0"
"City of Richmond General Pension Plan","7227","2020","469402","503714","-34312","0","0"
"City of Richmond Police and Firemen's Pension Plan","7228","2020","937004","937004","0","0","0"
"City of Sacramento City Employees' Retirement System","7245","2020","4410000","4410000","0","362000","1218.23"
"City of San Clemente Restated Employees' Retirement Plan","7244","2020","1512000","1512000","0","546000","276.92"
"City of San Jose Federated City Employees' Retirement System","7249","2020","181327000","181327000","0","319980000","56.67"
"City of San Jose Police and Fire Retirement Plan","7250","2020","188481000","188481000","0","230401000","81.81"
"City of Santa Barbara Police and Fire Pension Fund","7248","2020",,"435094","-435094","0","0"
"Contra Costa County Employees' Retirement Association","7259","2020","326716796","326716796","0","892379335","36.61"
"Contra Costa Water District Retirement Plan","7172","2020","7605731","9968974","-2363243","33246926","29.98"
"Desert Hospital Retirement Protection Plan","7398","2020","366275",,"366275","0","0"
"East Bay Municipal Utility District Employees' Retirement System","7168","2020","74033000","74033000","0","203541000","36.37"
"Fresno County Employees' Retirement Association","7260","2020","247474000","247474000","0","451525000","54.81"
"Golden Gate Transit District Amalgamated Retirement Plan","7144","2020","8516000","4927000","3589000","22247533","22.15"
"Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan","13131","2020","590793","355191","235602","2119576","16.76"
"Imperial County Employees' Retirement System","7261","2020","26378159","26378159","0","121949000","21.63"
"Judges' Retirement System I","7205","2020","414849000","243131000","171718000","22875000","1062.87"
"Judges' Retirement System II","7206","2020","91147000","91147000","0","352700000","25.84"
"Kaweah Delta Hospital District Employees' Retirement Plan","7149","2020","3465530","11400000","-7934470","0","0"
"Kern County Employees' Retirement Association","7262","2020","273909000","273909000","0","607695000","45.07"
"Legislators' Retirement System","7207","2020","98000","98000","0","278000","35.25"
"Long Beach Public Transportation Company Retirement Plan - Contract Employees","7198","2020","4357936","4357936","0","31946000","13.64"
"Long Beach Public Transportation Company Retirement Plan -  Salaried Employees","7199","2020","1596044","1596044","0","4589000","34.78"
"Los Angeles City Employees' Retirement System","7237","2020","553118173","553118173","0","2271038575","24.36"
"Los Angeles County Employees' Retirement Association","7263","2020","1800137446","1800137446","0","8724151151","20.63"
"Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan","9235","2020","1081544","1081544","0","1148513","94.17"
"Los Angeles County Transportation Authority Maintenance Employees' Retirement System","7161","2020","30968210","31843826","-875616","178697000","17.82"
"Los Angeles County Transportation Authority Non-Contract Employees' Retirement System","7162","2020","2849165","2849165","0","2846262","100.1"
"Los Angeles County Transportation Authority SMART - TD Retirement","7163","2020","23033540","23033540","0","215390143","10.69"
"Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System","7160","2020","8591824","8591824","0","49491287","17.36"
"Marin County Employees' Retirement Association","7264","2020","75643074","75643074","0","264730129","28.57"
"Mendocino County Employees' Retirement Association","7265","2020","24647132","24647132","0","72040768","34.21"
"Merced County Employees' Retirement Association","7266","2020","67413475","67413475","0","135618404","49.71"
"Modesto Irrigation District Basic Retirement Plan","7186","2020","18261141","75862042","-57600901","42193024","179.8"
"Orange County Employees' Retirement System","7267","2020","583057000","653793000","-70736000","1783054000","36.67"
"Public Agency Retirement System Defined Benefit Plans","7215","2020","420821","420821","0","0","0"
"Public Employees' Retirement Fund (PERF) A","12892","2020","0","0","0","0","0"
"Public Employees' Retirement Fund (PERF) B","12893","2020","2759835000","3663835000","-904000000","14447159000","25.36"
