"row_id","site_name","operator","address_1","address_2","city","province","postal_code","accommodation_type","accommodation_subtype","units","visit_date","visit_type","visit_result","standard","substandard","standard_description","non_compliance_original_issue_date","action_required_by_date","non_compliance_current_status","current_status_as_of_date","latitude","longitude","location","map_url","geometry_point"
"SPRUCE GROVE-600 King Street-GROVE MANOR-Supportive Living Accommodation-Assisted Living Accommodation-71-Inspection Visit-31-1-20130819-20130819-20130930","GROVE MANOR","ST. MICHAEL'S GROVE MANOR","600 King Street",,"SPRUCE GROVE","Alberta","T7X4J8","Supportive Living Accommodation","Assisted Living Accommodation","71.0","2013-08-19T00:00:00.000","Inspection Visit","Non-Compliant","31.0","1.0","Completion of criminal record checks","2013-08-19T00:00:00.000","2013-09-30T00:00:00.000","Compliant","2013-08-28T00:00:00.000","53.556416","-113.89489","
,  
(53.556416, -113.89489)","Map URL (https://www.google.com/maps/place/53.556416,-113.89489)","POINT (-113.89489 53.556416)"
"EDMONTON-8403 142 Street-CANTERBURY COURT-Supportive Living Accommodation-Assisted Living Accommodation-165-Inspection Visit-.-.-20200114-.-.","CANTERBURY COURT","CANTERBURY FOUNDATION","8403 142 Street",,"EDMONTON","Alberta","T5R4L3","Supportive Living Accommodation","Assisted Living Accommodation","165.0","2020-01-14T00:00:00.000","Inspection Visit","Compliant",".",".",".",,,".",,"53.5160344","-113.5648871","
,  
(53.5160344, -113.5648871)","Map URL (https://www.google.com/maps/place/53.5160344,-113.5648871)","POINT (-113.5648871 53.5160344)"
"EDMONTON-9526 103 Avenue-EDMONTON PEOPLE IN NEED SHELTER SOCIETY-Supportive Living Accommodation-Assisted Living Accommodation-16-Inspection Visit-.-.-20130403-.-.","EDMONTON PEOPLE IN NEED SHELTER SOCIETY","EDMONTON PEOPLE IN NEED SHELTER SOCIETY","9526 103 Avenue",,"EDMONTON","Alberta","T5H0G9","Supportive Living Accommodation","Assisted Living Accommodation","16.0","2013-04-03T00:00:00.000","Inspection Visit","Compliant",".",".",".",,,".",,"53.5470236","-113.4812928","
,  
(53.5470236, -113.4812928)","Map URL (https://www.google.com/maps/place/53.5470236,-113.4812928)","POINT (-113.4812928 53.5470236)"
"STONY PLAIN-67 Umbach Road-UMBACH HOME-Supportive Living Accommodation-Group Home-4-Consultation-.-.-20200331-.-.","UMBACH HOME","REHOBOTH CHRISTIAN MINISTRIES ASSOCIATION","67 Umbach Road",,"STONY PLAIN","Alberta","T7Z1G1","Supportive Living Accommodation","Group Home","4.0","2020-03-31T00:00:00.000","Consultation","Compliant",".",".",".",,,".",,"53.530512","-113.988492","
,  
(53.530512, -113.988492)","Map URL (https://www.google.com/maps/place/53.530512,-113.988492)","POINT (-113.988492 53.530512)"
"EDMONTON-8815 - 99 Street-CATHOLIC SOCIAL SERVICES - ST. CECILIA'S-Supportive Living Accommodation-Assisted Living Accommodation-12-Inspection Visit-.-.-20141020-.-.","CATHOLIC SOCIAL SERVICES - ST. CECILIA'S","CATHOLIC SOCIAL SERVICES","8815 - 99 Street",,"EDMONTON","Alberta","T6E3V3","Supportive Living Accommodation","Assisted Living Accommodation","12.0","2014-10-20T00:00:00.000","Inspection Visit","Compliant",".",".",".",,,".",,"53.524238","-113.48568","
,  
(53.524238, -113.48568)","Map URL (https://www.google.com/maps/place/53.524238,-113.48568)","POINT (-113.48568 53.524238)"
"LEDUC-4309 50 Street-EXTENDICARE LEDUC-Long Term Care Accommodation-.-79-Inspection Visit-.-.-20190808-.-.","EXTENDICARE LEDUC","EXTENDICARE (CANADA) INC.","4309 50 Street","Box 280","LEDUC","Alberta","T9E6K6","Long Term Care Accommodation",".","79.0","2019-08-08T00:00:00.000","Inspection Visit","Compliant",".",".",".",,,".",,"53.2568832","-113.5508748","
,  
(53.2568832, -113.5508748)","Map URL (https://www.google.com/maps/place/53.2568832,-113.5508748)","POINT (-113.5508748 53.2568832)"
"EDMONTON-10015 103 Avenue-CHURCHILL RETIREMENT COMMUNITY (THE)-Supportive Living Accommodation-Assisted Living Accommodation-118-Follow-Up Visit-14-5-20180125-20170831-20180228","CHURCHILL RETIREMENT COMMUNITY (THE)","HCN-REVERA LESSEE (THE CHURCHILL) GP INC.","10015 103 Avenue",,"EDMONTON","Alberta","T5J0H1","Supportive Living Accommodation","Assisted Living Accommodation","118.0","2018-01-25T00:00:00.000","Follow-Up Visit","Non-Compliant","14.0","5.0","Record of meals served","2017-08-31T00:00:00.000","2018-02-28T00:00:00.000","Compliant","2018-01-29T00:00:00.000","53.5451776","-113.4917562","
,  
(53.5451776, -113.4917562)","Map URL (https://www.google.com/maps/place/53.5451776,-113.4917562)","POINT (-113.4917562 53.5451776)"
"EDMONTON-18929 99A Avenue-CASTLEWOOD CARE HOMES INC.-Supportive Living Accommodation-Group Home-6-Follow-Up Visit-13-1-20170911-20170803-20171130","CASTLEWOOD CARE HOMES INC.","CASTLEWOOD CARE HOMES INC.","18929 99A Avenue",,"EDMONTON","Alberta","T5T3M9","Supportive Living Accommodation","Group Home","6.0","2017-09-11T00:00:00.000","Follow-Up Visit","Non-Compliant","13.0","1.0","Quality and quantity of food, communication of menu/times","2017-08-03T00:00:00.000","2017-11-30T00:00:00.000","Compliant","2017-11-07T00:00:00.000","53.5353566","-113.6504945","
,  
(53.5353566, -113.6504945)","Map URL (https://www.google.com/maps/place/53.5353566,-113.6504945)","POINT (-113.6504945 53.5353566)"
"STONY PLAIN-4808 57 Avenue-GOOD SAMARITAN SOCIETY GEORGE HENNIG PLACE-Supportive Living Accommodation-Assisted Living Accommodation-30-Inspection Visit-21-2-20160413-20160413-20160630","GOOD SAMARITAN SOCIETY GEORGE HENNIG PLACE","THE GOOD SAMARITAN SOCIETY (A LUTHERAN SOCIAL SERVICE ORGANIZATION)","4808 57 Avenue",,"STONY PLAIN","Alberta","T7Z2J9","Supportive Living Accommodation","Assisted Living Accommodation","30.0","2016-04-13T00:00:00.000","Inspection Visit","Non-Compliant","21.0","2.0","Training, maintenance and risk mitigation to ensure safe water temperatures","2016-04-13T00:00:00.000","2016-06-30T00:00:00.000","Compliant","2016-06-13T00:00:00.000","53.52015","-114.002856","
,  
(53.52015, -114.002856)","Map URL (https://www.google.com/maps/place/53.52015,-114.002856)","POINT (-114.002856 53.52015)"
"RADWAY-Hwy 28, Range Road 205-RADWAY CONTINUING CARE CENTRE-Long Term Care Accommodation-.-28-Mini Inspection Visit-16-2-20170202-20170202-20170831","RADWAY CONTINUING CARE CENTRE","ALBERTA HEALTH SERVICES","Hwy 28, Range Road 205",,"RADWAY","Alberta","T0A2V0","Long Term Care Accommodation",".","28.0","2017-02-02T00:00:00.000","Mini Inspection Visit","Non-Compliant","16.0","2.0","Practicability, communication and review of plans","2017-02-02T00:00:00.000","2017-08-31T00:00:00.000","Compliant","2017-12-06T00:00:00.000","54.059704","-112.951809","
,  
(54.059704, -112.951809)","Map URL (https://www.google.com/maps/place/54.059704,-112.951809)","POINT (-112.951809 54.059704)"
"EDMONTON-12510 140 Avenue-SALVATION ARMY - GRACE MANOR-Supportive Living Accommodation-Assisted Living Accommodation-100-Complaint-.-.-20190429-.-.","SALVATION ARMY - GRACE MANOR","THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA","12510 140 Avenue",,"EDMONTON","Alberta","T5X6C4","Supportive Living Accommodation","Assisted Living Accommodation","100.0","2019-04-29T00:00:00.000","Complaint","Compliant",".",".",".",,,".",,"53.60339","-113.536955","
,  
(53.60339, -113.536955)","Map URL (https://www.google.com/maps/place/53.60339,-113.536955)","POINT (-113.536955 53.60339)"
"EDMONTON-18929 99A Avenue-CASTLEWOOD CARE HOMES INC.-Supportive Living Accommodation-Group Home-6-Complaint-13-1-20170803-20170803-20170831","CASTLEWOOD CARE HOMES INC.","CASTLEWOOD CARE HOMES INC.","18929 99A Avenue",,"EDMONTON","Alberta","T5T3M9","Supportive Living Accommodation","Group Home","6.0","2017-08-03T00:00:00.000","Complaint","Non-Compliant","13.0","1.0","Quality and quantity of food, communication of menu/times","2017-08-03T00:00:00.000","2017-08-31T00:00:00.000","Compliant","2017-11-07T00:00:00.000","53.5353566","-113.6504945","
,  
(53.5353566, -113.6504945)","Map URL (https://www.google.com/maps/place/53.5353566,-113.6504945)","POINT (-113.6504945 53.5353566)"
"EDMONTON-9524 104 Avenue-URBAN MANOR HOUSING SOCIETY-Supportive Living Accommodation-Assisted Living Accommodation-75-Consultation-.-.-20200401-.-.","URBAN MANOR HOUSING SOCIETY","URBAN MANOR HOUSING SOCIETY","9524 104 Avenue",,"EDMONTON","Alberta","T5H0J2","Supportive Living Accommodation","Assisted Living Accommodation","75.0","2020-04-01T00:00:00.000","Consultation","Compliant",".",".",".",,,".",,"53.548775","-113.482063","
,  
(53.548775, -113.482063)","Map URL (https://www.google.com/maps/place/53.548775,-113.482063)","POINT (-113.482063 53.548775)"
