"name","primary","minor_category","address","city","province","country","phone_no","email_add","website","latitude","longitude","location","geometry_point"
"Edmonton Immigrant Services Association","Housing/Shelter",,"#201 10720 - 113 Street","Edmonton","Alberta","Canada","780-474-8445","youthprograms@shawbiz.ca","http://www.eisa-edmonton.org","53.551841","-113.51578","
,  
(53.551841, -113.51578)","POINT (-113.51578 53.551841)"
"Catholic Social Services","Addictions","Family","8815 99 Street","Edmonton","Alberta","Canada","780-471-1122",,"http://www.catholicsocialservices.ab.ca","53.523721","-113.486081","
,  
(53.523721, -113.486081)","POINT (-113.486081 53.523721)"
"E4C","Food/Clothing","Housing/Shelter","9321 Jasper Avenue","Edmonton","Alberta","Canada",,"staff.xroadshouse@e4calberta.org","http://www.e4calberta.org/","53.546822","-113.477096","
,  
(53.546822, -113.477096)","POINT (-113.477096 53.546822)"
"Strathcona County Family & Community Services","Family","Counselling","#200 501 Festival Avenue","Sherwood Park","Alberta","Canada","780-464-4044",,"http://www.strathcona.ca/youthfamilyandcommunity@strathcona.ab.ca","53.52792","-113.295739","
,  
(53.52792, -113.295739)","POINT (-113.295739 53.52792)"
"Protection of Sexually Exploited Children","Abuse","Violence","9939 - 107 Street","Edmonton","Alberta","Canada","780-422-4820",,"http://www.child.alberta.ca/home/533.cfm","53.538192","-113.504758","
,  
(53.538192, -113.504758)","POINT (-113.504758 53.538192)"
"Oteenow Employment","Aboriginal","Employment","14021 Victoria Trail","Edmonton","Alberta","Canada","780-423-2340","oec@oteenow.com","http://www.oteenow.com","53.60424","-113.385231","
,  
(53.60424, -113.385231)","POINT (-113.385231 53.60424)"
"Terwillegar Community Recreation Center","Volunteer",,"2051 Leger Road","Edmonton","Alberta","Canada","311","311@edmonton.ca","http://www.edmonton.ca/attractions_recreation/sport_recreation/terwillegar-community-recreation-centre.aspx","53.460465","-113.575885","
,  
(53.460465, -113.575885)","POINT (-113.575885 53.460465)"
"Chimo Youth Retreat Centre","Addictions","Employment","#103 10585 - 111 Street","Edmonton","Alberta","Canada","780-420-0324",,"http://www.cyrc.ab.ca","53.549469","-113.512101","
,  
(53.549469, -113.512101)","POINT (-113.512101 53.549469)"
"Mill Woods Family Resource Centre","Family","Recreation/Drop-In","5704 - 19A Avenue","Edmonton","Alberta","Canada","780-413-4521","info@mwfrc.org","http://www.mwfrc.org","53.450694","-113.428461","
,  
(53.450694, -113.428461)","POINT (-113.428461 53.450694)"
"Spruce Grove Family & Community Support Services","Family","Counselling","#105 505 Queen Street","Spruce Grove","Alberta","Canada","780-482-0198","fcss@sprucegrove.org","http://www.sprucegrove.org/youth","53.545444","-113.905788","
,  
(53.545444, -113.905788)","POINT (-113.905788 53.545444)"
"Jasper Place Recreation Center","Volunteer",,"9200 163 Street","Edmonton","Alberta","Canada","311","311@edmonton.ca","http://www.edmonton.ca/attractions_recreation/sport_recreation/jasper-place-fitness-and-leisure-centre.aspx","53.526871","-113.602709","
,  
(53.526871, -113.602709)","POINT (-113.602709 53.526871)"
"Uncles and Aunts at Large Society","Counselling","Family","11031 - 124 Street","Edmonton","Alberta","Canada","780-452-5791",,"http://www.unclesatlarge.ab.ca","53.557805","-113.535921","
,  
(53.557805, -113.535921)","POINT (-113.535921 53.557805)"
"Herb Jamieson Shelter for Men","Housing/Shelter",,"10014 - 105A Avenue","Edmonton","Alberta","Canada","780-429-3470","bruce.reith@hopemission.com","http://www.hopemission.com/services/men/","53.548809","-113.492188","
,  
(53.548809, -113.492188)","POINT (-113.492188 53.548809)"
"Metis Child and Family Services Society","Aboriginal","Family","10437 - 123 Street","Edmonton","Alberta","Canada","780-452-6100",,"http://www.metischild.com","53.547035","-113.534108","
,  
(53.547035, -113.534108)","POINT (-113.534108 53.547035)"
"Partners for Kids and Youth","Abuse","Family","#218  3210 - 118 Avenue","Edmonton","Alberta","Canada","780-471-1251",,"http://www.casaservices.org/","53.570438","-113.390992","
,  
(53.570438, -113.390992)","POINT (-113.390992 53.570438)"
