"office","ward","financial_statement_type","candidate_name","donor","address","city","province","donation"
"Mayor",,"Disclosure","Kerry Diotte","Aurum Industrial Development Partnership","777 Heritage Drive SE","Calgary","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Calgary","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Walton Development & Management LP","22nd Floor, 605 5th Ave SW","Calgary","AB","5000"
"Mayor",,"Disclosure","Kerry Diotte","Northern Premier Investments Ltd","305, 1822 10th Ave SW","Calgary","AB","500"
"Mayor",,"Disclosure","Kerry Diotte",,,"Innisfail","AB","5000"
"Mayor",,"Disclosure","Kerry Diotte",,,"Edmonton","AB","120"
"Mayor",,"Disclosure","Kerry Diotte","Filing Store Inc","6633 118 Ave","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte",,,"Edmonton","AB","200"
"Mayor",,"Disclosure","Kerry Diotte",,,"Edmonton","AB","200"
"Mayor",,"Disclosure","Kerry Diotte",,,"Edmonton","AB","300"
"Mayor",,"Disclosure","Kerry Diotte",,,"Edmonton","AB","599"
"Mayor",,"Disclosure","Kerry Diotte","Tellurion Solutions","11849 94 Str NW","Edmonton","AB","150"
"Mayor",,"Disclosure","Kerry Diotte","Airco Aircraft Charters Ltd","Building #6, 11930 109 Str","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Chateau Louis","11727 Kingsway","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Edmonton","AB","500"
"Mayor",,"Disclosure","Kerry Diotte","MLC Group Inc","1000, 10104 103 Ave NW","Edmonton","AB","3500"
"Mayor",,"Disclosure","Kerry Diotte","MLC Land Company Inc","Ste 1000, 10104-103 Ave","Edmonton","AB","2000"
"Mayor",,"Disclosure","Kerry Diotte","Canterra Developments Corp","1820, 10104 103 Ave NW","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Palisades Land Company Inc","1000, 10104 103 Ave NW","Edmonton","AB","250"
"Mayor",,"Disclosure","Kerry Diotte","Walker Lakes East Ltd.","1000, 10104 103 Ave NW","Edmonton","AB","250"
"Mayor",,"Disclosure","Kerry Diotte","Brookfield Residential (Alberta) LP","200, 10414 103 Ave NW","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Edmonton","AB","2000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Edmonton","AB","125"
"Mayor",,"Disclosure","Kerry Diotte","ParioPlan Inc","605, 10080 Jasper Ave NW","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Melcor Developments Ltd","#900, 10310 Jasper Ave","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","United Communities LP Edmonton Land","Ste 503, 10109 106 Str","Edmonton","AB","2000"
"Mayor",,"Disclosure","Kerry Diotte","Dundee Realty Corporation","Ste 1550, 10250-101 Str","Edmonton","AB","5000"
"Mayor",,"Disclosure","Kerry Diotte","Chadi & Company Barristers & Solicitors","1901 Tower Two, Scotia Place, 10060 Jasper Ave","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Chadi Land Company Inc","Suite 2151, Scotia Place, 10060 Jasper Ave","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Canada ICI Capital Corporation","3540, 10180 101 Str","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Yorkton Group International Ltd","2430 Manulife Place, 10108-101 Str","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Parker Ford & MacKay Speciality Opticians Ltd","10665 Jasper Ave","Edmonton","AB","5000"
"Mayor",,"Disclosure","Kerry Diotte","Duncan Craig LLP","2800 Scotia Place, 10060 Jasper Ave NW","Edmonton","AB","500"
"Mayor",,"Disclosure","Kerry Diotte","Atrium Energy Park","300 Manulife Place 10180 101 Str NW","Edmonton","AB","1000"
"Mayor",,"Disclosure","Kerry Diotte","Named Individual",,"Edmonton","AB","500"
