"row_id","issue_date","permit_number","permit_date","year","month_number","job_category","job_description","building_type","work_type","construction_value","floor_area","units_added","address","legal_description","zoning","neighbourhood_numberr","neighbourhood","count","latitude","longitude","location","geometry_point"
"1-115553328","2013-05-09T00:00:00.000",,"2013-05-09T00:00:00.000","2013","5","Commercial Final",,"Storage Buildings, Warehouses (460)","(01) New","800","190","0","11025 - 84 STREET NW","Plan RN61 Blk 4 Lot 6","RA9","1070","CROMDALE","1","53.55892886441337","-113.47034722981631","
,  
(53.55892886441337, -113.47034722981631)","POINT (-113.47034722981631 53.55892886441337)"
"3-121065952","2012-04-03T00:00:00.000",,"2012-04-03T00:00:00.000","2012","4","Other Miscellaneous Building","To construct a temporary breezeway between lots (7603-22 ave SW and 7607-22 ave SW)","Single Detached House (110)","(02) Addition","5000","336","0","7607 - 22 AVENUE SW","Plan 1123646 Blk 53 Lot 9","RPL","6213","SUMMERSIDE","1","53.412269439744335","-113.45600629176481","
,  
(53.412269439744335, -113.45600629176481)","POINT (-113.45600629176481 53.412269439744335)"
"1-123025226","2012-04-03T00:00:00.000",,"2012-04-03T00:00:00.000","2012","4","Other Miscellaneous Building","To demolish a Single Detached House.","Single Detached House (110)","(99) Demolition","2000","750","-1","11318 - 95A STREET NW","Plan RN43 Blk 15 Lot 25","RF3","1010","ALBERTA AVENUE","1","53.56330338748796","-113.48909111923636","
,  
(53.56330338748796, -113.48909111923636)","POINT (-113.48909111923636 53.56330338748796)"
"3-111901305","2011-07-12T00:00:00.000",,"2011-07-12T00:00:00.000","2011","7","Mobile Home Move On","To move on a mobile home",,,"5000",,"0","195 - LEE RIDGE ROAD NW","Plan 2544TR Blk 23 Lot 74","RMH","6400","LEE RIDGE","1","53.46636191278941","-113.44906129810347","
,  
(53.46636191278941, -113.44906129810347)","POINT (-113.44906129810347 53.46636191278941)"
"2-230673343","2016-10-12T00:00:00.000",,"2016-10-12T00:00:00.000","2016","10","Mobile Home Move On","To move on a Mobile House.",,,"5000",,"0","56, 12604 - 153 AVENUE NW","Plan 7920458 Blk 50 Lot 213","RMH","3180","DUNLUCE","1","53.61896293461554","-113.53909857401956","
,  
(53.61896293461554, -113.53909857401956)","POINT (-113.53909857401956 53.61896293461554)"
"0-111624389","2011-06-07T00:00:00.000",,"2011-06-07T00:00:00.000","2011","6","Accessory Building Combination","To construct a shed (16ft X 16ft)","Shed (040)","(01) New","2944",,"0","4211 - 30 AVENUE NW","Plan 8021675 Blk 47 Lot 14",,"6030","BISSET","1","53.460562048421004","-113.40408402540207","
,  
(53.460562048421004, -113.40408402540207)","POINT (-113.40408402540207 53.460562048421004)"
"0-156215337","2014-06-24T00:00:00.000",,"2014-06-24T00:00:00.000","2014","6","House Combination",,"Single Detached House (110)","(01) New","303810","1599","1","616 - 40 AVENUE NW","Plan 1224110 Blk 7 Lot 14","RPL","6441","MAPLE","1","53.47780592442123","-113.35287864137189","
,  
(53.47780592442123, -113.35287864137189)","POINT (-113.35287864137189 53.47780592442123)"
"0-158161059","2014-08-13T00:00:00.000",,"2014-08-13T00:00:00.000","2014","8","House Combination",,"Single Detached House (110)","(01) New","644480","3392","1","642 - HOWATT DRIVE SW","Plan 1324082 Blk 2 Lot 19","RSL","5465","HAYS RIDGE AREA","1","53.41971678979664","-113.56877179342402","
,  
(53.41971678979664, -113.56877179342402)","POINT (-113.56877179342402 53.41971678979664)"
"0-314127543","2019-06-26T00:00:00.000",,"2019-06-26T00:00:00.000","2019","6","Home Improvement","To install a Hot Tub.","Single Detached House (110)",,,,,"13912 - 85 STREET NW","Plan 6689NY Blk 4 Lot 24","RF1","2580","NORTHMOUNT","1","53.602133709260414","-113.47120113880088","
,  
(53.602133709260414, -113.47120113880088)","POINT (-113.47120113880088 53.602133709260414)"
"0-299169796","2018-12-19T00:00:00.000",,"2018-12-19T00:00:00.000","2018","12","Home Improvement","To demolish a Single Detached House.",,,,,,"5602 - 109 STREET NW","Plan 239HW Blk 4 Lot 8","RF1","5320","PLEASANTVIEW","1","53.4932966113244","-113.51241446822792","
,  
(53.4932966113244, -113.51241446822792)","POINT (-113.51241446822792 53.4932966113244)"
"0-286885186","2018-07-06T00:00:00.000",,"2018-07-06T00:00:00.000","2018","7","Home Improvement","To demolish a detached Garage.",,,,,,"11346 - 75 AVENUE NW","Plan N727HW Blk 3 Lot 12","RF3","5290","MCKERNAN","1","53.511580926636945","-113.52544910387856","
,  
(53.511580926636945, -113.52544910387856)","POINT (-113.52544910387856 53.511580926636945)"
"5-48307199","2010-06-17T00:00:00.000",,"2010-06-17T00:00:00.000","2010","6","Commercial Final","To erect a temporary special events tent (40' x 90') from June 21 - July 19, 2010 for the ""Works Festival"" and ""Edmonton International Street Performers Festival"".","Temporary Structures (999)","(01) New","5000",,"0","1 - SIR WINSTON CHURCHILL SQUARE NW","Plan 4390NY Blk C","CCA","1090","DOWNTOWN","1","53.545356369857075","-113.49017912894836","
,  
(53.545356369857075, -113.49017912894836)","POINT (-113.49017912894836 53.545356369857075)"
"0-152673654","2014-04-23T00:00:00.000",,"2014-04-23T00:00:00.000","2014","4","Commercial Final","To Construct interior alteration to existing Office Building (Tenant Imporovment of Unit 204- new offices and 1 bathroom)","Office Buildings (520)","(03) Interior Alterations","30000","1217","0","204, 4918 - ROPER ROAD NW","Condo Common Area (Plan 1320795)","IB","6590","PYLYPOW INDUSTRIAL","1","53.49598827797616","-113.41630526930912","
,  
(53.49598827797616, -113.41630526930912)","POINT (-113.41630526930912 53.49598827797616)"
"1-84957102","2009-05-11T00:00:00.000",,"2009-05-11T00:00:00.000","2009","5","Commercial Final","To change a portion of an industrial/ PFO building to a retail store (186 sq m  ""Summerside Asian Market"")","Malls, Office/Retail (512)","(03) Interior Alterations","40000","2000","0","2319 - ELLWOOD DRIVE SW","Plan 0723749 Unit 3","EIB","6214","ELLERSLIE INDUSTRIAL","1","53.43042738204872","-113.47086376528442","
,  
(53.43042738204872, -113.47086376528442)","POINT (-113.47086376528442 53.43042738204872)"
