"named_place","location_description","location_type","year","name_origin","latitude","longitude","location"
"Arrowhead Trail","From 76 Avenue to 87 Avenue west of 172 Street","Walkway","1969","The name of this trail, a major walkway in the Thorncliff neighbourhood, reflects the theme of most of Edmonton’s walkways, which are named for prominent Aboriginal people or have a relationship with Aboriginal heritage. Arrowheads, the pointed part of arrows, were made separately from the shaft and were often made of flint. Arrowhead Trail is one of a number of trail names approved between 1969 and 1971","53.519275","-113.619683","(53.519275, -113.619683)"
"Bearspaw","10 Avenue to 17 Avenue, Calgary Trail west to Blackmud Creek","Neighbourhood","1978","Chief Masgwaahsid (Bear’s Paw) of the Stoney Band was born about 1835. He signed Treaty No. 7 at Blackfoot Crossing on September 22, 1877. It was Bear’s Paw’s authority that averted an armed confrontation when negotiations leading to the signing of this treaty were being conducted beside the Bow River. Neighbourhood names in the Kaskitayo area honour Aboriginal leaders.","53.442379","-113.50085","(53.442379, -113.50085)"
"Bearspaw Drive East","South of 19 Avenue, east of 109 Street","Road","1979","Please see Bearspaw","53.446136","-113.504648","(53.446136, -113.504648)"
"Bearspaw Drive West","South of 19 Avenue, west of 109 Street","Road","1979","Please see Bearspaw","53.445548","-113.511708","(53.445548, -113.511708)"
"Beaver Hills House Park","10404 Jasper Avenue","Park","1977","The Devonian Foundation donated 0.53 hectares of land for this downtown neighbourhood park and named it Beaver Hills House Park. The name comes from the Cree word amiskwaskahegan, which refers to Fort Edmonton’s proximity to the Beaver Hills, east of present-day Edmonton.","53.541072","-113.500743","(53.541072, -113.500743)"
"Big Bear Park","1312 109 Street","Park","1986","This 1.74-hectares park in the Bearspaw neighbourhood honours the life of Plains Cree Chief Mistahimaskwa “Big Bear” (c. 1825-1888). By the 1870s, Big Bear, who had been born in what is now Saskatchewan, was a leader of his people. In 1876 he refused to sign Treaty No. 6 because he believed it would destroy his people’s way of life. By 1882, however, the threat of starvation finally forced him to submit to the treaty, and with it, to accept the forced relocation of Aboriginal people onto reserves. He was later blamed for the Frog Lake Massacre of 1885. Despite his innocence, Big Bear surrendered at Fort Carleton and faced treason charges. He was found guilty and sentenced to three years at Stony Mountain Penitentiary. Big Bear served two years of his term before being released because of ill health. He returned to the Poundmaker Reserve where he died the following year.","53.444462","-113.507888","(53.444462, -113.507888)"
"Big Miller Park","11 Tommy Banks Way","Park","2001","Award-winning jazz trombonist, blues singer and educator Clarence Horatio “Big” Miller (1922-1992) helped found the Edmonton Jazz City Festival and was considered one of the most acclaimed bluesmen in Canada. Miller, the son of a Sioux father and a mother who was the descendant of a black slave, was born at Sioux City, Iowa. A mix of bad luck and unexpected opportunities led to his becoming a proud Canadian citizen in 1973. It was during a tour of Canada in the late 1960s that Miller became stranded in Vancouver. The show he was performing with ran out of money and he was forced to find work in order to pay his way home. One of the gigs he took was at Tommy Banks’ Embers Club in Edmonton. Embraced by the local music community, Miller made several return engagements, eventually staying and becoming an Edmontonian. He went on to make major contributions to not only the city music scene but provincially, through teaching. Over the course of his 50-year career, Miller performed with some of the world’s greatest jazz musicians, including Miles Davis, Wynton Marsalis, Lionel Hampton, Duke Ellington, Count Basie and Woody Herman. He toured internationally and was a regular performer at Switzerland’s prestigious Montreux Jazz Festival. In 1979 Miller won a Juno for Jazz Canada Montreux 1978, a live album recorded with the Tommy Banks Orchestra. Among his other albums are Live From Calgary (1982), Big Miller and the Blues Machine: Live at Athabasca University (1990) and The Last of the Blues Shouters (1992), recorded in Southampton, England. The National Film Board of Canada recognized Miller’s work with the 1980 biographical film Big and the Blues. In 1985 Miller received an honorary doctorate of humanities from Athabasca University in recognition of his teaching of jazz, blues and gospel music. In addition to his busy performing schedule, Miller taught at the Banff School of Fine Arts, Grant MacEwan College and schools throughout Alberta.","53.521217","-113.495132","(53.521217, -113.495132)"
"Blackmud Creek","West of Calgary Trail","Creek","1998","The creek flows, within the city limits, into Whitemud Creek near 130 Street and 23 Avenue. Whitemud Creek, in turn, flows into the North Saskatchewan River. The name, noted as early as 1882, is a translation of the creek’s original Cree name, kaskitewâw asiskîy. Also Blackmud Creek Neighbourhood (1999); Blackmud Creek Bridge (1996); Blackmud Creek Crescent (1999); Blackmud Creek Drive (2000); and Blackmud Creek Ravine.","53.449344","-113.530054","(53.449344, -113.530054)"
"Blackmud Creek Bridge ","Spanning the Blackmud Creek at 111 Street","Bridge","1996","Please see Blackmud Creek.","53.445292","-113.516686","(53.445292, -113.516686)"
"Blackmud Creek Crescent ","South of Ellerslie Road, west of Calgary Trail","Road","1999","Please see Blackmud Creek.","53.418472","-113.508017","(53.418472, -113.508017)"
"Blackmud Creek Drive ","South of Ellerslie Road, west of Calgary Trail","Road","2000","Please see Blackmud Creek.","53.420339","-113.51042","(53.420339, -113.51042)"
