"dataset_link","public","domain","type","name","description","visits","keywords","downloads","publication_stage","data_provided_by","coordinate_system","internal_or_external","api_endpoint","datum","update_frequency","date_created"
"https://data.edmonton.ca/d/4fkf-qvva","true","data.edmonton.ca","dataset","Recreation Facilities Drop - In Programs (14 day)","Recreation Facilities Drop - In Programs (14 day)","1794","recreation,facilities,leisure","755770","published","City of Edmonton",,,"https://data.edmonton.ca/resource/4fkf-qvva.json",,"When Necessary",
"https://data.edmonton.ca/d/4vt2-8zrq","true","data.edmonton.ca","dataset","ETS Bus Schedule GTFS Data Feed - Stops","List of all transit bus stops in Edmonton","4063","bus stops,transit,ets,gtfs","256206","published","City of Edmonton","Geographic",,"https://data.edmonton.ca/resource/4vt2-8zrq.json","NAD83",,
"https://data.edmonton.ca/d/ctwr-tvrd","true","data.edmonton.ca","dataset","ETS Bus Schedule GTFS Data Feed - Trips","This dataset lists all trips and their routes in Edmonton. A trip is a sequence of two or more stops that occurs at specific time.","4877","bus trip,ets,transit,gtfs","189925","published","City of Edmonton",,,"https://data.edmonton.ca/resource/ctwr-tvrd.json",,"Every Friday 03:00 AM",
"https://data.edmonton.ca/d/7gh5-bnbs","true","data.edmonton.ca","dataset","Residential Snow Clearing Schedule (Deprecated)","A list of all City of Edmonton transportation maintenance areas and the date on which each is scheduled for residential snow clearing.  Does NOT include arterials or major routes.

Please contact 311@edmonton.ca for further details and/or explanations.","156226","snow removal,schedule,plow,clearing","92600","published","City of Edmonton","LL-WGS84","Internally Sourced Data ","https://data.edmonton.ca/resource/7gh5-bnbs.json",,"X times per day","November 17, 2011"
"https://data.edmonton.ca/d/k4tx-5k8p","true","data.edmonton.ca","dataset","Traffic Disruptions","This dataset provides information about what's happening on Edmonton's roads that could impact your drive, including: 
Major road closures and detours, Road construction, Travel delays and special events that impact traffic.","21097","construction,traffic,detours,travel delays","58369","published","City of Edmonton","LL-WGS84","Internally Sourced Data ","https://data.edmonton.ca/resource/k4tx-5k8p.json",,"X times per day",
"https://data.edmonton.ca/d/24uj-dj8v","true","data.edmonton.ca","dataset","General Building Permits","List of issued building permits from the City of Edmonton - Sustainable Development Department for the public to do construction or maintenance on a structure located in the City. Note - All records start from January 1, 2009.
Please note : the decision was made to not release applicant information on this dataset as it was seen as a potential privacy issue. For instance, if a high profile member of the public were to apply for a permit, their name (and consequently address) would show up on this table and become easily searchable by the public.  We viewed this as a potential issue and decided to publish the dataset without applicant information.","42967","building permits","18806","published","City of Edmonton","LL-WGS84",,"https://data.edmonton.ca/resource/24uj-dj8v.json","NAD 83","Daily",
"https://data.edmonton.ca/d/h9sn-ds8j","true","data.edmonton.ca","dataset","Residential Street Cleaning Schedule","A list of all City of Edmonton transportation maintenance areas and the date on which each is scheduled for residential street cleaning. Does NOT include arterials or major routes.","50046","street cleaning,schedule","17728","published","City of Edmonton",,,"https://data.edmonton.ca/resource/h9sn-ds8j.json",,,
"https://data.edmonton.ca/d/ukww-xkmj","true","data.edmonton.ca","dataset","311 Explorer","311 Explorer is a web-based mapping tool that uses the City’s open data information to search, filter, and display 311 service requests on public property.  You will be able to:

View the various types of service requests on public property that have been generated in a neighborhood, ward or across the city, see the status of service requests, use the map or charts for analysis of neighbourhoods","16181","311,service requests,calls,emails,web app,311 edmonton,explorer,neighbourhood,ward,dead   animal removal,drainage maintenance,vandalism/graffiti,trees maintenance,litter & waste,parks &   sports field maintenance,snow & ice maintenance,pest management,traffic lights & signs","17088","published","City of Edmonton","Geographic",,"https://data.edmonton.ca/resource/ukww-xkmj.json","NAD 83",,
"https://data.edmonton.ca/d/qh6u-3haa","true","data.edmonton.ca","dataset","Land Sales","City of Edmonton's properties for sale, ranging from single family lots and houses to multi-use commercial and industrial sites.","3628","land sales,land,sales","15191","published","City of Edmonton","Geographic",,"https://data.edmonton.ca/resource/qh6u-3haa.json","NAD83","Daily",
"https://data.edmonton.ca/d/f6w2-hzex","true","data.edmonton.ca","dataset","Edmonton Catholic Schools (2016 - 2017)","List of all Catholic schools in Edmonton for the 2016 - 2017 school year. Note - some schools may not be offering all necessary grade years.","3353","schools,separate schools","14469","published","Edmonton Catholic School District","LL-WGS84","External","https://data.edmonton.ca/resource/f6w2-hzex.json","NAD83","When Necessary","August 29, 2012"
