"category","facility_type","facility_name","address","url","additional_info","latitude","longitude","geometry_point"
"Sports and Recreation Facilities","Staffed Sports Field","Clareview Field Artificial Turf","3804 139 Avenue","https://www.edmonton.ca/activities_parks_recreation/clareview-field-artificial-turf",,"53.60210030858561","-113.4028473724945","POINT (-113.4028473724945 53.60210030858561)"
"Parks and Playgrounds","City Park","Jackie Parker Park","4540 50 Street","https://www.edmonton.ca/jackieparkerpark",,"53.483714007471185","-113.420398174289","POINT (-113.420398174289 53.483714007471185)"
"Sports and Recreation Facilities","Recreation Centre","ACT Aquatic and Recreation Centre","2909 113 Avenue NW","https://www.edmonton.ca/act/","Partial opening in January 2022","53.556212563868385","-113.38676998889697","POINT (-113.38676998889697 53.556212563868385)"
"Parks and Playgrounds","River Valley Park","Louise McKinney Park","9999 Grierson Hill Rd","https://www.edmonton.ca/louisemckinneypark",,"53.54204638519308","-113.48033722831488","POINT (-113.48033722831488 53.54204638519308)"
"Sports and Recreation Facilities","Recreation Centre","Confederation Leisure Centre","11204 43 Avenue","https://www.edmonton.ca/confederation/",,"53.48048716641344","-113.52022650148838","POINT (-113.52022650148838 53.48048716641344)"
"Sports and Recreation Facilities","Recreation Centre","Jasper Place Leisure Centre","9200 163 Street","https://www.edmonton.ca/jasperplace/",,"53.52676012350131","-113.60371028443605","POINT (-113.60371028443605 53.52676012350131)"
"Sports and Recreation Facilities","Tennis Court","Queen Elizabeth Tennis Court","132 Avenue & 94 Street","https://www.edmonton.ca/tenniscourts",,"53.58972734796094","-113.48736981289781","POINT (-113.48736981289781 53.58972734796094)"
"Sports and Recreation Facilities","Arena","Tipton Arena","10849 81 Avenue","https://www.edmonton.ca/arenas",,"53.521599375326815","-113.51370828228808","POINT (-113.51370828228808 53.521599375326815)"
"Sports and Recreation Facilities","Arena","Clareview Arena","3804 139 Avenue","https://www.edmonton.ca/arenas",,"53.6023306028075","-113.40343756352236","POINT (-113.40343756352236 53.6023306028075)"
"Sports and Recreation Facilities","Arena","Mill Woods Twin Arena","7207 28 Avenue","https://www.edmonton.ca/arenas",,"53.45784961205208","-113.4448546095018","POINT (-113.4448546095018 53.45784961205208)"
"Sports and Recreation Facilities","Arena","Confederation Arena","11204 43 Avenue","https://www.edmonton.ca/arenas",,"53.479593280009134","-113.52024795929427","POINT (-113.52024795929427 53.479593280009134)"
"Sports and Recreation Facilities","Tennis Court","Confederation Tennis Court","43 Avenue & 114 Street","https://www.edmonton.ca/tenniscourts",,"53.47944824692166","-113.52460975900743","POINT (-113.52460975900743 53.47944824692166)"
"Sports and Recreation Facilities","Recreation Centre","O'Leary Fitness and Leisure Centre","8804 132 Avenue","https://www.edmonton.ca/oleary/",,"53.59295389647788","-113.47652712860996","POINT (-113.47652712860996 53.59295389647788)"
"Sports and Recreation Facilities","Recreation Centre","Northgate Lions Seniors Recreation Centre","7524 139 Ave NW","https://www.edmonton.ca/northgateseniors/",,"53.60260007572791","-113.45795735744474","POINT (-113.45795735744474 53.60260007572791)"
"Sports and Recreation Facilities","Golf Course","Victoria Golf Course and Driving Range","12130 River Valley Road","https://www.edmonton.ca/victoriagolf",,"53.53431655236446","-113.52297151667824","POINT (-113.52297151667824 53.53431655236446)"
"Parks and Playgrounds","River Valley Park","Terwillegar Park","10 Rabbit Hill Road NW","https://www.edmonton.ca/terwillegarpark",,"53.46425771004883","-113.56975674551693","POINT (-113.56975674551693 53.46425771004883)"
"Sports and Recreation Facilities","Tennis Court","Victoria Tennis Court","108 Avenue & 103 Street","https://www.edmonton.ca/tenniscourts",,"53.55465677909256","-113.49725512963371","POINT (-113.49725512963371 53.55465677909256)"
"Specialty (Programming / Rental) Facility","Arts Booking Facility","The Orange Hub","10045 156 St NW","https://www.edmonton.ca/theorangehub",,"53.53998154042186","-113.5892935301691","POINT (-113.5892935301691 53.53998154042186)"
"Sports and Recreation Facilities","Arena","Downtown Community Arena","10245 105 Avenue","https://www.edmonton.ca/arenas",,"53.54760182120472","-113.49629301511663","POINT (-113.49629301511663 53.54760182120472)"
"Parks and Playgrounds","Snowshoeing","Mill Woods Park","23 Avenue and 66 Street","https://www.edmonton.ca/snowshoeing",,"53.45545596089844","-113.44092194551718","POINT (-113.44092194551718 53.45545596089844)"
"Parks and Playgrounds","River Valley Park","Gold Bar Park","10955 50 Street","https://www.edmonton.ca/goldbarpark",,"53.55808624037282","-113.40730514057226","POINT (-113.40730514057226 53.55808624037282)"
"Sports and Recreation Facilities","Tennis Court","Austin O'Brien Tennis Court","61 Street & 95 Avenue","https://www.edmonton.ca/tenniscourts",,"53.544908848180164","-113.42764471986001","POINT (-113.42764471986001 53.544908848180164)"
"Parks and Playgrounds","River Valley Park","Mill Creek Ravine Park","96 Street and 76 Avenue","https://www.edmonton.ca/activities_parks_recreation/parks_rivervalley/mill-creek-ravine",,"53.50477884941618","-113.45929675715242","POINT (-113.45929675715242 53.50477884941618)"
"Sports and Recreation Facilities","Recreation Centre","Bonnie Doon Leisure Centre","8648 81 Street","https://www.edmonton.ca/bonniedoonlc/",,"53.52390354335878","-113.45378515375499","POINT (-113.45378515375499 53.52390354335878)"
"Sports and Recreation Facilities","Staffed Sports Field","John Fry Park","9700 28 Avenue","https://www.edmonton.ca/activities_parks_recreation/john-fry-park",,"53.46101415628029","-113.47865457249904","POINT (-113.47865457249904 53.46101415628029)"
"Sports and Recreation Facilities","Recreation Centre","Dr. Anne Anderson School and Community Centre","11810 35 Avenue SW","https://www.edmonton.ca/drannerec",,"53.40150848778828","-113.54532121696671","POINT (-113.54532121696671 53.40150848778828)"
"Sports and Recreation Facilities","Tennis Court","Rundle Park Tennis Court","106 Avenue & 26 Street","https://www.edmonton.ca/tenniscourts",,"53.565875334585215","-113.38438579393245","POINT (-113.38438579393245 53.565875334585215)"
"Parks and Playgrounds","River Valley Park","Government House Park","9938 Groat Road","https://www.edmonton.ca/governmenthousepark",,"53.53898614778614","-113.54010066137126","POINT (-113.54010066137126 53.53898614778614)"
"Parks and Playgrounds","City Park","John Fry Sport Park","9700 28 Avenue","https://www.edmonton.ca/johnfrysportspark",,"53.461039706764225","-113.47864384366271","POINT (-113.47864384366271 53.461039706764225)"
"Sports and Recreation Facilities","Arena","Donnan Arena","9105 80 Avenue","https://www.edmonton.ca/arenas",,"53.51576446786608","-113.46833579551252","POINT (-113.46833579551252 53.51576446786608)"
"Sports and Recreation Facilities","Arena","Oliver Arena","10335 119 Street","https://www.edmonton.ca/arenas",,"53.54577095285565","-113.52656983599536","POINT (-113.52656983599536 53.54577095285565)"
"Sports and Recreation Facilities","Staffed Sports Field","Clarke Park Artificial Turf","11000 Stadium Road NW","https://www.edmonton.ca/activities_parks_recreation/clarke-park-artificial-turf",,"53.5584675149761","-113.4765802320227","POINT (-113.4765802320227 53.5584675149761)"
