"name","description","feature","year","classification","latitude","longitude","location"
"Dechene Lane","See Dechene.","Road","1979",,"53.486617","-113.640641","POINT (-113.640641 53.486617)"
"Falconer Link","See Falconer Heights.","Road","1989",,"53.4642801","-113.590944","POINT (-113.590944 53.4642801)"
"Hodgson Road","See Hodgson.","Road","2001",,"53.4595072","-113.5593748","POINT (-113.5593748 53.4595072)"
"Hooke Place","See Hooke Road.","Road","2002",,"53.5830173","-113.376895","POINT (-113.376895 53.5830173)"
"Woodbend Wynd","See Woodbend Estates.","Road","1983",,"53.4669256","-113.6583803","POINT (-113.6583803 53.4669256)"
"Rio Terrace Drive","See Rio Terrace.","Road","1964",,"53.5058449","-113.5846497","POINT (-113.5846497 53.5058449)"
"Silver Berry Road","See Silver Berry.","Road","2002",,"53.4634218","-113.3923455","POINT (-113.3923455 53.4634218)"
"Taylor Close","See Alex Taylor Road.","Road","2001",,"53.4510138","-113.5769974","POINT (-113.5769974 53.4510138)"
"Ekota","This neighbourhood is in the Knottwood subdivision of the Mill Woods area. Ekota is a Cree word meaning ""special place.""","Neighbourhood","1972",,"53.4489007","-113.444115","POINT (-113.444115 53.4489007)"
"Whiston Way","See Whiston Wynd.","Road","1988",,"53.4945132","-113.6104274","POINT (-113.6104274 53.4945132)"
"Sherbrooke Park","This park is in the Sherbrooke neighbourhood and has an area of 1.47 ha. See Sherbrooke.","Park","1982",,"53.5785147","-113.5492821","POINT (-113.5492821 53.5785147)"
"Kramer Way","See Kramer Place.","Road","1991",,"53.468941","-113.3992335","POINT (-113.3992335 53.468941)"
"Blackburn Place","See Blackburn Close.","Road","1991","Commemorative (local)","53.430154","-113.497737","POINT (-113.497737 53.430154)"
"North Glenora","This area was formerly owned by Malcolm Groat. The North Glenora neighbourhood was developed in the 1950s. See Glenora.","Neighbourhood","CU",,"53.5555408","-113.5576066","POINT (-113.5576066 53.5555408)"
"Izena Ross Park","Izena Ross (d. 1945) was elected to City Council in 1922, becoming Edmonton's first woman councillor. Ross was also a school board member and president of the Local Council of Women. The Izena Ross Park is in the Eastwood neighbourhood and has an area of 0.08 ha.","Park","1995",,"53.544389","-113.4909267","POINT (-113.4909267 53.544389)"
"Meadowlark Park","This park is in the Meadowlark Park neighbourhood and has an area of 1.17 ha. See Meadowlark Park neighbourhood.","Park","1982",,"53.5254775","-113.5987217","POINT (-113.5987217 53.5254775)"
"Beck Close","Supreme Court judge Nicolas Dominic Beck (1857-1928) was born in Canada West and educated in law at the University of Toronto. Called to the Ontario Bar in 1879, Beck moved  west in 1882 and eventually, in the 1890s, came to Edmonton. He was appointed judge of the Supreme Court of Alberta in 1907. Beck Close is in the Blackmud Creek neighbourhood.","Road","2000","Commemorative (local)","53.4227429","-113.510313","POINT (-113.510313 53.4227429)"
"Walker Road","Ella Mae Walker (1892-1960) was an author, musician and artist. Born in Minnesota, Walker was educated at the University of Saskatchewan and McGill University. In 1920 she and her husband, O.J. Walker, a professor of chemistry, moved to Edmonton. Over the next 40 years in Edmonton, Walker participated in a variety of women's clubs and music clubs. She was also interested in local history and wrote Fortress North, a historical novel set in Edmonton. Her paintings featured local and regional scenes, including the Edmonton Municipal Airport, Fort Edmonton, the John Walter House, a prairie fire, and settlers in Red River carts. Walker's paintings are in the permanent collections of the City of Edmonton Archives and the Edmonton Art Gallery.","Road","1977",,"53.4995378","-113.609141","POINT (-113.609141 53.4995378)"
"Prince Charles Park","This park is in the Prince Charles neighbourhood and has an area of 0.84 ha. See Prince Charles.","Park","1982",,"53.5747058","-113.536954","POINT (-113.536954 53.5747058)"
"Lewis Estates Boulevard","See Lewis Farms.","Road","1991",,"53.516266","-113.679611","POINT (-113.679611 53.516266)"
"Weaver Drive","Liverpool-born Col. Charles Yardley Weaver (1884-1930) came to Alberta in 1903 and went on to become a prominent lawyer and alderman. After working as a farm hand for two years, he claimed his own homestead near Mannville. Weaver later studied law at the University of Alberta and was called to the Alberta Bar in 1915. In 1909 he joined the 101st Edmonton Fusiliers (militia) as a private and quickly advanced through the ranks, becoming a major in the 49th Battalion (Edmonton Regiment), CEF, in 1914 and acting lieutenant-colonel in 1918. While serving overseas in WWI, Weaver was wounded three times and awarded the Distinguished Service Order in 1918. The following year he was made lieutenant-colonel of the 19th Alberta Dragoons and rose to the rank of colonel, commanding the 5th Mounted Brigade. Following the war, Weaver served as an alderman in 1921  and 1922.","Road","1988",,"53.4788827","-113.6435716","POINT (-113.6435716 53.4788827)"
"Willowby Park","This park is in the Ormsby Place neighbourhood and has an area of 2.05 ha. The name is descriptive, alluding to the area's native willows.","Park","1998",,"53.4984483","-113.6372408","POINT (-113.6372408 53.4984483)"
"Humberstone Road","William Humberstone (1836-1922), born in Canada West, was an early Edmonton businessman. He arrived in Edmonton in 1880 and went on to establish a coal mine in Beverly and a brickyard in Riverdale. Humberstone was also a partner in John Walter's sawmill.","Road","1975",,"53.5791514","-113.3874558","POINT (-113.3874558 53.5791514)"
"Place LaRue","Stanislaus LaRue (b. 1860) was a surveyor, scout and pioneer businessman. Born in Canada East, LaRue came to Edmonton in 1883, where he worked as a surveyor and served as a scout during the North-West Rebellion (1885). In 1889, in partnership with J.H. Picard, he opened a general store. In 1907, after the store was closed, LaRue and Picard entered into the real estate business. Originally, the terrain of what would become the Place LaRue neighbourhood was marshland and peat moss, and residents in the area referred to it as Bog Meadows.","Neighbourhood","1980",,"53.5389077","-113.6441279","POINT (-113.6441279 53.5389077)"
"Elsinore Place","See Elsinore.","Road","1989",,"53.6364694","-113.4995852","POINT (-113.4995852 53.6364694)"
"Westbrook Park","This park is in the Aspen Gardens neighbourhood and has an area of 3.33 ha. See Westbrook Estates.","Park","1983",,"53.4660203","-113.549546","POINT (-113.549546 53.4660203)"
