"station_number","station_description","latitude","longitude","station_location","geometry_point"
"05DA009","North Saskatchewan River at Whirlpool Point","52.00119","-116.47093","
,  
(52.00119, -116.47093)","POINT (-116.47093 52.00119)"
"05DE006","North Saskatchewan River near Lodgepole","53.05246","-115.21118","
,  
(53.05246, -115.21118)","POINT (-115.21118 53.05246)"
"05DC011","North Ram River at Forestry Road","52.28296","-115.99929","
,  
(52.28296, -115.99929)","POINT (-115.99929 52.28296)"
"05DE007","Rose Creek near Alder Flats","52.92991","-115.01102","
,  
(52.92991, -115.01102)","POINT (-115.01102 52.92991)"
"05DE010","North Saskatchewan River at Hwy 759","53.31548","-114.75796","
,  
(53.31548, -114.75796)","POINT (-114.75796 53.31548)"
"05DC001","North Saskatchewan River near Rocky Mountain House","52.3767","-114.94132","
,  
(52.3767, -114.94132)","POINT (-114.94132 52.3767)"
"05DF003","Blackmud Creek near Ellerslie","53.41455","-113.51651","
,  
(53.41455, -113.51651)","POINT (-113.51651 53.41455)"
"05DF008","Weed Creek at Thorsby","53.23379","-114.0508","
,  
(53.23379, -114.0508)","POINT (-114.0508 53.23379)"
"05EA011","Carrot Creek near the Mouth","53.62339","-113.69601","
,  
(53.62339, -113.69601)","POINT (-113.69601 53.62339)"
"05DD006","Brazeau Reservoir","52.96969","-115.584525","
,  
(52.96969, -115.584525)","POINT (-115.584525 52.96969)"
"05DE009","Tomahawk Creek near Tomahawk","53.40585","-114.76311","
,  
(53.40585, -114.76311)","POINT (-114.76311 53.40585)"
"05DC006","Ram River near the Mouth","52.367752","-115.422674","
,  
(52.367752, -115.422674)","POINT (-115.422674 52.367752)"
"TAU-001","Bighorn Reservoir - Tau","52.3","-116.316667","
,  
(52.3, -116.316667)","POINT (-116.316667 52.3)"
"05DF004","Strawberry Creek near the Mouth","53.3114","-114.05207","
,  
(53.3114, -114.05207)","POINT (-114.05207 53.3114)"
"05DC012","Baptiste River near the Mouth","52.664301","-115.076774","
,  
(52.664301, -115.076774)","POINT (-115.076774 52.664301)"
"05DE911","Modeste Creek near Lindale","53.24623056","-114.709408","
,  
(53.24623056, -114.709408)","POINT (-114.709408 53.24623056)"
"05DB002","Prairie Creek near Rocky Mountain House","52.27386","-114.92918","
,  
(52.27386, -114.92918)","POINT (-114.92918 52.27386)"
"05DD007","Brazeau River below Cardinal River","52.88158","-116.55625","
,  
(52.88158, -116.55625)","POINT (-116.55625 52.88158)"
"05EA005","Sturgeon River near Villeneuve","53.65535","-113.7623","
,  
(53.65535, -113.7623)","POINT (-113.7623 53.65535)"
"05DD009","Nordegg River at Sunchild Road","52.81997","-115.52026","
,  
(52.81997, -115.52026)","POINT (-115.52026 52.81997)"
"05DF001","North Saskatchewan River at Edmonton","53.537521","-113.4855","
,  
(53.537521, -113.4855)","POINT (-113.4855 53.537521)"
"05DD004","Brown Creek at Forestry Road","52.76396","-116.36081","
,  
(52.76396, -116.36081)","POINT (-116.36081 52.76396)"
"05DB006","Clearwater River near Dovercourt","52.2521","-114.85582","
,  
(52.2521, -114.85582)","POINT (-114.85582 52.2521)"
"05EA012","Atim Creek at Century Road","53.59028","-113.88536","
,  
(53.59028, -113.88536)","POINT (-113.88536 53.59028)"
"05DF006","Whitemud Creek near Ellerslie","53.41263","-113.59089","
,  
(53.41263, -113.59089)","POINT (-113.59089 53.41263)"
"05EA002","Sturgeon River at St. Albert","53.63583","-113.62722","
,  
(53.63583, -113.62722)","POINT (-113.62722 53.63583)"
