"ebuilder_number","asset_type","project_name","profile_number","scope","update","approved_budget_m","approved_profile_schedule","forecasted_completion_date","current_phase","scope_status","budget_status","schedule_status","contact","email_address","phone_number","profile_name","ward","neighbourhood","address","standalone_composite","latitude","longitude","location","budget_status_text","schedule_status_text","scope_status_text","website_url","project_image","scope_and_update","forecasted_budget","initiative_image","citywide"
"eB-10578","Facility","Mill Creek Pool Rehabilitation","22-12-9008","Milll Creek Pool requires critical repairs and upgrades to remain operational. The project is currently in the planning phase with rehabilitation work planned to begin in spring 2021.","Detailed Design for Millcreek Pool Rehabilitation has reached 100% completion. The project continues to progress per the baseline plan with the construction scheduled to start in summer 2022 and expected to be in-service for summer 2024.","6478366","2024-09-02T00:00:00.000","2024-07-17T00:00:00.000","Build","Green","Green","Green","Ross Lauber","ross.lauber@edmonton.ca","780-691-3387",,"papastew","Mill Creek Ravine North","Millcreek Ravine North",,"53.519741","-113.473975","MULTIPOINT ((-113.473975 53.519741))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.",,,"Milll Creek Pool requires critical repairs and upgrades to remain operational. The project is currently in the planning phase with rehabilitation work planned to begin in spring 2021.<h3>Latest Update:</h3>Detailed Design for Millcreek Pool Rehabilitation has reached 100% completion. The project continues to progress per the baseline plan with the construction scheduled to start in summer 2022 and expected to be in-service for summer 2024.<h3>Contact Information:</h3><b>Contact:</b> Ross Lauber<br /><b>Email:</b> ross.lauber@edmonton.ca<br /><b>Phone:</b> 780-691-3387","6478366","https://i.imgur.com/xOhBLee.png","No"
"eB-10505","Facility","EXPO Rehabilitation","21-12-0350","Renewal of the Edmonton EXPO Centre will include the building envelope, mechanical, electrical and structural upgrades and code compliance upgrades.","Construction for Phase 1 (Hall D slab, bleachers, mechanical room, roof; Hall A/B/C abatement, structural reinforcement, mechanical system replacement; boiler plant; electrical distribution) of the EXPO Centre Rehabilitation continues to progress per the baseline schedule. It is anticipated to be In-Service in Q1 2023.  Detailed Design for Phase 2 (roofing, envelope, Entrance 6 redevelopment, Hall D entry, roof solar) of the EXPO Centre Rehabilitation continues to progress per the baseline schedule and is currently planned to be complete by the end of 2022. Construction for Phase 2 will be integrated where appropriate (ie. roof and solar) during Phase 1. Construction and is scheduled for completion in Q1 2025.  Overall, the project is 14% complete and both Design and Construction continue to progress per the baseline schedule.","98308537","2025-12-31T00:00:00.000","2025-01-31T00:00:00.000","Build","Green","Green","Green","Brad Watson","Brad.Watson@Edmonton.Ca","780-292-1685",,"Métis","Edmonton Northlands","Northlands",,"53.568487","-113.455801","MULTIPOINT ((-113.455801 53.568487))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.",,,"Renewal of the Edmonton EXPO Centre will include the building envelope, mechanical, electrical and structural upgrades and code compliance upgrades.<h3>Latest Update:</h3>Construction for Phase 1 (Hall D slab, bleachers, mechanical room, roof; Hall A/B/C abatement, structural reinforcement, mechanical system replacement; boiler plant; electrical distribution) of the EXPO Centre Rehabilitation continues to progress per the baseline schedule. It is anticipated to be In-Service in Q1 2023.  Detailed Design for Phase 2 (roofing, envelope, Entrance 6 redevelopment, Hall D entry, roof solar) of the EXPO Centre Rehabilitation continues to progress per the baseline schedule and is currently planned to be complete by the end of 2022. Construction for Phase 2 will be integrated where appropriate (ie. roof and solar) during Phase 1. Construction and is scheduled for completion in Q1 2025.  Overall, the project is 14% complete and both Design and Construction continue to progress per the baseline schedule.<h3>Contact Information:</h3><b>Contact:</b> Brad Watson<br /><b>Email:</b> Brad.Watson@Edmonton.Ca<br /><b>Phone:</b> 780-292-1685","98308537","https://i.imgur.com/xOhBLee.png","No"
"eB-10915","Transportation","144 Avenue: 66 St. - 82 St. Paving","CM-25-0000","Renewal on local and collector roads along 144 Avenue from 66 Street to 82 Street will occur to maintain safe roads in the neighbouhood.","The construction contract has been awarded.  Work will begin in August.  Concrete and preparation work will occur during the day while milling and paving will be done at night. Two way traffic along 144 Ave will be maintained with some closures to side street accesses to 144 Avenue at night.","1600000","2022-10-14T00:00:00.000","2022-10-31T00:00:00.000","Build","Green","Green","Yellow","Ryan Drummond","Ryan.Drummond@Edmonton.Ca","780-691-3388",,"Dene","McLeod",,,"53.60511327","-113.4427989","MULTIPOINT ((-113.4427989 53.60511327))","Budget - The project is currently on budget.","Schedule - The project is over its original targeted schedule by less than 20%.","Scope - The project is within the scope approved in the project charter.",,,"Renewal on local and collector roads along 144 Avenue from 66 Street to 82 Street will occur to maintain safe roads in the neighbouhood. <h3>Latest Update:</h3>The construction contract has been awarded.  Work will begin in August.  Concrete and preparation work will occur during the day while milling and paving will be done at night. Two way traffic along 144 Ave will be maintained with some closures to side street accesses to 144 Avenue at night.<h3>Contact Information:</h3><b>Contact:</b> Ryan Drummond<br /><b>Email:</b> Ryan.Drummond@Edmonton.Ca<br /><b>Phone:</b> 780-691-3388","1568123","https://i.imgur.com/xOhBLee.png","No"
"eB-10653","Transportation","107 Avenue Revitalization","CM-21-5800","The 107 Avenue Revitalization aims to improve community connections between 101 Street - 122 Street. Improvements for the area were identified through the Queen Mary Park and Central McDougal Revitalization Strategy. Four of the improvements identified will be a part of 107 Avenue Revitalization:  - Streetscape elements between 101 Street - 122 Street including pedestrian lighting, street furniture and greenery  - Alley Pilot Project: one alley will be chosen to be designed to be a destination in the community  - Gateway elements: unique features used to define the community and are intended to be visually welcoming  - Design for a park at 10425 107 Avenue. The park is currently not funded for construction, however base-level construction will take place to be used until budget for the new park design is secured","The concept plan is complete and preliminary design is underway. In response to public feedback, the park design scope will be extended to include ultimate development of the space.  The project schedule is red due to the additional park design scope, extended public and stakeholder engagement activities, challenges associated with COVID-19 restrictions, and due to the pause in the engagement process during the municipal election.","969000","2021-10-29T00:00:00.000","2022-09-30T00:00:00.000","Development Design","Green","Green","Red","Satya Gadidasu","Satya.Gadidasu@Edmonton.Ca","780-496-2407",,"O-day'min","Central McDougall",,,"53.55140303","-113.4946661","MULTIPOINT ((-113.4946661 53.55140303))","Budget - The project is currently on budget.","Schedule - The project is more than 30% over its original targeted schedule.","Scope - The project is within the scope approved in the project charter.","https://www.edmonton.ca/projects_plans/roads/107-avenue-revitalization",,"The 107 Avenue Revitalization aims to improve community connections between 101 Street - 122 Street. Improvements for the area were identified through the Queen Mary Park and Central McDougal Revitalization Strategy. Four of the improvements identified will be a part of 107 Avenue Revitalization:  - Streetscape elements between 101 Street - 122 Street including pedestrian lighting, street furniture and greenery  - Alley Pilot Project: one alley will be chosen to be designed to be a destination in the community  - Gateway elements: unique features used to define the community and are intended to be visually welcoming  - Design for a park at 10425 107 Avenue. The park is currently not funded for construction, however base-level construction will take place to be used until budget for the new park design is secured<h3>Latest Update:</h3>The concept plan is complete and preliminary design is underway. In response to public feedback, the park design scope will be extended to include ultimate development of the space.  The project schedule is red due to the additional park design scope, extended public and stakeholder engagement activities, challenges associated with COVID-19 restrictions, and due to the pause in the engagement process during the municipal election.<h3>Contact Information:</h3><b>Contact:</b> Satya Gadidasu<br /><b>Email:</b> Satya.Gadidasu@Edmonton.Ca<br /><b>Phone:</b> 780-496-2407","969000","https://i.imgur.com/xOhBLee.png","No"
"eB-10883","Transportation","76 Avenue: 17 Street to 34 Street Paving","CM-25-0000","The rehabilitation work on 76 Avenue from 17 Street to 34 Street will include road reconstruction and repairs, new paving and repaving of parking lot accesses, bus stop upgrades, drainage upgrades, utility accommodations and managing impacts to mature trees. The City will also assess the 17 Street and 34 Street intersections for geometric improvements to help reduce traffic accidents and their severity, bus stop upgrades, minor traffic signal upgrades and improvements to the surrounding active mode connections.","The project is in the Detailed Design Phase.  Construction is expected in 2023.","120000","2022-04-15T00:00:00.000","2022-09-30T00:00:00.000","Development Design","Green","Green","Red","Ryan Teplitsky","Ryan.Teplitsky@Edmonton.Ca","780-944-7651",,"Sspomitapi","Southeast Industrial","76 Avenue: 17 Street to 34 Street",,"53.51253632","-113.3938231","MULTIPOINT ((-113.3938231 53.51253632))","Budget - The project is currently on budget.","Schedule - The project is more than 30% over its original targeted schedule.","Scope - The project is within the scope approved in the project charter.",,,"The rehabilitation work on 76 Avenue from 17 Street to 34 Street will include road reconstruction and repairs, new paving and repaving of parking lot accesses, bus stop upgrades, drainage upgrades, utility accommodations and managing impacts to mature trees. The City will also assess the 17 Street and 34 Street intersections for geometric improvements to help reduce traffic accidents and their severity, bus stop upgrades, minor traffic signal upgrades and improvements to the surrounding active mode connections.<h3>Latest Update:</h3>The project is in the Detailed Design Phase.  Construction is expected in 2023.<h3>Contact Information:</h3><b>Contact:</b> Ryan Teplitsky<br /><b>Email:</b> Ryan.Teplitsky@Edmonton.Ca<br /><b>Phone:</b> 780-944-7651","120000","https://i.imgur.com/xOhBLee.png","No"
"eB-10750","Transportation","ARP Emily Murphy Park Road Rehabilitation","CM-22-0000","The City will be rehabilitating Emily Murphy Park Road between the access to Hawrelak Park and the Royal Mayfair Golf Club.","Construction is planned for late August (closer to the end of the festival season), with completion in October.  Access will be maintained to Hawrelak Park at all times.","420000","2023-06-01T00:00:00.000","2022-10-31T00:00:00.000","Build","Green","Green","Green","David Scheelar","David.Scheelar@Edmonton.Ca","780-868-5399",,"papastew","River Valley Mayfair",,,"53.53235868","-113.5366803","MULTIPOINT ((-113.5366803 53.53235868))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.",,,"The City will be rehabilitating Emily Murphy Park Road between the access to Hawrelak Park and the Royal Mayfair Golf Club.<h3>Latest Update:</h3>Construction is planned for late August (closer to the end of the festival season), with completion in October.  Access will be maintained to Hawrelak Park at all times.<h3>Contact Information:</h3><b>Contact:</b> David Scheelar<br /><b>Email:</b> David.Scheelar@Edmonton.Ca<br /><b>Phone:</b> 780-868-5399","420000","https://i.imgur.com/xOhBLee.png","No"
"eB-10807","Transportation","Royal Gardens, Rideau Park Neighbourhood Alley Reconstruction","CM-25-0000","Alley Renewal involves alley reconstruction and repaving, improvements to surface drainage where possible and upgrading of existing alley lighting to LED fixtures. Utility assessments and repairs, along with removals and pruning of trees and shrubs are also completed. Minor infrastructure enhancements to improve traffic safety for people who walk, bike, roll and drive may also be undertaken. There is an opportunity for a local improvement to add alley lighting if property owners are interested.","Design is currently underway.  The project team is using public input, along with technical considerations, City policies and programs, and available funding to refine the final design.  Exact construction phasing is still under review and is expected to occur between 2023-2025.","840000","2022-12-30T00:00:00.000","2022-12-30T00:00:00.000","Concept","Green","Green","Green","Trudy Raadik","Trudy.Raadik@Edmonton.Ca","780-292-0171",,"papastew","Rideau Park,Royal Gardens","Royal Gardens, Rideau Park Neighbourhood Alley Reconstruction,Royal Gardens, Rideau Park Neighbourhood Alley Reconstruction",,"53.4788953588115","-113.532539221534","MULTIPOINT ((-113.532539221534 53.478895358812), (-113.514001653369 53.477054366812))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.",,,"Alley Renewal involves alley reconstruction and repaving, improvements to surface drainage where possible and upgrading of existing alley lighting to LED fixtures. Utility assessments and repairs, along with removals and pruning of trees and shrubs are also completed. Minor infrastructure enhancements to improve traffic safety for people who walk, bike, roll and drive may also be undertaken. There is an opportunity for a local improvement to add alley lighting if property owners are interested.<h3>Latest Update:</h3>Design is currently underway.  The project team is using public input, along with technical considerations, City policies and programs, and available funding to refine the final design.  Exact construction phasing is still under review and is expected to occur between 2023-2025.<h3>Contact Information:</h3><b>Contact:</b> Trudy Raadik<br /><b>Email:</b> Trudy.Raadik@Edmonton.Ca<br /><b>Phone:</b> 780-292-0171","840000","https://i.imgur.com/xOhBLee.png","No"
"eB-10400","Transportation","Calder Neighbourhood Reconstruction","21-40-9024","Calder Neighbourhood Renewal is expected to be complete in 2023. Neighbourhood renewal rehabilitates residential roads, replaces street lights, sidewalks, curbs and gutters, and adds missing sidewalk links where possible. Other opportunities to improve how people walk, bike, roll, drive and gather in the neighbourhood, and how they enjoy City-owned parks and open spaces are also explored.","Construction of the 2022 (Year 2 of 3) scope of work is underway and anticipated to be complete by the end of the construction season.   The overall neighbourhood is anticipated to be complete by the end of 2023.  Further project information can be found at edmonton.ca/BuildingCalder","49200000","2024-09-30T00:00:00.000","2023-12-31T00:00:00.000","Build","Green","Green","Green","Courtney Beamish","Courtney.Beamish@Edmonton.Ca","780-496-4055",,"Anirniq","Calder",,"Composite","53.589074","-113.528777","MULTIPOINT ((-113.528777 53.589074))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.","http://edmonton.ca/buildingcalder/",,"Calder Neighbourhood Renewal is expected to be complete in 2023. Neighbourhood renewal rehabilitates residential roads, replaces street lights, sidewalks, curbs and gutters, and adds missing sidewalk links where possible. Other opportunities to improve how people walk, bike, roll, drive and gather in the neighbourhood, and how they enjoy City-owned parks and open spaces are also explored.<h3>Latest Update:</h3>Construction of the 2022 (Year 2 of 3) scope of work is underway and anticipated to be complete by the end of the construction season.   The overall neighbourhood is anticipated to be complete by the end of 2023.  Further project information can be found at edmonton.ca/BuildingCalder<h3>Contact Information:</h3><b>Contact:</b> Courtney Beamish<br /><b>Email:</b> Courtney.Beamish@Edmonton.Ca<br /><b>Phone:</b> 780-496-4055","49200000","https://i.imgur.com/xOhBLee.png","No"
"eB-10760","Open Space","Whitemud Creek Lower Trail Instability near 54 Avenue","CM-34-0000","The Whitemud Creek Lower Trail near 54 Avenue is unstable and the proposed work will include repairing the erosion and slope instability which is impacting the west bank of Whitemud Creek. The City will conduct geotechnical and hydrotechnical evaluations of the site and creek and create a design for permanent stability and erosion protection measures in order to re-establish a safe trail connection, taking into account construction challenges and access constraints. There is the potential for instream work, tree clearing and slope regrading, and the City will take into consideration the environmentally sensitive and dynamic creek environment.","The engineering assessment prepared by the consultant resulted in a recommendation to rehabilitate the trail in its existing location rather than to realign the trail. The detailed design and the environmental assessments are now being finalized. Municipal, provincial, and federal regulatory applications are in progress.  Repair construction is proposed in 2022, pending the timely acquisition of all environmental approvals and permitting.","375000","2022-05-31T00:00:00.000","2022-07-18T00:00:00.000","Concept","Green","Green","Yellow","Christina Tatarniuk","Christina.Tatarniuk@Edmonton.Ca","780-496-6775",,"papastew","Whitemud Creek Ravine North",,,"53.49178872","-113.5635043","MULTIPOINT ((-113.5635043 53.49178872))","Budget - The project is currently on budget.","Schedule - The project is over its original targeted schedule by less than 20%.","Scope - The project is within the scope approved in the project charter.",,,"The Whitemud Creek Lower Trail near 54 Avenue is unstable and the proposed work will include repairing the erosion and slope instability which is impacting the west bank of Whitemud Creek. The City will conduct geotechnical and hydrotechnical evaluations of the site and creek and create a design for permanent stability and erosion protection measures in order to re-establish a safe trail connection, taking into account construction challenges and access constraints. There is the potential for instream work, tree clearing and slope regrading, and the City will take into consideration the environmentally sensitive and dynamic creek environment.<h3>Latest Update:</h3>The engineering assessment prepared by the consultant resulted in a recommendation to rehabilitate the trail in its existing location rather than to realign the trail. The detailed design and the environmental assessments are now being finalized. Municipal, provincial, and federal regulatory applications are in progress.  Repair construction is proposed in 2022, pending the timely acquisition of all environmental approvals and permitting.<h3>Contact Information:</h3><b>Contact:</b> Christina Tatarniuk<br /><b>Email:</b> Christina.Tatarniuk@Edmonton.Ca<br /><b>Phone:</b> 780-496-6775","375000","https://i.imgur.com/xOhBLee.png","No"
"eB-10912","Transportation","MacKinnon Ravine Pedestrian Trestle Bridge B165 Replacement","CM-24-0000","MacKinnon Ravine Pedestrian Bridge will be replaced following an urgent demolition of the pre-existing structure. Planning and design for the new structure is underway with the goal of having a new bridge reconstructed as soon as possible.","Preliminary design is underway, and is currently on schedule and on budget. Stakeholder engagement was completed in early July 2022 to introduce the project and gather feedback on bridge options, design elements and materials.","301083","2022-08-31T00:00:00.000","2022-08-31T00:00:00.000","Concept","Green","Green","Green","Christopher Wintle","Christopher.Wintle@Edmonton.Ca","780-238-0361",,"Nakota Isga","River Valley Capitol Hill",,,"53.54167088","-113.5760513","MULTIPOINT ((-113.5760513 53.54167088))","Budget - The project is currently on budget.","Schedule - The project is currently on schedule.","Scope - The project is within the scope approved in the project charter.",,,"MacKinnon Ravine Pedestrian Bridge will be replaced following an urgent demolition of the pre-existing structure. Planning and design for the new structure is underway with the goal of having a new bridge reconstructed as soon as possible. <h3>Latest Update:</h3>Preliminary design is underway, and is currently on schedule and on budget. Stakeholder engagement was completed in early July 2022 to introduce the project and gather feedback on bridge options, design elements and materials.<h3>Contact Information:</h3><b>Contact:</b> Christopher Wintle<br /><b>Email:</b> Christopher.Wintle@Edmonton.Ca<br /><b>Phone:</b> 780-238-0361","301083","https://i.imgur.com/xOhBLee.png","No"
