"building_number","public_asset_name","address","known_asbestos","asbestos_management_plan_in_place","latitude","longitude","location","geometry_point"
"14","Beaver Hills House Park","105 Street & Jasper Avenue","Yes","Yes",,,,
"41","Civil Defence Building","94 Avenue & 142 Street","No","Yes",,,,
"257","Victoria Park - Tennis Court Building","101Street & Kingsway Avenue","No","Yes",,,,
"450","Emily Murphy Park - Cook Shelter","Emily Murphy Road & Groat Rd","No","Yes",,,,
"667","Old Man Creek - Tool Shed","53351 Range Rd 231 (Cloverbar Rd)","No","Yes",,,,
"942","William Nixon #7 - Training Sea Cans","12950 - 9 Street NE Future Building","No","Yes","53.588095","-113.334348","
,  
(53.588095, -113.334348)","POINT (-113.334348 53.588095)"
"9","Ambulance Station No.33","8120-137 Avenue NW","No","Yes","53.599942","-113.465073","
,  
(53.599942, -113.465073)","POINT (-113.465073 53.599942)"
"925","Whitemud Park - Amenity/Washroom Facility","13810 Fox Drive","No","Yes","53.5044274","-113.557558","
,  
(53.5044274, -113.557558)","POINT (-113.557558 53.5044274)"
"527","Fort Edmonton Building #65 - Ramsay's Greenhouse","6601 - 148 Street NW 1905 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"98","Fire Station No.16","2904-66 Street NW","Yes","Yes","53.45964","-113.4351","
,  
(53.45964, -113.4351)","POINT (-113.4351 53.45964)"
"53","Commercial Leased Building","12640/42/44-Fort Road NW","Yes","Yes","53.5845061","-113.4448513","
,  
(53.5845061, -113.4448513)","POINT (-113.4448513 53.5845061)"
"646","NAIT Operator Washrooms","11627 - 109 Street NW","No","Yes","53.5661143","-113.5064049","
,  
(53.5661143, -113.5064049)","POINT (-113.5064049 53.5661143)"
"509","Fort Edmonton Building #43 - McDougall Methodist Church","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"495","Fort Edmonton Building #28 - Sanderson Lobby Blacksmith","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"924","Whitemud Park - Alfred H Savage Centre","13909 - Fox Drive NW","No","Yes","53.502353","-113.560638","
,  
(53.502353, -113.560638)","POINT (-113.560638 53.502353)"
"401","Clareview LRT Station","100 LRT Station NW","No","Yes","53.5409322","-113.4900248","
,  
(53.5409322, -113.4900248)","POINT (-113.4900248 53.5409322)"
"794","Riverbend Library","460 Riverbend Square NW","No","Yes","53.4682097","-113.5835983","
,  
(53.4682097, -113.5835983)","POINT (-113.5835983 53.4682097)"
"635","Mill Woods Senior and Multi Cultural Centre","2610 Hewes Way NW","No","Yes","53.4565997","-113.4274009","
,  
(53.4565997, -113.4274009)","POINT (-113.4274009 53.4565997)"
"383","Central Roadway Maintenance Yard - Grader Shop","10517 - 95 Street NW","No","Yes","53.5510275","-113.4794218","
,  
(53.5510275, -113.4794218)","POINT (-113.4794218 53.5510275)"
"118","Glengarry Community Services","13315-89 Street NW","Yes","Yes","53.5946978","-113.4767606","
,  
(53.5946978, -113.4767606)","POINT (-113.4767606 53.5946978)"
"848","Edmonton Valley Zoo #4 - Quarantine Building 1","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"33","Central Roadway Maintenance Yard - Maintenance Shop","10517-95 Street NW","Yes","Yes","53.5510275","-113.4794218","
,  
(53.5510275, -113.4794218)","POINT (-113.4794218 53.5510275)"
"648","Northeast Transit Yard - De-Icing Dome","13003 - 56 Street NW","No","Yes","53.5899839999999","-113.426539","
,  
(53.5899839999999, -113.426539)","POINT (-113.426539 53.5899839999999)"
"514","Fort Edmonton Building #49 - McCauleys Livery Stable","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"570","Gold Bar Park - Recreation Building","10975 - 50 Street NW","No","Yes","53.5612751","-113.4185404","
,  
(53.5612751, -113.4185404)","POINT (-113.4185404 53.5612751)"
"273","Commercial Leased Building","10335-83 Avenue NW","No","Yes","53.5189441","-113.4971398","
,  
(53.5189441, -113.4971398)","POINT (-113.4971398 53.5189441)"
